lignee	replichore	loss_C	loss_G	n_c_site	n_g_site	AI_loss	AI_lo	AI_hi
POOL_TOTAL	1	5636	3997	575672	608086	0.39840877958271753	0.357878807479721	0.43893875168571406
L1	1	930	753	575672	608086	0.2658976236228783	0.16981359882701735	0.3619816484187392
L2	1	394	251	575672	608086	0.50567623544162	0.3473900632738981	0.6639624076093419
L3	1	643	479	575672	608086	0.3492223921021744	0.23092606075852556	0.4675187234458232
L4	1	731	521	575672	608086	0.39344168327188184	0.281065906858218	0.5058174596855457
L5	1	605	389	575672	608086	0.4964273796878652	0.36905103106201587	0.6238037283137146
L6	1	687	513	575672	608086	0.34683671232705005	0.23246946641276334	0.46120395824133675
L7	1	247	165	575672	608086	0.4582211280028667	0.26115760151615924	0.6552846544895741
L9	1	312	258	575672	608086	0.24482186816333504	0.07989235810205611	0.40975137822461394
Bovis	1	286	162	575672	608086	0.6231737408629384	0.43044496001288474	0.815902521712992
Caprae_La2	1	146	79	575672	608086	0.668937034516785	0.39519002940618875	0.9426840396273812
Orygis_La3	1	341	218	575672	608086	0.5021656797698978	0.33220496115783327	0.6721263983819623
Microti	1	164	91	575672	608086	0.6437851865828185	0.38758728926725244	0.8999830838983844
Pinnipedii	1	17	16	575672	608086	0.11540288709190501	-0.5672825032721825	0.7980882774559926
La4	1	85	60	575672	608086	0.40308495954368573	0.07260357298330439	0.7335663461040671
Dassie	1	23	21	575672	608086	0.14575004348119672	-0.44581276741471787	0.7373128543771112
Suricattae	1	23	19	575672	608086	0.24583350203817936	-0.3617864383194913	0.85345344239585
POOL_TOTAL	2	4768	6227	704728	670013	-0.3174825437088585	-0.3551996314126175	-0.27976545600509944
L1	2	877	1003	704728	670013	-0.18475859317134471	-0.27536872295504367	-0.09414846338764574
L2	2	315	478	704728	670013	-0.46755289124741517	-0.6097908330799957	-0.32531494941483463
L3	2	574	762	704728	670013	-0.3338319569486721	-0.4421542607990045	-0.22550965309833976
L4	2	612	844	704728	670013	-0.3719350096652234	-0.47599453585855006	-0.26787548347189677
L5	2	457	627	704728	670013	-0.36677794732030833	-0.4873289596347601	-0.24622693500585657
L6	2	617	744	704728	670013	-0.23768680850929633	-0.3444073705634222	-0.13096624645517044
L7	2	188	231	704728	670013	-0.2564905452734367	-0.4490080339956657	-0.06397305655120766
L9	2	294	346	704728	670013	-0.21337380530063482	-0.3688365616305046	-0.057911048970765044
Bovis	2	209	305	704728	670013	-0.42849232222419287	-0.6044898582809328	-0.25249478616745297
Caprae_La2	2	105	142	704728	670013	-0.3523815050253297	-0.604646938662492	-0.10011607138816753
Orygis_La3	2	258	389	704728	670013	-0.46113455627842126	-0.6185022491234617	-0.3037668634333807
Microti	2	109	192	704728	670013	-0.6166622873802303	-0.8517161950242144	-0.3816083797362463
Pinnipedii	2	23	28	704728	670013	-0.2472250918276466	-0.798781894530473	0.30433171087517974
La4	2	81	95	704728	670013	-0.2099425345096944	-0.5063574905735192	0.08647242155413037
Dassie	2	27	21	704728	670013	0.20079963069931395	-0.36946597682716575	0.7710652382257936
Suricattae	2	18	18	704728	670013	-0.05051479758159238	-0.7038361257616104	0.6028065305984256
