clade	pct_partage_brut	pct_partage_polarise	partenaires_residuels_polarise
L1	67.528	0.346	L2.2.1:1,L6.1:1,L9:1,Caprae_La2:1
L2.2.1	67.092	14.715	L3:45,Caprae_La2:2,L6.1:2,L9:2,L1:1,L7:1
L3	74.629	19.397	L2.2.1:45
L4.1.2	82.619	0.000	(aucun)
L4.3	75.610	0.000	(aucun)
L6.1	83.307	62.433	L9:343,Caprae_La2:173,Orygis_La3:159,Microti:131
L7	49.827	0.413	Orygis_La3:2,L6.1:1,L9:1,Caprae_La2:1,L2.2.1:1,Microti:1
L9	83.846	63.651	L6.1:343,Caprae_La2:210,Orygis_La3:186,Microti:144
Orygis_La3	56.754	24.220	Caprae_La2:223,L9:186,L6.1:159,Microti:138
Caprae_La2	65.581	32.327	Orygis_La3:223,L9:210,L6.1:173,Microti:146
Microti	71.952	35.535	Caprae_La2:146,L9:144,Orygis_La3:138,L6.1:131
