clade	n_racine	n_partages	pct_partages	partenaires
L1	890	601	67.528	L9:577,Caprae_La2:571,L7:534,Orygis_La3:534,L6.1:529,Microti:440,L2.2.1:399,L3:379,L4.1.2:279,L4.3:240
L2.2.1	863	579	67.092	L3:534,L7:508,L9:508,Caprae_La2:499,Orygis_La3:465,L6.1:461,L1:399,Microti:371,L4.1.2:355,L4.3:302
L3	741	553	74.629	L2.2.1:534,L7:484,L9:483,Caprae_La2:475,Orygis_La3:448,L6.1:439,L1:379,Microti:358,L4.1.2:340,L4.3:287
L4.1.2	443	366	82.619	L7:356,L2.2.1:355,L9:353,Caprae_La2:344,L3:340,Orygis_La3:322,L6.1:320,L4.3:298,L1:279,Microti:267
L4.3	410	310	75.610	L2.2.1:302,L9:301,L7:299,L4.1.2:298,Caprae_La2:295,L3:287,Orygis_La3:277,L6.1:276,L1:240,Microti:227
L6.1	1258	1048	83.307	L9:1027,Caprae_La2:838,Orygis_La3:788,Microti:643,L7:620,L1:529,L2.2.1:461,L3:439,L4.1.2:320,L4.3:276
L7	1447	721	49.827	L9:692,Caprae_La2:670,Orygis_La3:636,L6.1:620,L1:534,Microti:509,L2.2.1:508,L3:484,L4.1.2:356,L4.3:299
L9	1399	1173	83.846	L6.1:1027,Caprae_La2:956,Orygis_La3:886,Microti:698,L7:692,L1:577,L2.2.1:508,L3:483,L4.1.2:353,L4.3:301
Orygis_La3	1688	958	56.754	Caprae_La2:908,L9:886,L6.1:788,Microti:644,L7:636,L1:534,L2.2.1:465,L3:448,L4.1.2:322,L4.3:277
Caprae_La2	1566	1027	65.581	L9:956,Orygis_La3:908,L6.1:838,Microti:694,L7:670,L1:571,L2.2.1:499,L3:475,L4.1.2:344,L4.3:295
Microti	1009	726	71.952	L9:698,Caprae_La2:694,Orygis_La3:644,L6.1:643,L7:509,L1:440,L2.2.1:371,L3:358,L4.1.2:267,L4.3:227
