clade	n	k_class	k_lo	k_hi	n_events	loss	gain	ratio	ci95_lo	ci95_hi
L1	40	terminal	1	1	6277	4275	1241	3.445	3.234	3.670
L1	40	k2-7	2	7	1487	1002	332	3.018	2.666	3.417
L1	40	k8-13	8	13	273	197	54	3.648	2.703	4.924
L1	40	k14-19	14	19	365	219	88	2.489	1.944	3.185
L1	40	k20-25	20	25	39	14	15	0.933	0.457	1.904
L1	40	k26-31	26	31	27	11	11	1.000	0.443	2.255
L1	40	k32-37	32	37	58	25	25	1.000	0.578	1.729
L1	40	k38-39	38	39	392	149	185	0.805	0.649	0.999
L1	40	racine	40	40	965	376	443	0.849	0.740	0.974
L2.2.1	40	terminal	1	1	2223	1216	692	1.757	1.601	1.929
L2.2.1	40	k2-7	2	7	582	321	196	1.638	1.371	1.956
L2.2.1	40	k8-13	8	13	107	59	35	1.686	1.113	2.553
L2.2.1	40	k14-19	14	19	11	4	4	1.000	0.274	3.647
L2.2.1	40	k20-25	20	25	20	3	12	0.250	0.076	0.824
L2.2.1	40	k26-31	26	31	46	23	18	1.278	0.696	2.346
L2.2.1	40	k32-37	32	37	133	66	45	1.467	1.006	2.138
L2.2.1	40	k38-39	38	39	84	32	35	0.914	0.569	1.470
L2.2.1	40	racine	40	40	961	354	456	0.776	0.676	0.892
L3	40	terminal	1	1	4494	2813	976	2.882	2.680	3.100
L3	40	k2-7	2	7	679	430	149	2.886	2.396	3.476
L3	40	k8-13	8	13	68	39	18	2.167	1.248	3.761
L3	40	k14-19	14	19	21	2	13	0.154	0.039	0.610
L3	40	k20-25	20	25	16	6	7	0.857	0.302	2.431
L3	40	k26-31	26	31	42	21	11	1.909	0.935	3.900
L3	40	k32-37	32	37	74	35	23	1.522	0.905	2.560
L3	40	k38-39	38	39	212	108	65	1.662	1.223	2.257
L3	40	racine	40	40	817	302	388	0.778	0.670	0.905
L4.1.2	40	terminal	1	1	3393	2083	808	2.578	2.377	2.796
L4.1.2	40	k2-7	2	7	493	297	116	2.560	2.067	3.172
L4.1.2	40	k8-13	8	13	59	33	20	1.650	0.953	2.856
L4.1.2	40	k14-19	14	19	22	8	13	0.615	0.262	1.446
L4.1.2	40	k20-25	20	25	21	3	12	0.250	0.076	0.824
L4.1.2	40	k26-31	26	31	18	7	7	1.000	0.366	2.732
L4.1.2	40	k32-37	32	37	190	109	48	2.271	1.620	3.184
L4.1.2	40	k38-39	38	39	78	18	40	0.450	0.260	0.779
L4.1.2	40	racine	40	40	484	164	244	0.672	0.552	0.819
L4.3	40	terminal	1	1	2559	1442	710	2.031	1.856	2.222
L4.3	40	k2-7	2	7	625	343	173	1.983	1.652	2.380
L4.3	40	k8-13	8	13	282	153	77	1.987	1.512	2.611
L4.3	40	k14-19	14	19	23	4	11	0.364	0.122	1.081
L4.3	40	k20-25	20	25	97	55	28	1.964	1.251	3.084
L4.3	40	k26-31	26	31	26	9	9	1.000	0.409	2.445
L4.3	40	k32-37	32	37	29	7	18	0.389	0.167	0.908
L4.3	40	k38-39	38	39	72	14	42	0.333	0.184	0.605
L4.3	40	racine	40	40	441	163	217	0.751	0.613	0.920
L6.1	40	terminal	1	1	4099	2849	850	3.352	3.105	3.619
L6.1	40	k2-7	2	7	849	579	175	3.309	2.794	3.917
L6.1	40	k8-13	8	13	258	174	61	2.852	2.133	3.814
L6.1	40	k14-19	14	19	51	27	15	1.800	0.967	3.350
L6.1	40	k20-25	20	25	26	7	14	0.500	0.208	1.204
L6.1	40	k26-31	26	31	165	101	49	2.061	1.468	2.895
L6.1	40	k32-37	32	37	82	45	30	1.500	0.949	2.371
L6.1	40	k38-39	38	39	273	116	114	1.018	0.786	1.317
L6.1	40	racine	40	40	1366	618	557	1.110	0.990	1.244
L7	40	terminal	1	1	1543	938	451	2.080	1.859	2.327
L7	40	k2-7	2	7	483	249	192	1.297	1.075	1.565
L7	40	k8-13	8	13	129	70	45	1.556	1.072	2.257
L7	40	k14-19	14	19	50	20	25	0.800	0.448	1.429
L7	40	k20-25	20	25	129	61	54	1.130	0.785	1.626
L7	40	k26-31	26	31	43	11	18	0.611	0.293	1.273
L7	40	k32-37	32	37	56	22	24	0.917	0.518	1.622
L7	40	k38-39	38	39	74	36	29	1.241	0.765	2.015
L7	40	racine	40	40	1586	705	672	1.049	0.944	1.166
L9	36	terminal	1	1	1915	1382	354	3.904	3.474	4.387
L9	36	k2-6	2	6	540	383	100	3.830	3.075	4.771
L9	36	k7-11	7	11	681	502	133	3.774	3.119	4.568
L9	36	k12-16	12	16	114	76	27	2.815	1.821	4.352
L9	36	k17-21	17	21	19	5	12	0.417	0.153	1.134
L9	36	k22-26	22	26	39	20	16	1.250	0.655	2.385
L9	36	k27-31	27	31	35	12	18	0.667	0.326	1.363
L9	36	k32-35	32	35	134	63	53	1.189	0.827	1.709
L9	36	racine	36	36	1534	662	637	1.039	0.932	1.159
Orygis_La3	40	terminal	1	1	2491	1338	790	1.694	1.551	1.849
Orygis_La3	40	k2-7	2	7	728	369	254	1.453	1.238	1.704
Orygis_La3	40	k8-13	8	13	32	9	19	0.474	0.219	1.027
Orygis_La3	40	k14-19	14	19	50	16	23	0.696	0.371	1.303
Orygis_La3	40	k20-25	20	25	20	10	8	1.250	0.509	3.072
Orygis_La3	40	k26-31	26	31	50	22	21	1.048	0.581	1.889
Orygis_La3	40	k32-37	32	37	71	28	32	0.875	0.530	1.445
Orygis_La3	40	k38-39	38	39	340	150	135	1.111	0.881	1.401
Orygis_La3	40	racine	40	40	1825	745	799	0.932	0.844	1.030
Caprae_La2	40	terminal	1	1	951	536	312	1.718	1.494	1.975
Caprae_La2	40	k2-7	2	7	900	534	279	1.914	1.656	2.212
Caprae_La2	40	k8-13	8	13	129	78	37	2.108	1.429	3.110
Caprae_La2	40	k14-19	14	19	259	119	99	1.202	0.921	1.568
Caprae_La2	40	k20-25	20	25	33	16	12	1.333	0.641	2.772
Caprae_La2	40	k26-31	26	31	205	109	70	1.557	1.155	2.100
Caprae_La2	40	k32-37	32	37	69	29	32	0.906	0.551	1.490
Caprae_La2	40	k38-39	38	39	71	23	32	0.719	0.423	1.221
Caprae_La2	40	racine	40	40	1719	755	741	1.019	0.921	1.128
Microti	32	terminal	1	1	1338	661	423	1.563	1.383	1.765
Microti	32	k2-6	2	6	1308	663	404	1.641	1.450	1.857
Microti	32	k7-11	7	11	94	49	27	1.815	1.139	2.891
Microti	32	k12-16	12	16	30	13	14	0.929	0.444	1.942
Microti	32	k17-21	17	21	25	11	12	0.917	0.413	2.034
Microti	32	k22-26	22	26	53	16	23	0.696	0.371	1.303
Microti	32	k27-31	27	31	538	237	231	1.026	0.856	1.230
Microti	32	racine	32	32	1093	478	448	1.067	0.938	1.214
Canettii	40	terminal	1	1	28295	12694	10428	1.217	1.186	1.249
Canettii	40	k2-7	2	7	26913	12315	9855	1.250	1.217	1.283
Canettii	40	k8-13	8	13	3144	1116	1448	0.771	0.713	0.833
Canettii	40	k14-19	14	19	235	90	100	0.900	0.678	1.195
Canettii	40	k20-25	20	25	530	215	189	1.138	0.936	1.383
Canettii	40	k26-31	26	31	3092	1458	1039	1.403	1.296	1.519
Canettii	40	k32-37	32	37	5725	2477	2209	1.121	1.059	1.188
Canettii	40	k38-39	38	39	2834	919	1403	0.655	0.603	0.712
Canettii	40	racine	40	40	1863	525	1032	0.509	0.458	0.565
