clade	n	k_class	k_lo	k_hi	n_sites	frac_inverse	frac_tierce	frac_non_liftee	loss_pol	gain_pol	ratio_pol	ci95_lo	ci95_hi	ratio_brut
L1	40	terminal	1	1	6277	0.0008	0.0005	0.0013	4268	1236	3.453	3.241	3.679	3.445
L1	40	k2-8	2	8	1495	0.0094	0.0007	0.0027	1001	325	3.080	2.718	3.490	3.027
L1	40	k9-15	9	15	560	0.0268	0.0000	0.0018	381	102	3.735	3.003	4.646	3.360
L1	40	k16-22	16	22	86	0.3488	0.0116	0.0116	27	13	2.077	1.084	3.979	1.062
L1	40	k23-29	23	29	41	0.6585	0.0000	0.0488	7	2	3.500	0.827	14.817	0.778
L1	40	k30-36	30	36	48	0.4792	0.0417	0.0208	11	8	1.375	0.569	3.321	0.857
L1	40	k37-39	37	39	411	0.6375	0.0000	0.0000	85	36	2.361	1.603	3.478	0.833
L1	40	racine	40	40	965	0.6788	0.0010	0.0000	201	70	2.871	2.189	3.766	0.849
L2.2.1	40	terminal	1	1	2223	0.0036	0.0000	0.0027	1209	689	1.755	1.598	1.927	1.757
L2.2.1	40	k2-8	2	8	645	0.0093	0.0000	0.0047	352	214	1.645	1.388	1.949	1.612
L2.2.1	40	k9-15	9	15	48	0.1042	0.0000	0.0208	24	13	1.846	0.952	3.582	1.867
L2.2.1	40	k16-22	16	22	14	0.4286	0.0000	0.0714	3	2	1.500	0.300	7.502	0.600
L2.2.1	40	k23-29	23	29	44	0.3409	0.0227	0.0227	15	9	1.667	0.745	3.726	1.235
L2.2.1	40	k30-36	30	36	142	0.1831	0.0070	0.0070	67	35	1.914	1.276	2.873	1.400
L2.2.1	40	k37-39	37	39	90	0.4556	0.0000	0.0111	22	14	1.571	0.814	3.035	0.846
L2.2.1	40	racine	40	40	961	0.6202	0.0000	0.0000	195	119	1.639	1.305	2.057	0.776
L3	40	terminal	1	1	4494	0.0022	0.0011	0.0024	2805	962	2.916	2.710	3.137	2.882
L3	40	k2-8	2	8	699	0.0272	0.0014	0.0057	434	144	3.014	2.497	3.638	2.870
L3	40	k9-15	9	15	60	0.2833	0.0167	0.0167	25	10	2.500	1.219	5.125	1.400
L3	40	k16-22	16	22	18	0.6111	0.0000	0.0556	3	2	1.500	0.300	7.502	0.364
L3	40	k23-29	23	29	37	0.2162	0.0000	0.0541	15	7	2.143	0.898	5.112	1.727
L3	40	k30-36	30	36	64	0.2344	0.0000	0.0156	28	8	3.500	1.626	7.535	2.357
L3	40	k37-39	37	39	234	0.2949	0.0043	0.0000	98	38	2.579	1.777	3.743	1.513
L3	40	racine	40	40	817	0.6903	0.0000	0.0000	152	65	2.338	1.751	3.124	0.778
L4.1.2	40	terminal	1	1	3393	0.0047	0.0006	0.0024	2070	798	2.594	2.391	2.815	2.578
L4.1.2	40	k2-8	2	8	497	0.0382	0.0000	0.0121	290	108	2.685	2.154	3.348	2.595
L4.1.2	40	k9-15	9	15	69	0.1304	0.0000	0.0000	35	20	1.750	1.017	3.011	1.385
L4.1.2	40	k16-22	16	22	20	0.8000	0.0500	0.0000	2	2	1.000	0.177	5.665	0.143
L4.1.2	40	k23-29	23	29	20	0.4000	0.0000	0.0500	4	4	1.000	0.274	3.647	0.778
L4.1.2	40	k30-36	30	36	141	0.1418	0.0071	0.0142	69	27	2.556	1.644	3.973	2.056
L4.1.2	40	k37-39	37	39	134	0.4776	0.0000	0.0000	43	17	2.529	1.453	4.403	1.000
L4.1.2	40	racine	40	40	484	0.8223	0.0000	0.0021	55	18	3.056	1.805	5.171	0.672
L4.3	40	terminal	1	1	2559	0.0051	0.0004	0.0027	1431	705	2.030	1.855	2.221	2.031
L4.3	40	k2-8	2	8	645	0.0140	0.0000	0.0031	350	171	2.047	1.705	2.457	2.023
L4.3	40	k9-15	9	15	269	0.0483	0.0000	0.0074	138	69	2.000	1.500	2.667	1.831
L4.3	40	k16-22	16	22	105	0.1524	0.0000	0.0095	57	19	3.000	1.795	5.014	1.812
L4.3	40	k23-29	23	29	23	0.6957	0.0435	0.0435	2	1	2.000	0.262	15.263	0.750
L4.3	40	k30-36	30	36	37	0.5135	0.0270	0.0270	7	8	0.875	0.330	2.320	0.500
L4.3	40	k37-39	37	39	75	0.8800	0.0000	0.0133	6	1	6.000	0.949	37.942	0.311
L4.3	40	racine	40	40	441	0.7551	0.0000	0.0000	65	33	1.970	1.299	2.986	0.751
L6.1	40	terminal	1	1	4099	0.0027	0.0002	0.0027	2837	845	3.357	3.109	3.625	3.352
L6.1	40	k2-8	2	8	865	0.0208	0.0035	0.0023	581	175	3.320	2.804	3.931	3.243
L6.1	40	k9-15	9	15	256	0.0703	0.0039	0.0078	169	48	3.521	2.559	4.845	2.820
L6.1	40	k16-22	16	22	48	0.2500	0.0208	0.0000	22	8	2.750	1.250	6.051	1.786
L6.1	40	k23-29	23	29	39	0.4615	0.0000	0.0513	8	7	1.143	0.431	3.031	0.789
L6.1	40	k30-36	30	36	186	0.1398	0.0054	0.0000	113	37	3.054	2.111	4.418	2.314
L6.1	40	k37-39	37	39	310	0.4935	0.0000	0.0032	93	38	2.447	1.682	3.561	1.000
L6.1	40	racine	40	40	1366	0.5652	0.0000	0.0000	404	118	3.424	2.790	4.202	1.110
L7	40	terminal	1	1	1543	0.0039	0.0000	0.0065	936	443	2.113	1.887	2.366	2.080
L7	40	k2-8	2	8	577	0.0121	0.0000	0.0069	304	215	1.414	1.188	1.683	1.389
L7	40	k9-15	9	15	57	0.2456	0.0000	0.0351	13	21	0.619	0.314	1.220	0.778
L7	40	k16-22	16	22	127	0.1654	0.0000	0.0079	56	40	1.400	0.936	2.095	1.127
L7	40	k23-29	23	29	69	0.6667	0.0145	0.0435	9	8	1.125	0.448	2.822	0.581
