clade	n	k_class	k_lo	k_hi	n_sites	frac_inverse	frac_tierce	frac_non_liftee	loss_pol	gain_pol	ratio_pol	ci95_lo	ci95_hi	ratio_brut
L1	40	terminal	1	1	5522	0.0000	0.0002	0.0014	3786	1074	3.525	3.294	3.772	3.519
L1	40	k2-8	2	8	1250	0.0008	0.0000	0.0032	869	257	3.381	2.942	3.886	3.380
L1	40	k9-15	9	15	482	0.0021	0.0000	0.0021	340	90	3.778	2.996	4.763	3.747
L1	40	k16-22	16	22	34	0.0000	0.0000	0.0294	20	7	2.857	1.238	6.593	3.000
L1	40	k23-29	23	29	12	0.5833	0.0000	0.1667	1	2	0.500	0.066	3.816	0.250
L1	40	k30-36	30	36	12	0.5833	0.0000	0.0833	2	1	2.000	0.262	15.263	0.667
L1	40	k37-39	37	39	336	0.6220	0.0000	0.0000	73	30	2.433	1.596	3.711	0.818
L1	40	racine	40	40	890	0.6742	0.0011	0.0000	190	64	2.969	2.239	3.937	0.859
L2.2.1	40	terminal	1	1	1884	0.0000	0.0000	0.0032	1043	589	1.771	1.601	1.959	1.775
L2.2.1	40	k2-8	2	8	555	0.0000	0.0000	0.0054	312	180	1.733	1.443	2.082	1.724
L2.2.1	40	k9-15	9	15	30	0.0000	0.0000	0.0333	19	7	2.714	1.170	6.297	2.857
L2.2.1	40	k16-22	16	22	2	0.0000	0.0000	0.5000	0	0	nan	nan	nan	nan
L2.2.1	40	k23-29	23	29	19	0.0000	0.0000	0.0526	12	4	3.000	1.020	8.821	3.250
L2.2.1	40	k30-36	30	36	95	0.0316	0.0000	0.0105	56	26	2.154	1.358	3.415	2.111
L2.2.1	40	k37-39	37	39	60	0.3833	0.0000	0.0167	15	10	1.500	0.687	3.273	0.875
L2.2.1	40	racine	40	40	863	0.6141	0.0000	0.0000	181	104	1.740	1.368	2.214	0.796
L3	40	terminal	1	1	3922	0.0005	0.0003	0.0028	2458	840	2.926	2.706	3.165	2.900
L3	40	k2-8	2	8	567	0.0035	0.0000	0.0071	372	110	3.382	2.735	4.182	3.310
L3	40	k9-15	9	15	30	0.0000	0.0000	0.0333	17	6	2.833	1.152	6.969	2.833
L3	40	k16-22	16	22	2	0.0000	0.0000	0.5000	0	0	nan	nan	nan	0.000
L3	40	k23-29	23	29	18	0.1111	0.0000	0.1111	8	4	2.000	0.641	6.240	2.750
L3	40	k30-36	30	36	28	0.0357	0.0000	0.0357	16	3	5.333	1.662	17.115	3.200
L3	40	k37-39	37	39	176	0.2500	0.0000	0.0000	80	28	2.857	1.864	4.380	1.750
L3	40	racine	40	40	741	0.6869	0.0000	0.0000	144	56	2.571	1.891	3.497	0.810
L4.1.2	40	terminal	1	1	2922	0.0000	0.0000	0.0027	1809	677	2.672	2.446	2.919	2.668
L4.1.2	40	k2-8	2	8	380	0.0053	0.0000	0.0158	239	82	2.915	2.269	3.743	2.976
L4.1.2	40	k9-15	9	15	56	0.0000	0.0000	0.0000	33	18	1.833	1.040	3.231	1.833
L4.1.2	40	k23-29	23	29	3	0.0000	0.0000	0.3333	2	0	nan	nan	nan	nan
L4.1.2	40	k30-36	30	36	98	0.0408	0.0000	0.0204	56	18	3.111	1.840	5.259	3.053
L4.1.2	40	k37-39	37	39	101	0.3762	0.0000	0.0000	40	14	2.857	1.569	5.204	1.297
L4.1.2	40	racine	40	40	443	0.8262	0.0000	0.0023	48	16	3.000	1.716	5.244	0.658
L4.3	40	terminal	1	1	2194	0.0005	0.0000	0.0032	1235	595	2.076	1.882	2.289	2.075
L4.3	40	k2-8	2	8	507	0.0000	0.0000	0.0039	279	135	2.067	1.683	2.537	2.059
L4.3	40	k9-15	9	15	212	0.0000	0.0000	0.0094	122	55	2.218	1.616	3.046	2.236
L4.3	40	k16-22	16	22	69	0.0145	0.0000	0.0145	45	15	3.000	1.686	5.339	2.812
L4.3	40	k23-29	23	29	3	0.3333	0.0000	0.3333	0	0	nan	nan	nan	nan
L4.3	40	k30-36	30	36	13	0.3077	0.0000	0.0769	3	4	0.750	0.188	2.993	0.667
L4.3	40	k37-39	37	39	51	0.8235	0.0000	0.0196	6	1	6.000	0.949	37.942	0.400
L4.3	40	racine	40	40	410	0.7561	0.0000	0.0000	58	32	1.812	1.181	2.782	0.739
L6.1	40	terminal	1	1	3587	0.0003	0.0000	0.0031	2516	733	3.432	3.161	3.727	3.437
L6.1	40	k2-8	2	8	723	0.0000	0.0028	0.0028	503	142	3.542	2.941	4.266	3.542
