clade	n	ratio	ci_lo	ci_hi	n_bioprojects	top_bp	top_bp_frac	simpson	n_models	top_model	depth_med	gc_reads_med	q30_med	dup_med	n_missing_meta
L9	36	3.9933993399339935	3.520963825994029	4.529225256576748	14	PRJEB9680	0.3888888888888889	0.19290123456790126	7	NextSeq 500	99.0	0.6486069999999999	0.875912	0.02052875	0
L1	40	3.525139664804469	3.294188966435475	3.7722819738007187	28	PRJNA1237251	0.225	0.07500000000000001	7	NextSeq 550	92.0	0.6489975	0.9165909999999999	0.0161952	0
L6.1	40	3.432469304229195	3.161399514360294	3.7267815949733567	15	PRJEB36076	0.2	0.11624999999999999	5	Illumina HiSeq 2500	107.0	0.6485974999999999	0.900288	0.0159133	0
L3	40	2.926190476190476	2.705721880166373	3.164623373050203	22	PRJEB41116	0.15	0.0675	9	NextSeq 500	99.5	0.651209	0.891851	0.02001715	0
L4.1.2	40	2.672082717872969	2.4462427236702853	2.9187725249286243	33	PRJEB39837	0.1	0.037500000000000006	8	Illumina HiSeq 2500	83.5	0.6496295000000001	0.8931175	0.0240439	0
L7	40	2.216	1.961628833313183	2.5033563519281694	13	PRJEB13960	0.325	0.19874999999999995	6	Illumina HiSeq 2500	86.0	0.6513825	0.8565065	0.00937429	0
L4.3	40	2.0756302521008405	1.882226153292298	2.2889071729772934	30	PRJNA323744	0.125	0.04500000000000001	7	NextSeq 500	92.0	0.65055	0.884144	0.0207048	0
Caprae_La2	40	1.7878787878787878	1.5378710036217706	2.0785297028287584	13	PRJNA384785	0.325	0.16124999999999995	9	Illumina MiSeq	97.5	0.6525935	0.8958375000000001	0.0038546049999999997	0
Orygis_La3	40	1.7840236686390532	1.623690530804845	1.9601890815281766	21	NA	0.175	0.08249999999999999	8	Illumina MiSeq	92.0	0.650651	0.890006	0.0123296	7
L2.2.1	40	1.7707979626485568	1.6006503864358328	1.959032060400521	33	PRJEB51021	0.1	0.03875000000000001	9	Illumina HiSeq 2500	107.0	0.648524	0.8991285	0.0243848	0
Microti	32	1.6115942028985508	1.4090233527987293	1.8432880261759688	12	PRJEB41201	0.25	0.1328125	6	Illumina MiSeq	62.5	0.6493519999999999	0.8953610000000001	0.008022745000000001	0
