clade	bioproject	n	loss	gain	ratio	ci_lo	ci_hi	depth_med	gc_reads_med	model
Caprae_La2	PRJNA384785	13	110	71	1.5492957746478873	1.1496135940085126	2.087934076155351	77.0	0.652956	Illumina MiSeq
Caprae_La2	PRJEB14479	5	14	2	7.0	1.5909266416870484	30.799660220687162	167.0	0.653876	Illumina HiSeq 1500
L1	PRJNA1237251	9	698	187	3.732620320855615	3.1763174661804996	4.386354515255037	73.0	0.648352	NextSeq 550
L3	PRJEB41116	6	502	172	2.9186046511627906	2.454541321090863	3.4704052592617742	103.0	0.656118	NextSeq 500
L4.3	PRJNA323744	5	60	29	2.0689655172413794	1.3281388470425493	3.2230201842720074	45.0	0.645842	Illumina HiSeq 2000
L6.1	PRJEB36076	8	560	168	3.3333333333333335	2.805443796254632	3.9605538082583744	79.0	0.6485405	Illumina HiSeq 2500
L6.1	PRJEB88547	5	296	83	3.566265060240964	2.7957040542761917	4.549210586307299	99.0	0.647622	Illumina HiSeq 2500
L6.1	PRJEB53138	6	337	91	3.7032967032967035	2.937852871546905	4.668173347097199	108.0	0.6486755	Illumina HiSeq 2500
L6.1	PRJEB4884	6	351	94	3.734042553191489	2.973891428024591	4.688494562259964	159.0	0.6549735	Illumina HiSeq 2000
L7	PRJEB13960	13	338	172	1.9651162790697674	1.6355475770020924	2.361094256483416	148.0	0.65374	Illumina MiSeq
L7	PRJEB9201	11	204	96	2.125	1.6672742576539687	2.7083876448461233	57.0		Illumina HiSeq 2500
L9	PRJEB9680	14	210	54	3.888888888888889	2.8836985144396228	5.244465298433716	112.5	0.6454679999999999	NextSeq 500
L9	PRJNA1237251	5	159	38	4.184210526315789	2.9370617139237183	5.960929470951717	64.0	0.648725	NextSeq 550
Microti	PRJEB41201	8	163	88	1.8522727272727273	1.429242882778271	2.400511695765156	62.5	0.6501135	Illumina MiSeq
Microti	PRJEB27266	5	101	42	2.4047619047619047	1.6779842418355313	3.4463254626683892	95.0	0.63146	Illumina MiSeq
Orygis_La3	PRJNA934340	6	211	120	1.7583333333333333	1.4053303311367213	2.2000066764447594	71.5	0.6526654999999999	Illumina MiSeq
Orygis_La3	NA	7	166	73	2.2739726027397262	1.7268098002853238	2.9945112641568743			NA
