term	coef	se	z	p	odds_ratio	model	n_strains
const	0.5714302713491867	0.07640299459887699	7.479160657893713	7.479878788976105e-14	1.7707979626485586	brut	388
clade_Caprae_La2	0.009599611090054081	0.1007048130734387	0.09532425310251648	0.9240572791769524	1.0096458351491915	brut	388
clade_L1	0.6884897853510609	0.07831150010340218	8.791681738211908	1.4733764973447436e-18	1.9907068672765036	brut	388
clade_L3	0.5022711269394332	0.08820027298241397	5.69466635369235	1.2361341001695479e-08	1.6524699812811	brut	388
clade_L4.1.2	0.411427941133835	0.08577154499261336	4.796788272489054	1.6122986335489388e-06	1.508970969153576	brut	388
clade_L4.3	0.15883457216726313	0.10076950715801483	1.576216621940976	0.11497588911009314	1.1721440253953943	brut	388
clade_L6.1	0.6618496445843818	0.08696526774489255	7.6105054551879086	2.730260428851755e-14	1.9383743242481009	brut	388
clade_L7	0.22427349753585196	0.10954862424399903	2.0472506987976846	0.040633475849439105	1.251413231064238	brut	388
clade_L9	0.8132125617291973	0.09407115227928742	8.644653988237055	5.396858760698859e-18	2.2551411421035326	brut	388
clade_Microti	-0.09420639412996314	0.16391255006769506	-0.5747356995608718	0.5654700595832352	0.910094904609057	brut	388
clade_Orygis_La3	0.007441029894981385	0.08587912333337301	0.08664538721589124	0.930953387753226	1.007468783152831	brut	388
const	0.5762694141362559	0.08149559278882096	7.071172739727649	1.5362975225369308e-12	1.7793878739778852	ajuste	370
clade_Caprae_La2	0.0033089319248329843	0.10586732337712446	0.031255460318438254	0.9750658105546158	1.003314412483339	ajuste	370
clade_L1	0.6848637777467669	0.08609188003374466	7.955033360618063	1.7908324720729603e-15	1.9835016200729203	ajuste	370
clade_L3	0.5006331540539688	0.09327304829044966	5.367393510020292	7.988264388368236e-08	1.6497654957993295	ajuste	370
clade_L4.1.2	0.39497248847164973	0.09056246949280781	4.361326393633924	1.2927634908549395e-05	1.4843433538049111	ajuste	370
clade_L4.3	0.15437996432729884	0.10579008140904494	1.4593047124179592	0.14448125896449274	1.1669341959190307	ajuste	370
clade_L6.1	0.6610561849317071	0.09501493827193103	6.9573921422732115	3.466291353505426e-12	1.9368369124478062	ajuste	370
clade_L7	0.24360497857567467	0.13942494704438055	1.747212272550711	0.08060052368351422	1.2758402467025978	ajuste	370
clade_L9	0.8094209601952229	0.09519730777504905	8.502561460119043	1.8545241724682484e-17	2.2466067352492534	ajuste	370
clade_Microti	-0.11854797633317385	0.16539954596706646	-0.7167370118221397	0.47353638384214636	0.8882092016139952	ajuste	370
clade_Orygis_La3	-0.03770494942162954	0.08514331308589243	-0.44284099426096857	0.6578807493730365	0.9629970318097482	ajuste	370
cov_depth	-0.015385963066895545	0.020629848207441653	-0.7458107743781401	0.4557817304375751	0.984731796143005	ajuste	370
gc_reads	-0.0124800369385842	0.016468568280757653	-0.7578094662403795	0.44856505455293716	0.9875975157669535	ajuste	370
after_q30_rate	-0.010497451595222002	0.025747247331898492	-0.4077116073770191	0.6834854147295616	0.9895574543576308	ajuste	370
duplication_rate	0.01016783928669806	0.017571429354294933	0.5786574946000489	0.5628203018769126	1.0102197074111066	ajuste	370
