strate	clade	n	loss	gain	ratio	ci_lo	ci_hi	depth_med
model:Illumina HiSeq 2000	L2.2.1	9	318	161	1.9751552795031055	1.634061120570421	2.387449483399458	157.0
model:Illumina HiSeq 2000	L4.1.2	5	205	68	3.014705882352941	2.29153023475946	3.9661058882111733	60.5
model:Illumina HiSeq 2000	L4.3	6	81	39	2.076923076923077	1.4174890548820893	3.0431342327468203	46.5
model:Illumina HiSeq 2000	L6.1	7	462	119	3.8823529411764706	3.173886544687516	4.74896129639239	145.0
model:Illumina HiSeq 2500	L1	9	721	202	3.5693069306930694	3.053664461812379	4.172020903020987	74.0
model:Illumina HiSeq 2500	L2.2.1	12	199	122	1.6311475409836065	1.3020172498549678	2.0434769975230633	66.5
model:Illumina HiSeq 2500	L3	6	225	88	2.5568181818181817	1.9983801802655896	3.271309072934864	125.5
model:Illumina HiSeq 2500	L4.1.2	11	525	198	2.6515151515151514	2.251673413270604	3.122358934150409	78.0
model:Illumina HiSeq 2500	L4.3	7	204	106	1.9245283018867925	1.5219753910761973	2.433553923722956	96.0
model:Illumina HiSeq 2500	L6.1	22	1302	392	3.3214285714285716	2.966784716365084	3.7184658847165535	103.0
model:Illumina HiSeq 2500	L7	16	337	131	2.572519083969466	2.1024134615082235	3.1477416590738536	57.0
model:Illumina HiSeq 2500	Microti	8	46	17	2.7058823529411766	1.5513421467819044	4.719654734545038	31.0
model:Illumina MiSeq	Caprae_La2	19	220	129	1.7054263565891472	1.372271865157122	2.119462718428552	76.0
model:Illumina MiSeq	L3	9	612	217	2.8202764976958523	2.415682543207291	3.2926344340325215	80.0
model:Illumina MiSeq	L4.1.2	11	510	185	2.7567567567567566	2.3299295551027863	3.261775790293697	111.0
model:Illumina MiSeq	L4.3	6	221	98	2.2551020408163267	1.7777138565244612	2.860688291217122	85.5
model:Illumina MiSeq	L7	14	338	172	1.9651162790697674	1.6355475770020924	2.361094256483416	147.5
model:Illumina MiSeq	L9	6	270	64	4.21875	3.2125003986550627	5.540186569300101	110.0
model:Illumina MiSeq	Microti	14	241	134	1.7985074626865671	1.4560871590486124	2.221452935175073	68.0
model:Illumina MiSeq	Orygis_La3	18	619	347	1.7838616714697406	1.5641472428077365	2.0344391984648755	77.5
model:NextSeq 500	L1	6	705	204	3.4558823529411766	2.95724714498559	4.038594764601062	110.0
model:NextSeq 500	L2.2.1	9	127	90	1.4111111111111112	1.0771522863336553	1.8486100741417693	132.0
model:NextSeq 500	L3	13	903	326	2.7699386503067487	2.4404563225315745	3.1439038902790712	94.0
model:NextSeq 500	L4.1.2	5	288	108	2.6666666666666665	2.13758981141526	3.326695829637666	138.0
model:NextSeq 500	L4.3	7	236	140	1.6857142857142857	1.3676648650752845	2.0777258564032817	137.0
model:NextSeq 500	L9	15	343	90	3.811111111111111	3.021625134438519	4.806872876351532	126.0
model:NextSeq 550	L1	11	951	253	3.758893280632411	3.272248835248665	4.317910833364168	73.0
model:NextSeq 550	L4.3	5	236	80	2.95	2.2892846608531388	3.8014058054086086	79.0
model:NextSeq 550	L6.1	5	364	119	3.0588235294117645	2.486969994971898	3.7621689859546406	127.0
model:NextSeq 550	L9	6	213	52	4.096153846153846	3.0249153352881915	5.546758990450361	72.0
depth:Q1	Caprae_La2	11	234	132	1.7727272727272727	1.432138320230415	2.194314570791927	57.0
depth:Q1	L1	13	1179	328	3.5945121951219514	3.1805570133496466	4.0623443839080915	53.0
depth:Q1	L2.2.1	7	74	78	0.9487179487179487	0.6902495870151047	1.303971437508294	49.0
depth:Q1	L3	12	807	274	2.9452554744525545	2.5680711097853637	3.3778386341170084	53.5
depth:Q1	L4.1.2	18	826	299	2.762541806020067	2.4202475172926428	3.15324658964864	59.0
depth:Q1	L4.3	15	421	206	2.0436893203883497	1.7299732421745557	2.414295167374598	48.0
depth:Q1	L6.1	12	827	259	3.193050193050193	2.7771266781416735	3.6712655622034087	39.0
depth:Q1	L7	19	370	147	2.5170068027210886	2.0791979842329766	3.0470033604237834	55.0
depth:Q1	L9	8	317	79	4.012658227848101	3.136132900624319	5.1341657269408785	64.0
depth:Q1	Microti	19	382	224	1.7053571428571428	1.4460468499031842	2.0111678849745362	35.0
depth:Q1	Orygis_La3	10	298	154	1.9350649350649352	1.5930139719548897	2.3505608669098956	55.5
depth:Q2	Caprae_La2	12	42	24	1.75	1.0598146287362904	2.889656282298808	87.5
depth:Q2	L1	18	1666	456	3.6535087719298245	3.2939981212759606	4.052256818348655	95.0
depth:Q2	L2.2.1	15	460	240	1.9166666666666667	1.6397110379506525	2.2404015256873997	93.0
depth:Q2	L3	17	950	332	2.86144578313253	2.5253251410210735	3.24230406485254	100.0
depth:Q2	L4.1.2	13	511	206	2.4805825242718447	2.110101869966945	2.9161102349145205	101.0
depth:Q2	L4.3	15	518	213	2.431924882629108	2.073316504768941	2.8525594722980854	96.0
depth:Q2	L6.1	13	730	203	3.5960591133004924	3.078126043284516	4.201140877438798	104.0
depth:Q2	L9	13	317	86	3.686046511627907	2.904483946744626	4.677918396179339	94.0
depth:Q2	Microti	6	137	89	1.5393258426966292	1.1788117710142199	2.0100953419857768	92.0
depth:Q2	Orygis_La3	11	328	184	1.7826086956521738	1.4881785147326736	2.135290713013394	86.0
depth:Q3	Caprae_La2	17	196	108	1.8148148148148149	1.434912698622268	2.2952983935772795	167.0
depth:Q3	L1	9	941	290	3.2448275862068967	2.8446032448278076	3.7013618976050275	173.0
depth:Q3	L2.2.1	18	509	271	1.878228782287823	1.6208402392185526	2.1764904851542997	156.0
depth:Q3	L3	11	701	234	2.9957264957264957	2.5836735563081827	3.4734950223437893	170.0
depth:Q3	L4.1.2	9	472	172	2.744186046511628	2.304629808300908	3.267577738839121	138.0
depth:Q3	L4.3	10	296	176	1.6818181818181819	1.3955884585604668	2.0267524995239588	153.5
depth:Q3	L6.1	15	959	271	3.5387453874538743	3.092364454852297	4.049561136811154	149.0
depth:Q3	L7	18	428	208	2.0576923076923075	1.743549609783792	2.4284354224145885	168.5
depth:Q3	L9	15	576	138	4.173913043478261	3.466330190164066	5.025934962558592	156.0
depth:Q3	Microti	7	37	32	1.15625	0.7203876949433132	1.8558257892025778	149.0
depth:Q3	Orygis_La3	12	414	265	1.5622641509433963	1.3390291649636656	1.8227155473414338	164.0
