term	coef	se	z	p	odds_ratio
const	0.7934383518910614	0.12275715045690004	6.463479715339573	1.0232225745427046e-10	2.210985518032256
clade_Caprae_La2	0.04758455548176325	0.1117620772800785	0.4257665626822163	0.6702779540820398	1.0487348736548419
clade_L1	0.7319872896134512	0.0838097655257514	8.733914061465077	2.4600805481727703e-18	2.0792084941072155
clade_L3	0.5645840487392034	0.0992321920655374	5.689525112640127	1.2739315469825618e-08	1.7587160903830112
clade_L4.1.2	0.46640104687189593	0.09784301282697921	4.766830388764261	1.8714672761381736e-06	1.594246238624493
clade_L4.3	0.20160444355434876	0.09959075071119129	2.024328987528095	0.04293631296439143	1.2233640028752584
clade_L6.1	0.7130187669568974	0.09806228817080978	7.271080251716397	3.566239854075345e-13	2.040140681416152
clade_L7	0.29266040717285846	0.11996620577156045	2.4395237416288897	0.014706636264148263	1.339987662958244
clade_L9	0.866200117800224	0.11205715068346597	7.729985213054608	1.0755907668474726e-14	2.3778580840810717
clade_Microti	-0.10479798534809526	0.18162684037055415	-0.5769961374336906	0.5639420648092572	0.90050641970362
clade_Orygis_La3	0.021382583864082174	0.091339550266182	0.2340999468660507	0.8149073871808443	1.021612829464009
