clade	bioproject	n	ratio
Caprae_La2	PRJNA384785	13	1.5492957746478873
L1	PRJNA1237251	9	3.732620320855615
L3	PRJEB41116	6	2.9186046511627906
L4.3	PRJNA323744	5	2.0689655172413794
L6.1	PRJEB36076	8	3.3333333333333335
L6.1	PRJEB4884	6	3.734042553191489
L6.1	PRJEB53138	6	3.7032967032967035
L6.1	PRJEB88547	5	3.566265060240964
L7	PRJEB13960	13	1.9651162790697674
L7	PRJEB9201	11	2.125
L9	PRJEB9680	14	3.888888888888889
L9	PRJNA1237251	5	4.184210526315789
Microti	PRJEB27266	5	2.4047619047619047
Microti	PRJEB41201	8	1.8522727272727273
Orygis_La3	PRJNA934340	6	1.7583333333333333
