clade	n	strate_gc	gc_lo	gc_hi	loss	gain	ratio	ci95_lo	ci95_hi	n_gc	n_at	vu
L1	40	Q1	0.0	0.6279	817	291	2.808	2.456	3.209	518880	346577	1.8752616592650522
L1	40	Q2	0.6279	0.6545	914	267	3.423	2.987	3.923	646430	365471	1.9353804627095945
L1	40	Q3	0.6545	0.6811	1015	282	3.599	3.155	4.107	711402	356079	1.8015578557582461
L1	40	Q4	0.6811	1.0	1040	234	4.444	3.857	5.121	681787	286312	1.86641543147314
L2.2.1	40	Q1	0.0	0.6279	216	157	1.376	1.121	1.689	518880	346577	0.918939469823294
L2.2.1	40	Q2	0.6279	0.6545	265	170	1.559	1.286	1.889	646430	365471	0.8813093360729655
L2.2.1	40	Q3	0.6545	0.6811	279	147	1.898	1.555	2.317	711402	356079	0.9499880632374738
L2.2.1	40	Q4	0.6811	1.0	283	115	2.461	1.982	3.055	681787	286312	1.0334261095569757
L3	40	Q1	0.0	0.6279	549	233	2.356	2.022	2.746	518880	346577	1.5737988738372117
L3	40	Q2	0.6279	0.6545	645	241	2.676	2.309	3.103	646430	365471	1.5131225037250553
L3	40	Q3	0.6545	0.6811	700	200	3.5	2.991	4.095	711402	356079	1.751859708013191
L3	40	Q4	0.6811	1.0	564	166	3.398	2.858	4.039	681787	286312	1.426795893096033
L4.1.2	40	Q1	0.0	0.6279	376	189	1.989	1.671	2.369	518880	346577	1.328797638217928
L4.1.2	40	Q2	0.6279	0.6545	451	176	2.562	2.153	3.049	646430	365471	1.4487561491576815
L4.1.2	40	Q3	0.6545	0.6811	492	178	2.764	2.329	3.28	711402	356079	1.3834911337760671
L4.1.2	40	Q4	0.6811	1.0	490	134	3.657	3.022	4.425	681787	286312	1.53561418895458
L4.3	40	Q1	0.0	0.6279	256	164	1.561	1.283	1.898	518880	346577	1.0426268962042073
L4.3	40	Q2	0.6279	0.6545	319	169	1.888	1.567	2.274	646430	365471	1.0671743953385489
L4.3	40	Q3	0.6545	0.6811	363	161	2.255	1.873	2.714	711402	356079	1.1285271943368025
L4.3	40	Q4	0.6811	1.0	297	101	2.941	2.347	3.684	681787	286312	1.2348832792890354
L6.1	40	Q1	0.0	0.6279	528	197	2.68	2.276	3.156	518880	346577	1.7901956733049396
L6.1	40	Q2	0.6279	0.6545	618	206	3.0	2.563	3.512	646430	365471	1.6961047599894807
L6.1	40	Q3	0.6545	0.6811	722	195	3.703	3.161	4.336	711402	356079	1.85324939074802
L6.1	40	Q4	0.6811	1.0	648	135	4.8	3.989	5.776	681787	286312	2.015728665990991
L7	40	Q1	0.0	0.6279	188	103	1.825	1.436	2.32	518880	346577	1.2191395806950893
L7	40	Q2	0.6279	0.6545	221	92	2.402	1.885	3.062	646430	365471	1.358112869411867
L7	40	Q3	0.6545	0.6811	233	103	2.262	1.795	2.851	711402	356079	1.132269936108387
L7	40	Q4	0.6811	1.0	189	77	2.455	1.885	3.197	681787	286312	1.030770340563575
L9	36	Q1	0.0	0.6279	250	81	3.086	2.404	3.963	518880	346577	2.0615211585827784
L9	36	Q2	0.6279	0.6545	295	79	3.734	2.915	4.784	646430	365471	2.111185249775936
L9	36	Q3	0.6545	0.6811	328	84	3.905	3.074	4.959	711402	356079	1.9544557286677775
L9	36	Q4	0.6811	1.0	337	59	5.712	4.335	7.525	681787	286312	2.3986601710415396
Orygis_La3	40	Q1	0.0	0.6279	268	183	1.464	1.214	1.767	518880	346577	0.9781748920331138
Orygis_La3	40	Q2	0.6279	0.6545	294	186	1.581	1.316	1.899	646430	365471	0.8936465939729522
Orygis_La3	40	Q3	0.6545	0.6811	315	168	1.875	1.555	2.26	711402	356079	0.9384962721499236
Orygis_La3	40	Q4	0.6811	1.0	329	139	2.367	1.942	2.885	681787	286312	0.9939669231280517
Caprae_La2	40	Q1	0.0	0.6279	87	76	1.145	0.843	1.555	518880	346577	0.7646073476069916
Caprae_La2	40	Q2	0.6279	0.6545	129	76	1.697	1.28	2.251	646430	365471	0.9596382194677325
Caprae_La2	40	Q3	0.6545	0.6811	126	61	2.066	1.523	2.801	711402	356079	1.0338844178438504
Caprae_La2	40	Q4	0.6811	1.0	130	51	2.549	1.846	3.519	681787	286312	1.0704441445213597
Microti	32	Q1	0.0	0.6279	111	107	1.037	0.796	1.352	518880	346577	0.6929023079184209
Microti	32	Q2	0.6279	0.6545	150	96	1.562	1.21	2.017	646430	365471	0.8833878958278545
Microti	32	Q3	0.6545	0.6811	150	80	1.875	1.431	2.457	711402	356079	0.9384962721499237
Microti	32	Q4	0.6811	1.0	145	62	2.339	1.739	3.145	681787	286312	0.9821258621259871
