clade	n	strate_gc	gc_lo	gc_hi	loss	gain	ratio	ci95_lo	ci95_hi
L1	40	Q1	0.0000	0.6279	817	291	2.808	2.456	3.209
L1	40	Q2	0.6279	0.6545	914	267	3.423	2.987	3.923
L1	40	Q3	0.6545	0.6811	1015	282	3.599	3.155	4.107
L1	40	Q4	0.6811	1.0000	1040	234	4.444	3.857	5.121
L2.2.1	40	Q1	0.0000	0.6279	216	157	1.376	1.121	1.689
L2.2.1	40	Q2	0.6279	0.6545	265	170	1.559	1.286	1.889
L2.2.1	40	Q3	0.6545	0.6811	279	147	1.898	1.555	2.317
L2.2.1	40	Q4	0.6811	1.0000	283	115	2.461	1.982	3.055
L3	40	Q1	0.0000	0.6279	549	233	2.356	2.022	2.746
L3	40	Q2	0.6279	0.6545	645	241	2.676	2.309	3.103
L3	40	Q3	0.6545	0.6811	700	200	3.500	2.991	4.095
L3	40	Q4	0.6811	1.0000	564	166	3.398	2.858	4.039
L4.1.2	40	Q1	0.0000	0.6279	376	189	1.989	1.671	2.369
L4.1.2	40	Q2	0.6279	0.6545	451	176	2.562	2.153	3.049
L4.1.2	40	Q3	0.6545	0.6811	492	178	2.764	2.329	3.280
L4.1.2	40	Q4	0.6811	1.0000	490	134	3.657	3.022	4.425
L4.3	40	Q1	0.0000	0.6279	256	164	1.561	1.283	1.898
L4.3	40	Q2	0.6279	0.6545	319	169	1.888	1.567	2.274
L4.3	40	Q3	0.6545	0.6811	363	161	2.255	1.873	2.714
L4.3	40	Q4	0.6811	1.0000	297	101	2.941	2.347	3.684
L6.1	40	Q1	0.0000	0.6279	528	197	2.680	2.276	3.156
L6.1	40	Q2	0.6279	0.6545	618	206	3.000	2.563	3.512
L6.1	40	Q3	0.6545	0.6811	722	195	3.703	3.161	4.336
L6.1	40	Q4	0.6811	1.0000	648	135	4.800	3.989	5.776
L7	40	Q1	0.0000	0.6279	188	103	1.825	1.436	2.320
L7	40	Q2	0.6279	0.6545	221	92	2.402	1.885	3.062
L7	40	Q3	0.6545	0.6811	233	103	2.262	1.795	2.851
L7	40	Q4	0.6811	1.0000	189	77	2.455	1.885	3.197
L9	36	Q1	0.0000	0.6279	250	81	3.086	2.404	3.963
L9	36	Q2	0.6279	0.6545	295	79	3.734	2.915	4.784
L9	36	Q3	0.6545	0.6811	328	84	3.905	3.074	4.959
L9	36	Q4	0.6811	1.0000	337	59	5.712	4.335	7.525
Orygis_La3	40	Q1	0.0000	0.6279	268	183	1.464	1.214	1.767
Orygis_La3	40	Q2	0.6279	0.6545	294	186	1.581	1.316	1.899
Orygis_La3	40	Q3	0.6545	0.6811	315	168	1.875	1.555	2.260
Orygis_La3	40	Q4	0.6811	1.0000	329	139	2.367	1.942	2.885
Caprae_La2	40	Q1	0.0000	0.6279	87	76	1.145	0.843	1.555
Caprae_La2	40	Q2	0.6279	0.6545	129	76	1.697	1.280	2.251
Caprae_La2	40	Q3	0.6545	0.6811	126	61	2.066	1.523	2.801
Caprae_La2	40	Q4	0.6811	1.0000	130	51	2.549	1.846	3.519
Microti	32	Q1	0.0000	0.6279	111	107	1.037	0.796	1.352
Microti	32	Q2	0.6279	0.6545	150	96	1.562	1.210	2.017
Microti	32	Q3	0.6545	0.6811	150	80	1.875	1.431	2.457
Microti	32	Q4	0.6811	1.0000	145	62	2.339	1.739	3.145
