clade	bioproject	n	ratio
Caprae_La2	PRJEB56608	4	1.5789473684210527
Caprae_La2	PRJNA384785	13	1.5492957746478873
Caprae_La2	PRJNA946560	4	3.0
L1	PRJNA1237251	9	3.732620320855615
L2.2.1	PRJEB51021	4	0.926829268292683
L2.2.1	PRJNA390471	3	2.1159420289855073
L3	PRJEB25972	3	2.8852459016393444
L3	PRJEB41116	6	2.9186046511627906
L3	PRJEB41201	4	3.426470588235294
L3	PRJNA575883	3	3.980392156862745
L3	PRJNA766079	3	2.8333333333333335
L4.1.2	PRJEB39837	4	2.5526315789473686
L4.3	PRJNA323744	5	2.0689655172413794
L6.1	PRJEB36076	8	3.3333333333333335
L6.1	PRJEB4884	6	3.734042553191489
L6.1	PRJEB53138	6	3.7032967032967035
L6.1	PRJEB88547	5	3.566265060240964
L6.1	PRJNA1237251	3	2.7948717948717947
L7	PRJEB13960	13	1.9651162790697674
L7	PRJEB9201	11	2.125
L7	PRJEB9680	3	1.8333333333333333
L9	PRJEB43202	3	5.0
L9	PRJEB9680	14	3.888888888888889
L9	PRJNA1237251	5	4.184210526315789
Microti	PRJEB2091	4	2.196078431372549
Microti	PRJEB27266	5	2.4047619047619047
Microti	PRJEB41201	8	1.8522727272727273
Orygis_La3	PRJNA785380	3	1.4375
Orygis_La3	PRJNA934340	6	1.7583333333333333
