clade	n	mtbc0_loss	mtbc0_gain	canettii_loss	canettii_gain	vu_mtbc0	vu_mtbc0_lo	vu_mtbc0_hi	gc_eq_mtbc0	vu_canettii	vu_canettii_lo	vu_canettii_hi	gc_eq_canettii
L9	36	1210	303	1205	300	2.114058207011556	1.8639564539659885	2.397718086773751	0.32112437646426084	2.1263756535895983	1.8737772904273482	2.413026053457713	0.31985919505604965
L1	40	3786	1074	3772	1065	1.8661670934630423	1.7439045352411313	1.9970012981489036	0.3488980116618921	1.8749784268225036	1.751699971418681	2.006932784386925	0.34782869696355406
L6.1	40	2516	733	2508	728	1.8171085046157482	1.6736073755864842	1.9729139377088358	0.3549739026244569	1.8237711934713576	1.679327379484771	1.9806390384443222	0.35413634161012386
L3	40	2458	840	2442	838	1.5490905028225348	1.4323770451544684	1.6753140481081852	0.39229678149627434	1.542679966943364	1.4262570676843935	1.6686062662407797	0.3932858295187387
L4.1.2	40	1809	677	1803	668	1.4145688719491962	1.2950118598464404	1.5451635274791198	0.41415260985814634	1.4288724513958972	1.3074897351163637	1.5615239091543738	0.4117136737358481
L7	40	831	375	826	375	1.173124095026029	1.0384630188887605	1.3252471366802323	0.4601670021002745	1.1660655866323706	1.0320963623062211	1.3174244208070092	0.4616665377869383
L4.3	40	1235	595	1233	593	1.0988140167438838	0.9964281826332808	1.2117202869573884	0.4764595585993883	1.1007345087749782	0.9980329780112465	1.214004432220715	0.4760239791477219
Caprae_La2	40	472	264	470	265	0.9464818073314696	0.8141306540571123	1.1003489515413847	0.5137474166126169	0.9389147957602235	0.8076761461102836	1.0914783084074022	0.5157524209865616
Orygis_La3	40	1206	676	1196	671	0.944440952968053	0.8595624930292266	1.0377008313843163	0.5142866377472507	0.9435889760225931	0.8584732292013505	1.0371437633526208	0.514512076543274
L2.2.1	40	1043	589	1039	586	0.9374394212121048	0.8473653140977436	1.0370883181337265	0.516145170296152	0.938625028286403	0.8482375013828621	1.0386441795951598	0.5158295108177386
Microti	32	556	345	551	342	0.8531588406248001	0.7459202371942917	0.9758148003519849	0.5396191508672004	0.8529030975670587	0.7452526261133434	0.9761034961168307	0.5396936306669479
