clade	n_population	n_nucs_population	prevalence_ppm	n_echantillon	n_nucs_echantillon	souches_nucs
L1	21163	0	0.0	40	0	
L2.2.1	35405	2	56.489196441180624	40	0	ERR2513441,ERR2517049
L3	8744	1	114.36413540713632	40	0	SRR21733111
L4.1.2	3961	7	1767.2304973491543	40	0	ERR4195334,ERR5979539,SRR22048547,SRR24466741,SRR5486882,SRR7592324,SRR7592333
L4.3	14995	1	66.68889629876625	40	0	ERR047014
L6.1	1031	0	0.0	40	0	
L7	57	0	0.0	40	0	
L9	36	0	0.0	36	0	
Orygis_La3	354	0	0.0	40	0	
Caprae_La2	278	0	0.0	40	0	
Microti	32	0	0.0	32	0	
