clade	horloge	clock	frac_gc_changing	u	v	lambda_	demi_vie_ans	gc_eq	subs_par_genome_par_an	dGC_ppm_6000ans	dGC_ppm_20000ans	dGC_ppm_100000ans	dGC_ppm_1000000ans
Caprae_La2	central	1e-07	0.8975609756097561	9.301084515253989e-08	8.803307282140341e-08	1.8104391797394332e-07	3828613.4564305344	0.5137474166126169	0.39129379999999997	-152.11248987047534	-506.39971401422895	-2513.7616423044965	-23202.204548150658
Caprae_La2	lo	5e-08	0.8975609756097561	4.6505422576269946e-08	4.4016536410701706e-08	9.052195898697166e-08	7657226.912861069	0.5137474166126169	0.19564689999999998	-76.07689921558412	-253.42905841522523	-1262.5695480139038	-12125.821269666587
Caprae_La2	hi	2e-07	0.8975609756097561	1.8602169030507978e-07	1.7606614564280682e-07	3.6208783594788664e-07	1914306.7282152672	0.5137474166126169	0.7825875999999999	-304.05983520559704	-1010.9691319022688	-4982.422650601398	-42562.0941570216
L1	central	1e-07	0.8813928182807399	5.6270533895084426e-08	1.0501021868660331e-07	1.6128075258168775e-07	4297767.523182101	0.3488980116618921	0.39129379999999997	-294.9606357947161	-982.0931320550619	-4878.939842795889	-45422.58480667736
L1	lo	5e-08	0.8813928182807399	2.8135266947542213e-08	5.250510934330166e-08	8.064037629084388e-08	8595535.046364201	0.3488980116618921	0.19564689999999998	-147.51599650165423	-491.4425477403049	-2449.3058567170788	-23626.520072577398
L1	hi	2e-07	0.8813928182807399	1.1254106779016885e-07	2.1002043737320663e-07	3.225615051633755e-07	2148883.7615910503	0.3488980116618921	0.7825875999999999	-589.6359808074931	-1961.0235133717147	-9679.82292128107	-84079.61651668588
L2.2.1	central	1e-07	0.8690095846645367	9.060730707993213e-08	8.493886150659901e-08	1.7554616858653114e-07	3948517.852261045	0.516145170296152	0.39129379999999997	-144.9715623131998	-482.64531660059964	-2396.370169242017	-22171.669592768387
L2.2.1	lo	5e-08	0.8690095846645367	4.5303653539966065e-08	4.2469430753299506e-08	8.777308429326557e-08	7897035.70452209	0.516145170296152	0.19564689999999998	-72.50486805789733	-241.53447458619326	-1203.4434708832796	-11572.041643051798
L2.2.1	hi	2e-07	0.8690095846645367	1.8121461415986426e-07	1.6987772301319803e-07	3.510923371730623e-07	1974258.9261305225	0.516145170296152	0.7825875999999999	-289.79050979944464	-963.5990736844064	-4751.040065343829	-40773.67069095171
L3	central	1e-07	0.8436940393962651	6.208077527100385e-08	9.616873938017213e-08	1.5824951465117597e-07	4380090.403991608	0.3922967814962744	0.39129379999999997	-248.2320951519176	-826.5245443908967	-4106.587056310005	-38282.69235644697
L3	lo	5e-08	0.8436940393962651	3.1040387635501927e-08	4.8084369690086064e-08	7.912475732558798e-08	8760180.807983216	0.3922967814962744	0.19564689999999998	-124.14550953183942	-413.5892648972008	-2061.4168033803776	-19898.22851888426
L3	hi	2e-07	0.8436940393962651	1.241615505420077e-07	1.9233747876034426e-07	3.1649902930235194e-07	2190045.201995804	0.3922967814962744	0.7825875999999999	-496.22860651312413	-1650.4372819736889	-8148.6990744711375	-70962.20584339935
L4.1.2	central	1e-07	0.8531228551818806	6.711856109739423e-08	9.494382725839415e-08	1.620623883557884e-07	4277039.15505814	0.41415260985814634	0.39129379999999997	-232.96839007666873	-775.6811490952092	-3853.3857945434197	-35862.50665243766
L4.1.2	lo	5e-08	0.8531228551818806	3.3559280548697117e-08	4.7471913629197076e-08	8.10311941778942e-08	8554078.31011628	0.41415260985814634	0.19564689999999998	-116.512511598057	-388.15484632788275	-1934.498965873197	-18657.351504741713
L4.1.2	hi	2e-07	0.8531228551818806	1.3423712219478847e-07	1.898876545167883e-07	3.241247767115768e-07	2138519.57752907	0.41415260985814634	0.7825875999999999	-465.7103577725899	-1548.8521935310118	-7644.826006813028	-66359.55728757016
L4.3	central	1e-07	0.8371454711802379	7.863399205329405e-08	8.640413266068668e-08	1.6503812471398072e-07	4199921.574249609	0.4764595585993883	0.39129379999999997	-175.57636725534638	-584.5790642089081	-2903.6949403116837	-26988.88927655318
L4.3	lo	5e-08	0.8371454711802379	3.931699602664703e-08	4.320206633034334e-08	8.251906235699036e-08	8399843.148499219	0.4764595585993883	0.19564689999999998	-87.80991622302618	-292.530726630968	-1457.8376907605266	-14050.903371089747
L4.3	hi	2e-07	0.8371454711802379	1.572679841065881e-07	1.7280826532137336e-07	3.3007624942796144e-07	2099960.7871248047	0.4764595585993883	0.7825875999999999	-350.9789597968756	-1167.2317527709704	-5759.861125487297	-49871.72615622713
L6.1	central	1e-07	0.9088111888111888	5.923405232823228e-08	1.0763470024848514e-07	1.6686875257671743e-07	4153846.4802825972	0.3549739026244569	0.39129379999999997	-299.0950014303209	-995.8198809765788	-4946.0309181988405	-45935.025974773904
L6.1	lo	5e-08	0.9088111888111888	2.961702616411614e-08	5.381735012424257e-08	8.343437628835871e-08	8307692.9605651945	0.3549739026244569	0.19564689999999998	-149.5849329217217	-498.32536844521627	-2483.3321243707683	-23925.09760989316
L6.1	hi	2e-07	0.9088111888111888	1.1846810465646456e-07	2.1526940049697029e-07	3.3373750515343485e-07	2076923.2401412986	0.3549739026244569	0.7825875999999999	-597.8906950622579	-1988.3218771191682	-9810.212836710318	-84810.32904993306
L7	central	1e-07	0.908816880180859	8.164016260306345e-08	9.577404187149667e-08	1.774142044745601e-07	3906942.9790743585	0.4601670021002746	0.39129379999999997	-206.06965341212708	-686.0466424170457	-3406.019382219147	-31487.511495726474
L7	lo	5e-08	0.908816880180859	4.0820081301531725e-08	4.7887020935748336e-08	8.870710223728006e-08	7813885.958148717	0.4601670021002746	0.19564689999999998	-103.06224646813611	-343.3276071769513	-1710.5630943175283	-16441.589681534682
L7	hi	2e-07	0.908816880180859	1.632803252061269e-07	1.9154808374299335e-07	3.548284089491202e-07	1953471.4895371792	0.4601670021002746	0.7825875999999999	-411.920065432809	-1369.6633101179782	-6752.1440224471435	-57856.18780577774
L9	central	1e-07	0.9092548076923077	5.260570227500379e-08	1.1121151663007822e-07	1.63817218905082e-07	4231222.976392759	0.3211243764642609	0.39129379999999997	-326.8825959207094	-1088.3603355584821	-5406.317852973241	-50276.728972240526
L9	lo	5e-08	0.9092548076923077	2.6302851137501895e-08	5.560575831503911e-08	8.1908609452541e-08	8462445.952785518	0.3211243764642609	0.19564689999999998	-163.4814597078755	-544.6258980879051	-2714.229464032859	-26167.313519923086
L9	hi	2e-07	0.9092548076923077	1.0521140455000758e-07	2.2242303326015645e-07	3.27634437810164e-07	2115611.4881963795	0.3211243764642609	0.7825875999999999	-653.4440557035266	-2173.16066294115	-10724.792387301946	-92956.50191639339
Microti	central	1e-07	0.805183199285076	8.907021993952098e-08	7.599104557779767e-08	1.6506126551731866e-07	4199332.765246602	0.5396191508672002	0.39129379999999997	-113.0807242374475	-376.50063210565946	-1870.1353483276555	-17382.117334166076
Microti	lo	5e-08	0.805183199285076	4.453510996976049e-08	3.799552278889884e-08	8.253063275865933e-08	8398665.530493204	0.5396191508672002	0.19564689999999998	-56.55436105402388	-188.40568019456387	-938.9262386033475	-9049.494524404752
Microti	hi	2e-07	0.805183199285076	1.7814043987904196e-07	1.5198209115559535e-07	3.301225310346373e-07	2099666.382623301	0.5396191508672002	0.7825875999999999	-226.04951242827119	-751.7604001081627	-3709.6553712427303	-32119.402270478928
Orygis_La3	central	1e-07	0.8539019963702359	8.860916048808624e-08	8.368611997306731e-08	1.7229528046115354e-07	4023018.96317018	0.5142866377472507	0.39129379999999997	-144.20856938659304	-480.11604628314956	-2384.121074602994	-22089.601531145232
Orygis_La3	lo	5e-08	0.8539019963702359	4.430458024404312e-08	4.184305998653366e-08	8.614764023057677e-08	8046037.92634036	0.5142866377472507	0.19564689999999998	-72.12291953481214	-240.2648274125361	-1197.1951656613849	-11520.248522026079
Orygis_La3	hi	2e-07	0.8539019963702359	1.7721832097617248e-07	1.6737223994613463e-07	3.445905609223071e-07	2011509.48158509	0.5142866377472507	0.7825875999999999	-288.2681370678833	-958.580505230648	-4727.51671574771	-40683.09485800826
