clade	vu	gc_eq	S	S_lo	S_hi	ecart_gc_pts
L9	2.114058207011556	0.32112437646426084	1.3846428330814178	1.2587347663325879	1.510550899830248	33.27318819277709
L1	1.8661670934630423	0.3488980116618921	1.259920056700458	1.192159996969619	1.3276801164312972	30.495824673013967
L6.1	1.8171085046157482	0.3549739026244569	1.2332799159336798	1.151014813845753	1.3155450180216068	29.888235576757488
L3	1.5490905028225348	0.39229678149627434	1.073701398288621	0.9953687455183531	1.1520340510588885	26.155947689575743
L4.1.2	1.4145688719491962	0.41415260985814634	0.9828582124830202	0.894553265240449	1.0711631597255915	23.970364853388542
L7	1.173124095026029	0.4601670021002745	0.7957037688850375	0.6737751655267193	0.9176323722433558	19.368925629175727
L4.3	1.0988140167438838	0.4764595585993883	0.7302648435164479	0.6324552004115221	0.8280744866213735	17.739669979264345
Caprae_La2	0.9464818073314696	0.5137474166126169	0.5810298824392394	0.4303989947582404	0.7316607701202382	14.010884177941485
Orygis_La3	0.944440952968053	0.5142866377472507	0.5788713012441666	0.4847016637314177	0.6730409387569155	13.956962064478107
L2.2.1	0.9374394212121048	0.516145170296152	0.5714302713491858	0.4704100381728343	0.6724505045255371	13.771108809587973
Microti	0.8531588406248001	0.5396191508672004	0.4772238772192228	0.3428968068024243	0.611550947636021	11.42371075248314
