clade	n	n_syn	n_nonsyn	attendu_N_sur_S	observe_N_sur_S	pn_ps	pn_ps_lo	pn_ps_hi	branche_term	pi	S	vu	gc_eq
L9	36	586	912	1.7949225792210037	1.5563139931740615	0.8670646919208636	0.7816015151003527	0.9618727260006597	41.611111111111114	0.00011719688044740985	1.3846428330814178	2.114058207011556	0.32112437646426084
L1	40	1843	3094	1.8376896424602527	1.678784590341834	0.9135299843635835	0.8623353442147981	0.9677639191412467	123.425	0.00018890160191913506	1.259920056700458	1.8661670934630423	0.3488980116618921
L6.1	40	1224	1979	1.8298177501844384	1.6168300653594772	0.8836016948663369	0.8228172012483602	0.9488765596855819	80.075	0.00010757344101240683	1.2332799159336798	1.8171085046157482	0.3549739026244569
L3	40	1335	2204	1.945026986787047	1.650936329588015	0.8487986751871064	0.7930187895387398	0.9085020437137975	88.475	8.498860145627868e-05	1.073701398288621	1.5490905028225348	0.39229678149627434
L4.1.2	40	954	1648	1.929349457131956	1.7274633123689727	0.8953605092034006	0.8267397759308776	0.9696768738849203	65.05	6.371892555624574e-05	0.9828582124830202	1.4145688719491962	0.41415260985814634
L7	40	432	753	1.994191861171984	1.7430555555555556	0.8740661264815132	0.7765479915820981	0.9838304930850188	29.625	5.3937436819557626e-05	0.7957037688850375	1.173124095026029	0.4601670021002745
L4.3	40	685	1265	1.9888708203452545	1.8467153284671534	0.9285245223450843	0.8460836471564638	1.018998288755167	48.75	8.207420665783155e-05	0.7302648435164479	1.0988140167438838	0.4764595585993883
Caprae_La2	40	265	467	1.9228797598749947	1.7622641509433963	0.9164713195888858	0.7882301967850284	1.0655766336468615	18.3	0.00010280359733890559	0.5810298824392394	0.9464818073314696	0.5137474166126169
Orygis_La3	40	688	1271	2.033112940853369	1.8473837209302326	0.9086478590583466	0.8281446977426937	0.996976656400504	48.975	6.029864817558362e-05	0.5788713012441666	0.944440952968053	0.5142866377472507
L2.2.1	40	557	1126	2.0382499007960457	2.0215439856373427	0.9918037944453335	0.8960477240424857	1.0977928298711028	42.075	5.604713756235707e-05	0.5714302713491858	0.9374394212121048	0.516145170296152
Microti	32	300	700	2.174066381200154	2.3333333333333335	1.0732576307284873	0.9374851965513525	1.2286934728721657	31.25	9.07390946682271e-05	0.4772238772192228	0.8531588406248001	0.5396191508672004
