lignee	prefixes	n_dirs	n_souches_premier_niveau	n_souches_recursif	gain_absolu	facteur
L4	L4	94	0	54539	54539	54539.0
L2	L2	27	0	38190	38190	38190.0
L1	L1+L_1	34	21167	25054	3887	1.1836349033873483
Bovis	Bovis	413	0	13189	13189	13189.0
L3	L3	1	8744	8744	0	1.0
L6	L6	92	1	1364	1363	1364.0
L5	L5	30	2	630	628	315.0
Orygis_La3	Orygis_La3	18	1	354	353	354.0
Caprae_La2	Caprae_La2	10	0	278	278	278.0
L7	L7	1	57	57	0	1.0
L9	L9	4	1	36	35	36.0
Microti	Microti	1	32	32	0	1.0
La4	La4	2	3	21	18	7.0
Pinnipedii	Pinnipedii	2	0	15	15	15.0
Dassie	Dassie	2	0	6	6	6.0
Suricattae	Suricattae	1	5	5	0	1.0
L8	L8	1	4	4	0	1.0
L10	L10	1	2	2	0	1.0
Mungi	Mungi	1	1	1	0	1.0
Chimpanze	Chimpanze	1	1	1	0	1.0
Borstel	Borstel	1	1	1	0	1.0
