pool	n_souches	loss	gain	ratio_brut	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi	n_cible
L1	4	856	250	3.424	1.8126249554914815	1.574398861090819	2.0868976156360195	0.3555397594149764	0.3239498436665712	0.388440196705293	4
L1	8	1511	446	3.3878923766816142	1.7935100083213904	1.6137411236692032	1.9933049376811771	0.35797258539298965	0.3340788930026854	0.3825933605070219	8
L1	16	1793	523	3.4282982791587	1.8149004134554791	1.6464586195528765	2.000574731513977	0.355252354655216	0.333269486507819	0.37786345594511944	16
L1	40	3563	919	3.877040261153428	2.052459091942732	1.9088962924803892	2.206818851654122	0.3276047179926503	0.3118355124687464	0.34377299822789803	40
L1	80	6556	1766	3.712344280860702	1.9652709949953815	1.8646684150688753	2.0713012847528045	0.3372373053551409	0.32559488870870756	0.34908054095885893	80
L2	4	218	137	1.5912408759124088	0.8423840309220082	0.6803117517720201	1.0430671728131622	0.5427750041339411	0.489460167197082	0.5951276594628478	4
L2	8	500	282	1.7730496453900708	0.9386314353269172	0.8111558345864356	1.0861402135300644	0.5158278060374931	0.4793541649378634	0.552133604907798	8
L2	16	661	384	1.7213541666666667	0.9112644625406667	0.8035777278915874	1.0333822004603415	0.5232138302151488	0.4917914594578472	0.5544535090090166	16
L2	40	1438	780	1.8435897435897435	0.9759745259693082	0.8945130722333673	1.064854505661728	0.5060793987257771	0.48429562337590853	0.5278401160996684	40
L2	80	2341	1252	1.8698083067092652	0.9898543220579685	0.9242052052417283	1.0601666960321525	0.5025493519373666	0.4853976146328274	0.5196950913945663	80
L4	4	550	226	2.433628318584071	1.2883339435327863	1.103501596500442	1.5041250101699115	0.43699915513912074	0.39934108558428055	0.4753977851329812	4
L4	8	744	333	2.234234234234234	1.1827770821805996	1.0393961190144938	1.34593693447507	0.45813198615820055	0.42626891853073684	0.49034122928665486	8
L4	16	1321	554	2.384476534296029	1.262313572385754	1.1430946372587951	1.3939664338295137	0.44202537270084813	0.4177168008159362	0.466614951395281	16
L4	40	2708	1102	2.457350272232305	1.300892064203289	1.2129051182283748	1.395261786988726	0.4346140419004234	0.4174909003400331	0.45189465728227335	40
L4	80	4081	1620	2.519135802469136	1.333600590487037	1.2590123048769266	1.4126077466107274	0.4285223461446305	0.4144892601811534	0.4426713381955133	80
L6	4	359	114	3.1491228070175437	1.6671082324495865	1.350376584476796	2.058129480805538	0.374937915092241	0.3269972727696903	0.42546373487744915	4
L6	8	878	245	3.583673469387755	1.8971541947853339	1.646645995067991	2.185772807010031	0.3451663020904883	0.3138955790568563	0.3778367042148795	8
L6	16	1339	400	3.3475	1.7721267635828664	1.58486593920291	1.9815135075627461	0.3607338643877666	0.3354001239516286	0.3868672586975122	16
L6	40	2561	768	3.3346354166666665	1.7653164058749224	1.6285591778594886	1.9135577357079196	0.3616222714606897	0.3432229908280935	0.38043655567014045	40
L6	80	4647	1346	3.4524517087667164	1.8276869523772659	1.720100933663158	1.9420020828523346	0.3536459363577321	0.33990458600575785	0.3676334166957918	80
Bovis	4	562	322	1.7453416149068324	0.9239631328965909	0.8056791269656143	1.0596127445517387	0.5197604792428983	0.48552816671254545	0.5538082514585345	4
Bovis	8	403	237	1.7004219409282701	0.9001831907102349	0.7667484316371632	1.0568391709742933	0.5262650490167888	0.48618288396672027	0.5660115396697122	8
Bovis	16	432	290	1.4896551724137932	0.7886057653604577	0.6795805855006334	0.9151218654982803	0.5590946978740561	0.5221599826180346	0.5953867344221114	16
Bovis	40	962	551	1.7459165154264973	0.924267478407359	0.8323788088902164	1.0263000000930693	0.5196782730162134	0.4935103390189356	0.5457386841346696	40
Bovis	80	1487	907	1.6394707828004411	0.8679163711165987	0.7991270119722013	0.9426271618489718	0.5353558732408467	0.5147668166279579	0.5558251270452557	80
L9	4	275	74	3.7162162162162162	1.9673207516108764	1.5219623647015392	2.5430004246378126	0.3370043496164436	0.2822466497734688	0.3965166229268233	4
L9	8	405	102	3.9705882352941178	2.101982278993867	1.691724667076796	2.611730849109669	0.3223745044489266	0.2768755596078016	0.37150902253535334	8
L9	16	792	192	4.125	2.183726034288073	1.8652006718236793	2.556646834233128	0.31409737811300537	0.2811637046374374	0.3490156936768786	16
