pool	n_souches	loss	gain	ratio_brut	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi	n_dispo	n_dirs
L9	36	1210	303	3.9933993399339935	2.114058207011556	1.8639564539659885	2.397718086773751	0.32112437646426084	0.2943151769691211	0.3491673201298876	36	4
Suricattae	5	78	20	3.9	2.064613705145087	1.2632621264101342	3.374303450057685	0.3263053997053953	0.2286078255469023	0.4418401157916899	5	1
L1	40	3563	919	3.877040261153428	2.052459091942732	1.9088962924803892	2.206818851654122	0.3276047179926503	0.3118355124687464	0.34377299822789803	25054	34
L6	40	2561	768	3.3346354166666665	1.7653164058749224	1.6285591778594886	1.9135577357079196	0.3616222714606897	0.3432229908280935	0.38043655567014045	1364	92
Dassie	6	92	28	3.2857142857142856	1.7394181398658242	1.1394274482803028	2.6553471832372275	0.36504102292648893	0.2735718250200206	0.4674147752959848	6	2
L5	40	2078	664	3.1295180722891565	1.656729718601904	1.5181205073661008	1.8079943898925515	0.3764026099449239	0.35612606763016547	0.3971215821779627	630	30
Pinnipedii	15	84	28	3.0	1.5881643885731436	1.0354951012903921	2.4358069120643453	0.3863742212106166	0.2910524443293489	0.49128096617184436	15	2
L3	40	2458	840	2.926190476190476	1.5490905028225348	1.4323770451544684	1.6753140481081852	0.39229678149627434	0.3737878925680286	0.4111204724580415	8744	1
L8	4	10	4	2.5	1.3234703238109533	0.41508456412723543	4.219799648997213	0.43039069178202416	0.1915782342703732	0.7066715483655621	4	1
L4	40	2708	1102	2.457350272232305	1.300892064203289	1.2129051182283748	1.395261786988726	0.4346140419004234	0.4174909003400331	0.45189465728227335	54539	94
L7	40	831	375	2.216	1.173124095026029	1.0384630188887605	1.3252471366802323	0.4601670021002745	0.4300618133123283	0.49056568146383933	57	1
L2	40	1438	780	1.8435897435897435	0.9759745259693082	0.8945130722333673	1.064854505661728	0.5060793987257771	0.48429562337590853	0.5278401160996684	38190	27
Caprae_La2	40	472	264	1.7878787878787878	0.9464818073314696	0.8141306540571123	1.1003489515413847	0.5137474166126169	0.4761113620030277	0.5512282137803058	278	10
Orygis_La3	40	1206	676	1.7840236686390532	0.944440952968053	0.8595624930292266	1.0377008313843163	0.5142866377472507	0.4907491740682306	0.5377609000765553	354	18
Bovis	40	962	551	1.7459165154264973	0.924267478407359	0.8323788088902164	1.0263000000930693	0.5196782730162134	0.4935103390189356	0.5457386841346696	13189	413
Microti	32	556	345	1.6115942028985508	0.8531588406248001	0.7459202371942917	0.9758148003519849	0.5396191508672004	0.5061203103761817	0.5727638518051709	32	1
La4	21	321	211	1.5213270142180095	0.8053724624517838	0.6769522367639427	0.9581544576561158	0.5539023225390018	0.5106849442290606	0.596319905884574	21	2
