lignee	C>A	C>G	C>T	T>A	T>C	T>G
Bovis	-6.642441885904112	-3.004017026263972	-0.095135439324307	-0.8295755874581019	8.882349367765004	-0.21617192938860968
Caprae_La2	-3.663210119277474	-1.5924815553557863	-0.4082914458283983	-1.4592967575246143	6.5293125904529985	-1.2158278550267756
Dassie	3.8844953750585236	3.3137529089772757	-2.616186293358798	0.9329590111149656	-0.8980608224993478	-1.4058911783116221
L1	2.49064726516953	-2.9395593099600115	6.303695387112442	-1.6479252860719433	-5.74004248279567	-6.671801412017437
L2	-2.051501350998851	1.2593450805675173	-3.933763602836819	-0.8693336581743814	5.171208607128987	4.040822894561389
L3	0.49959157940108884	5.428847031982457	-0.4783716432399117	-0.06684018905472539	-4.218627872418595	0.2592788800786211
L4	-2.448567871521043	4.335788773057697	-1.1901091423952286	-0.6647813590954008	-2.2717714341476634	4.630424282984478
L5	0.902382780640966	1.0072223949282846	1.8158138303971971	-1.9802084740223758	-3.7619585836579335	-0.6065558031259447
L6	4.97117515853792	-4.739106586047388	2.6164971548075937	0.09877336605856771	-1.845961487976964	-4.7564078070121
L7	3.999326273850265	-3.341988821455565	-2.2752001824600705	-1.6295214019150939	-2.207524462428847	8.707913131392134
L8	0.9113629375588245	-1.2478870145822942	-0.021212962005096182	-0.47701283476316125	-0.20193439610798508	0.9002527883278912
L9	1.4474672037159948	-4.196130550528559	4.775591281388696	-0.7777953071478919	-3.6941112116222135	-3.288932664213632
La4	-3.23138020329632	-0.5627603018290774	-1.9677772087556997	0.9919444634548334	6.3767348256413285	0.08344634184629172
Microti	1.0456855153351996	5.336234498976294	-6.863680391061823	3.707933192488304	4.244210309469474	1.897932273948671
Orygis_La3	-3.6231465646141827	-0.07352701870809088	-3.746536186193403	7.047244841200632	6.079928431381722	2.2111247192088355
Pinnipedii	-1.0655266902845535	0.20209118379728183	0.9318571944547122	-0.7490388364577675	-0.01954851061386409	-0.8875822569315434
Suricattae	5.00202664776904	0.8622704630194644	-1.8919966946177857	0.08350458154783583	-0.7119744199523944	-1.632412639836544
