lignee	n_souches	loss	gain	vu	ic_binom_lo	ic_binom_hi	ic_boot_lo	ic_boot_hi	gc_eq	gc_eq_boot_lo	gc_eq_boot_hi	se_log_boot	se_log_boot_souches_seules	se_log_binom	surdispersion	largeur_binom	largeur_boot
L9	36	1210	303	2.114058207011556	1.8639564539659885	2.397718086773751	1.7849228998565798	2.505816917303959	0.32112437646426084	0.285240223202819	0.35907636798544723	0.0859984826621608	0.05445499286514413	0.06423998999062061	1.3387063521447784	0.2518161334976601	0.33923957512410496
Suricattae	5	78	20	2.064613705145087	1.2632621264101342	3.374303450057685	0.35292541968292085	4.034802892956737	0.3263053997053953	0.19861750723129903	0.7391390430334036	0.5673407306884992	0.4900774280788211	0.2506402059138015	2.2635663285547065	0.9824915533375079	2.436455971256028
L1	40	3563	919	2.052459091942732	1.9088962924803892	2.206818851654122	1.8472337561951286	2.3114158057619183	0.3276047179926503	0.3019856335347507	0.3512180894259766	0.05744336388669454	0.04207872448617732	0.036997319429996164	1.552635833398282	0.1450268272146329	0.22417098657118817
L6	40	2561	768	1.7653164058749224	1.6285591778594886	1.9135577357079196	1.5164846202679503	2.0807589480255726	0.3616222714606897	0.32459534058673756	0.39737973836435453	0.0800869616795457	0.06980917536436418	0.04114068308893375	1.946660961035135	0.16126851430737232	0.3163377995216317
Dassie	6	92	28	1.7394181398658242	1.1394274482803028	2.6553471832372275	0.8050791457694456	3.352791486987748	0.36504102292648893	0.22973762997593705	0.5539923290032432	0.36943447756223413	0.2480723036193312	0.21583292365085782	1.7116687820985546	0.8460495140673292	1.4266079672204517
L5	40	2078	664	1.656729718601904	1.5181205073661008	1.8079943898925515	1.434541557856835	1.8986802824156013	0.3764026099449239	0.34498458007471416	0.4107549516962511	0.07178802012772002	0.05558795999897409	0.0445786501611172	1.6103677403479486	0.17474509759040086	0.280313730339131
Pinnipedii	15	84	28	1.5881643885731436	1.0354951012903921	2.4358069120643453	0.7184553186402318	3.151205758228924	0.3863742212106166	0.2408938651180329	0.58191795221727	0.3636541909128087	0.26261620055816737	0.21821789023599236	1.6664728566458682	0.8553984112897196	1.478436922383075
L3	40	2458	840	1.5490905028225348	1.4323770451544684	1.6753140481081852	1.3867090533087378	1.7336395429941844	0.39229678149627434	0.36581267730151773	0.41898697229713944	0.05704239516165531	0.04015976813990757	0.039966373559996854	1.4272597206254958	0.15666530554053537	0.22328962830870863
L8	4	10	4	1.3234703238109533	0.41508456412723543	4.219799648997213	0.44115677460365105	5.293881295243813	0.43039069178202416	0.15888447097908953	0.6938870340980227	0.590568076063905	0.14989347216304988	0.5916079783099616	0.9982422443844872	2.319060660908157	2.4849066497880004
L4	40	2708	1102	1.300892064203289	1.2129051182283748	1.395261786988726	1.1668668830096032	1.448116709484978	0.4346140419004234	0.4084772576918421	0.4614958158440637	0.05433683935257974	0.040755745920614324	0.03573118015047166	1.5207121377954957	0.14006365244007374	0.21594161207704193
L7	40	831	375	1.173124095026029	1.0384630188887605	1.3252471366802323	0.9487531672837421	1.4523118319869868	0.4601670021002745	0.40777848353394336	0.5131486207634207	0.10677016808415336	0.08824449327047318	0.06220961421744257	1.7162969008448976	0.2438572067166364	0.4257632655689078
L2	40	1438	780	0.9759745259693082	0.8945130722333673	1.064854505661728	0.8494256411162281	1.127870224693315	0.5060793987257771	0.4699534719717823	0.5407084111781029	0.07166778090626963	0.05459388948350447	0.044468658335097146	1.6116470248823636	0.17431393755521446	0.2835259716572713
Caprae_La2	40	472	264	0.9464818073314696	0.8141306540571123	1.1003489515413847	0.7770497530553528	1.2049600793628792	0.5137474166126169	0.45352295007941773	0.5627304459431481	0.11065705705428078	0.07558199471722538	0.07685390592335173	1.439836475775763	0.3012617753619979	0.4386973356525943
Orygis_La3	40	1206	676	0.944440952968053	0.8595624930292266	1.0377008313843163	0.8226055035355447	1.0937859297748762	0.5142866377472507	0.47760374438447006	0.5486650830693587	0.07292905780142109	0.053953567434909686	0.04804661629272115	1.5178812459363453	0.18833927502549783	0.2849235410230145
Bovis	40	962	551	0.924267478407359	0.8323788088902164	1.0263000000930693	0.7824527194316789	1.0937484301395883	0.5196782730162134	0.47761229840460384	0.5610246987750913	0.08345427084401853	0.0616419259149413	0.05342642672094884	1.5620410341104767	0.20942774439145623	0.3349325042325764
Microti	32	556	345	0.8531588406248001	0.7459202371942917	0.9758148003519849	0.6361455624058817	1.1620211769167323	0.5396191508672004	0.4625301595917318	0.6111925631662888	0.1559617277375648	0.14059836184141028	0.0685354789559161	2.275634899084658	0.2686541408335968	0.6024887529265196
La4	21	321	211	0.8053724624517838	0.6769522367639427	0.9581544576561158	0.6500758086419677	1.0372955841891343	0.5539023225390018	0.490846791089478	0.6060327621086767	0.14952911688653933	0.09592135579113616	0.08862618851332141	1.6871888478433619	0.34740827514633477	0.4672832206358087
