a	b	vu_a	vu_b	rapport	p	q_bh
Bovis	L1	0.9255803806596564	2.052818915122267	0.45088262478550295	0.0002	0.001088
Bovis	L6	0.9255803806596564	1.7669681453939998	0.5238240333151393	0.0002	0.001088
Bovis	L5	0.9255803806596564	1.654450058441065	0.5594489697270167	0.0002	0.001088
Bovis	L3	0.9255803806596564	1.5522304106619842	0.5962905856643548	0.0002	0.001088
Bovis	L9	0.9255803806596564	2.1157640242741023	0.43746862600956354	0.0002	0.001088
Caprae_La2	L9	0.9490658804289023	2.1157640242741023	0.4485688713581929	0.0002	0.001088
Caprae_La2	L6	0.9490658804289023	1.7669681453939998	0.5371154442726408	0.0002	0.001088
Caprae_La2	L1	0.9490658804289023	2.052818915122267	0.46232323437665485	0.0002	0.001088
L1	L7	2.052818915122267	1.1756799425870612	1.7460695217825	0.0002	0.001088
L1	Orygis_La3	2.052818915122267	0.9468214007764908	2.168116303073362	0.0002	0.001088
L1	Microti	2.052818915122267	0.8637855922084788	2.3765375732578895	0.0002	0.001088
L2	L3	0.9771747535055546	1.5522304106619842	0.6295294479437599	0.0002	0.001088
L2	L5	0.9771747535055546	1.654450058441065	0.590634179931859	0.0002	0.001088
L2	L6	0.9771747535055546	1.7669681453939998	0.5530234124779105	0.0002	0.001088
L1	L4	2.052818915122267	1.3017000365462965	1.5770291599352322	0.0002	0.001088
L1	L2	2.052818915122267	0.9771747535055546	2.1007694967127475	0.0002	0.001088
L5	Orygis_La3	1.654450058441065	0.9468214007764908	1.7473729016731625	0.0002	0.001088
L7	L9	1.1756799425870612	2.1157640242741023	0.5556763084628142	0.0002	0.001088
L6	Orygis_La3	1.7669681453939998	0.9468214007764908	1.8662106115735284	0.0002	0.001088
L6	Microti	1.7669681453939998	0.8637855922084788	2.045609652826362	0.0002	0.001088
L9	Orygis_La3	2.1157640242741023	0.9468214007764908	2.234596749227424	0.0002	0.001088
L4	L9	1.3017000365462965	2.1157640242741023	0.61523876085042	0.0002	0.001088
L3	Orygis_La3	1.5522304106619842	0.9468214007764908	1.6394120468643778	0.0002	0.001088
L9	Microti	2.1157640242741023	0.8637855922084788	2.449408792365516	0.0002	0.001088
L2	L9	0.9771747535055546	2.1157640242741023	0.4618543194299816	0.0002	0.001088
Caprae_La2	L5	0.9490658804289023	1.654450058441065	0.5736443210157558	0.0004	0.0018758620689655174
L3	Microti	1.5522304106619842	0.8637855922084788	1.7970089159432818	0.0004	0.0018758620689655174
L1	L3	2.052818915122267	1.5522304106619842	1.3224962615226663	0.0004	0.0018758620689655174
L4	L6	1.3017000365462965	1.7669681453939998	0.7366856272646853	0.0004	0.0018758620689655174
L5	Microti	1.654450058441065	0.8637855922084788	1.915348060172038	0.0008	0.0034000000000000002
Bovis	L4	0.9255803806596564	1.3017000365462965	0.7110550469948743	0.0008	0.0034000000000000002
L4	Orygis_La3	1.3017000365462965	0.9468214007764908	1.374810534995057	0.0008	0.0034000000000000002
Caprae_La2	L3	0.9490658804289023	1.5522304106619842	0.6114207490781934	0.0012	0.0049454545454545445
L2	L4	0.9771747535055546	1.3017000365462965	0.7506911931094504	0.0016	0.0064
L6	L7	1.7669681453939998	1.1756799425870612	1.5029329678839465	0.0024	0.009325714285714284
L3	L9	1.5522304106619842	2.1157640242741023	0.7336500634538103	0.0032	0.01208888888888889
L9	La4	2.1157640242741023	0.8085769588907032	2.6166513910769176	0.0040128410914927765	0.014749902390351826
L1	La4	2.052818915122267	0.8085769588907032	2.5388046153807733	0.004815409309791332	0.017234096477147926
L6	La4	1.7669681453939998	0.8085769588907032	2.1852813464016156	0.0056179775280898875	0.01959089599539038
