lignee	n_souches	n_evenements	vu	se_log_boot	mde_facteur	mde_gc_eq_points
L4	40	3810	1.300892064203289	0.05433683935257974	1.240214961637031	5.196866308719638
L3	40	3298	1.5490905028225348	0.05704239516165531	1.2469612218479385	5.119261615619686
L1	40	4482	2.052459091942732	0.05744336388669454	1.2479775817277106	4.681807218067391
L2	40	2218	0.9759745259693082	0.07166778090626963	1.2865544952025645	6.274711018971396
L5	40	2742	1.656729718601904	0.07178802012772002	1.2868999985095415	5.712244341723744
Orygis_La3	40	1882	0.944440952968053	0.07292905780142109	1.2901937811334865	6.353402958373549
L6	40	3329	1.7653164058749224	0.0800869616795457	1.3114561316706097	5.997543279134354
Bovis	40	1513	0.924267478407359	0.08345427084401853	1.3218006721425686	6.957196618366318
L9	36	1513	2.114058207011556	0.0859984826621608	1.3297550797442161	5.873842393744388
L7	40	1206	1.173124095026029	0.10677016808415336	1.3988264867384763	8.152212720566826
Caprae_La2	40	736	0.9464818073314696	0.11065705705428078	1.4125180301678482	8.583423187014173
La4	21	532	0.8053724624517838	0.14952911688653933	1.561614503669992	11.0970013213821
Microti	32	901	0.8531588406248001	0.1559617277375648	1.5883552039666735	11.501220774576648
Pinnipedii	15	112	1.5881643885731436	0.3636541909128087	2.8013974972816067	20.28569949840345
Dassie	6	120	1.7394181398658242	0.36943447756223413	2.8466341601781586	19.701579092862325
Suricattae	5	98	2.064613705145087	0.5673407306884992	4.936845746716228	23.696128778564248
L8	4	14	1.3234703238109533	0.590568076063905	5.26728563677995	30.49374327216986
