lignee	horloge	clock	frac_gc_changing	u	v	lambda_	demi_vie_ans	gc_eq	subs_par_genome_par_an	dGC_ppm_6000ans	dGC_ppm_20000ans	dGC_ppm_100000ans	dGC_ppm_1000000ans
L1	central	1e-07	0.8892857142857142	5.267790455902101e-08	1.0811924415665414e-07	1.6079714871567515e-07	4310693.231169058	0.32760471799265034	0.39129379999999997	-314.6101151300789	-1047.5210623921662	-5204.079559406384	-48459.846183936505
L1	lo	5e-08	0.8892857142857142	2.6338952279510506e-08	5.405962207832707e-08	8.039857435783757e-08	8621386.462338116	0.32760471799265034	0.19564689999999998	-157.34299887140622	-524.1816271054826	-2612.4997377950745	-25203.424398063722
L1	hi	2e-07	0.8892857142857142	1.0535580911804202e-07	2.1623848831330828e-07	3.215942974313503e-07	2155346.615584529	0.32760471799265034	0.7825875999999999	-628.9168461767571	-2091.6787678640494	-10325.148187960216	-89721.69817818723
L2	central	1e-07	0.86640625	8.802340281659049e-08	8.590859883812735e-08	1.7393200165471785e-07	3985161.8676587795	0.5060793987257771	0.39129379999999997	-154.1383072579272	-513.169416675924	-2548.0885551473966	-23591.978863686807
L2	lo	5e-08	0.86640625	4.401170140829524e-08	4.2954299419063676e-08	8.696600082735893e-08	7970323.735317559	0.5060793987257771	0.19564689999999998	-77.08926081674215	-256.8078497412835	-1279.5841694430583	-12308.591414860703
L2	hi	2e-07	0.86640625	1.7604680563318097e-07	1.718171976762547e-07	3.478640033094357e-07	1992580.9338293897	0.5060793987257771	0.7825875999999999	-308.1158409155898	-1024.5568029933315	-5052.240899310633	-43417.59357562718
L3	central	1e-07	0.8436940393962651	6.208077527100385e-08	9.616873938017213e-08	1.5824951465117597e-07	4380090.403991608	0.3922967814962744	0.39129379999999997	-248.2320951519176	-826.5245443908967	-4106.587056310005	-38282.69235644697
L3	lo	5e-08	0.8436940393962651	3.1040387635501927e-08	4.8084369690086064e-08	7.912475732558798e-08	8760180.807983216	0.3922967814962744	0.19564689999999998	-124.14550953183942	-413.5892648972008	-2061.4168033803776	-19898.22851888426
L3	hi	2e-07	0.8436940393962651	1.241615505420077e-07	1.9233747876034426e-07	3.1649902930235194e-07	2190045.201995804	0.3922967814962744	0.7825875999999999	-496.22860651312413	-1650.4372819736889	-8148.6990744711375	-70962.20584339935
L4	central	1e-07	0.8521583538358309	7.120663138342816e-08	9.263214168535058e-08	1.6383877306877874e-07	4230666.328714299	0.43461404190042335	0.39129379999999997	-215.41635652717483	-717.2317696075123	-3562.7718705790408	-33132.13084579896
L4	lo	5e-08	0.8521583538358309	3.560331569171408e-08	4.631607084267529e-08	8.191938653438937e-08	8461332.657428598	0.43461404190042335	0.19564689999999998	-107.73464842671878	-358.9096606708867	-1788.682396635403	-17244.227173817577
