lignee	n	loss	gain	dgc_ppm	sd	boot_lo	boot_hi	age_branche_ans	sous_puissante
L8	4	731.25	220.25	-130.59240907982698	1.4305410771264173	-131.7424400795515	-129.44237808010246	2431.6766583063672	True
L6	40	743.275	248.3	-126.49702090858582	9.575832093613533	-129.5703190288218	-123.78166993701407	2821.0723337492495	False
L9	36	695.9722222222222	229.5	-119.21278134798513	6.905588856043376	-121.48480246811985	-117.04032309680801	2601.206409017104	False
Pinnipedii	15	662.7333333333333	236.93333333333334	-108.8184888183764	4.66277664325153	-110.43705096613677	-106.22878938195973	2627.6687138678826	True
Suricattae	5	653.4	233.8	-107.23400166320039	0.8201922205708969	-107.84735152972011	-106.569539307804	2683.8020485906404	True
L1	40	629.75	227.825	-102.71693545872692	4.373332702513099	-104.15447420838254	-101.40078887015332	2464.494365772848	False
Dassie	6	581.5	194.83333333333334	-98.81747849484623	9.548144910424508	-104.69541471566038	-90.9802302004274	2562.6879058367113	True
Microti	32	597.25	238.21875	-91.75490385996405	4.885526528844838	-93.3841144429071	-90.07777531869915	2651.7497650891855	False
Caprae_La2	40	744.45	388.05	-91.08245517818071	6.440828853441716	-93.11433633755506	-89.08906811199157	3224.5660866369576	False
L5	40	614.6	270.725	-87.88153556228083	4.100935580238948	-89.11478408295763	-86.59733427925514	2597.5686533173607	False
Bovis	40	720.0	384.775	-85.67092041836595	5.295500112653518	-87.2298513291036	-83.99043762001851	3138.758738585759	False
L3	40	572.175	241.5	-84.50811129642227	4.024346524224506	-85.69647666280427	-83.19803431590279	2464.6940979021397	False
L7	40	642.95	317.7	-83.12168503564328	3.7873992565013124	-84.27810509647738	-81.93331966926131	2701.3809662941817	False
L4	40	525.325	246.0	-71.38497977734377	5.079166031526758	-73.02712820903372	-69.89616881228376	2313.205069534121	False
Orygis_La3	40	742.325	468.2	-70.05605506655101	3.722929480920527	-71.23803137182342	-68.93158031126484	3622.953562610789	False
La4	21	685.952380952381	415.0952380952381	-69.22091350722728	5.036127375930315	-71.44826190642915	-67.24943179341383	3215.844810355855	False
L2	40	539.85	288.55	-64.22284227350396	2.8205241330339494	-65.09175458440691	-63.360319023710574	2443.5180254881816	False
