lignee	n_souches	loss	gain	vu	vu_boot_lo	vu_boot_hi	gc_eq	gc_eq_boot_lo	gc_eq_boot_hi	S	S_binom_lo	S_binom_hi	S_boot_lo	S_boot_hi	ecart_gc_pts	sous_puissante
L9	36	1210	303	2.114058207011556	1.796689932700762	2.5018771383343137	0.32112437646426084	0.2855611320720564	0.3575655593090009	1.3846428330814178	1.2587347663325879	1.510550899830248	1.2219794576724108	1.553074717405346	33.27318819277709	False
Suricattae	5	78	20	2.064613705145087	0.3564546738797501	4.008224409256029	0.3263053997053953	0.199671563868391	0.737215934491778	1.3609765531356006	0.8697307764668468	1.8522223298043548	-0.3955147772549961	2.0243817644968085	32.75508586866365	True
L1	40	3563	919	2.052459091942732	1.8598872975462144	2.3072950186095698	0.3276047179926503	0.30236189828036963	0.34966412867318264	1.355072043250149	1.2825586296428326	1.4275854568574655	1.2565493051205123	1.47210926272541	32.625154039938145	False
L6	40	2561	768	1.7653164058749224	1.5145873267335055	2.0780116710064025	0.3616222714606897	0.32488505791566247	0.3976795672866999	1.204363353051853	1.123729095898167	1.2849976102055394	1.051176422209262	1.3674449210707817	29.223398693134207	False
Dassie	6	92	28	1.7394181398658242	0.7940821942865719	3.41455343543226	0.36504102292648893	0.22652347845056334	0.5573880634814818	1.1895840668738364	0.7665593098401717	1.612608823907501	0.4054651081081644	1.8640801308076815	28.881523546554284	True
L5	40	2078	664	1.656729718601904	1.433717482362978	1.9018317113578282	0.3764026099449239	0.3446099221005752	0.4108940364881903	1.140879022182739	1.0535064733875386	1.2282515709779394	0.9963041210221072	1.2788508923240338	27.745364844710785	False
Pinnipedii	15	84	28	1.5881643885731436	0.7459560006934463	3.1763287771462876	0.3863742212106166	0.23944475000919502	0.5727521195281137	1.0986122886681096	0.6709130830232497	1.5263114943129692	0.3429447511268303	1.791759469228055	26.748203718141518	True
L3	40	2458	840	1.5490905028225348	1.3846884381802258	1.7331689878918781	0.39229678149627434	0.36587565731576316	0.4193419920143143	1.073701398288621	0.9953687455183531	1.1520340510588885	0.9615085718990654	1.185984929694618	26.155947689575743	False
L8	4	10	4	1.3234703238109533	0.42351050361950504	5.0291872304816225	0.43039069178202416	0.16585983512741537	0.7024886697058706	0.9162907318741552	-0.24323959857992317	2.0758210623282336	-0.2231435513142097	2.2512917986064953	22.34655666100076	True
L4	40	2708	1102	1.300892064203289	1.1689183619142676	1.4420954921811935	0.4346140419004234	0.40948439698680056	0.46105930843676807	0.8990836443193059	0.829051818099269	0.9691154705393427	0.792112256169205	1.0021306706581419	21.924221649160835	False
L7	40	831	375	1.173124095026029	0.9444647296545353	1.447597177162368	0.4601670021002745	0.4085639619667131	0.5142803491106088	0.7957037688850375	0.6737751655267193	0.9176323722433558	0.5788964763354403	1.005938474641673	19.368925629175727	False
L2	40	1438	780	0.9759745259693082	0.8490503606852563	1.1246172823333942	0.5060793987257771	0.47067300464662243	0.540818152529605	0.6117146185973548	0.5245576498197475	0.698871587374962	0.4723966351687709	0.753476196244331	14.777685966625464	False
Caprae_La2	40	472	264	0.9464818073314696	0.7770673036403907	1.2013038323822498	0.5137474166126169	0.4542762272474675	0.5627248883322885	0.5810298824392394	0.4303989947582404	0.7316607701202382	0.38380509945433283	0.8194409058842373	14.010884177941485	False
Orygis_La3	40	1206	676	0.944440952968053	0.824362960715278	1.0930611429239518	0.5142866377472507	0.47776912938292193	0.5481365394570004	0.5788713012441666	0.4847016637314177	0.6730409387569155	0.44288905219497515	0.7250155600391687	13.956962064478107	False
Bovis	40	962	551	0.924267478407359	0.7847368253511163	1.0871367742626952	0.5196782730162134	0.47912528413633143	0.5603066994503613	0.5572796415127921	0.45256576931706405	0.6619935137085203	0.39362654020849125	0.7195808394603753	13.417798537581838	False
Microti	32	556	345	0.8531588406248001	0.6368496077591316	1.1778100552088737	0.5396191508672004	0.45917686788533535	0.61092967567681	0.4772238772192228	0.3428968068024243	0.611550947636021	0.18481166609396818	0.7996902407206111	11.42371075248314	False
La4	21	321	211	0.8053724624517838	0.6486941372513394	1.0319827373912018	0.5539023225390018	0.4921301650839162	0.6065406417148873	0.4195829896539494	0.24587885208078206	0.5932871272271169	0.2032394554556354	0.6675153515336651	9.995393585302992	False
