lignee_retiree	rho	p
Dassie	-0.3735294117647059	0.1541224698968481
Bovis	-0.36764705882352944	0.1612323576755898
L9	-0.3235294117647059	0.22157412500124282
La4	-0.3205882352941176	0.22604542220798232
L1	-0.3029411764705882	0.25406688060961136
L3	-0.2823529411764706	0.2893498290632738
L8	-0.2764705882352941	0.29994212849237334
L5	-0.2676470588235294	0.31625441854830927
L4	-0.25588235294117645	0.3387899080712459
Pinnipedii	-0.25588235294117645	0.3387899080712459
L6	-0.2529411764705882	0.344563031337499
Orygis_La3	-0.21176470588235297	0.4310832472392213
Caprae_La2	-0.21176470588235297	0.4310832472392213
L2	-0.21176470588235297	0.4310832472392213
L7	-0.2029411764705882	0.4509612417227097
Suricattae	-0.17941176470588235	0.5061395399904387
Microti	-0.1411764705882353	0.6020026838819792
