lignee	n	n_syn	n_nonsyn	attendu_N_sur_S	observe_N_sur_S	pn_ps	pn_ps_lo	pn_ps_hi	branche_term	pi	S	vu	gc_eq	sous_puissante
L9	36	586	912	1.7949225792210037	1.5563139931740615	0.8670646919208636	0.7816015151003527	0.9618727260006597	41.611111111111114	0.00011719688044740985	1.3846428330814178	2.114058207011556	0.32112437646426084	False
Suricattae	5	38	62	2.0790246251062814	1.631578947368421	0.7847809629888407	0.52405816785984	1.175215267390719	20.0	2.6016256838212105e-05	1.3609765531356006	2.064613705145087	0.3263053997053953	True
L1	40	1770	2770	1.8321658716807794	1.5649717514124293	0.8541648851786364	0.8047096457067001	0.9066595075190094	113.5	0.0001941655329851105	1.355072043250149	2.052459091942732	0.3276047179926503	False
L6	40	1293	1996	1.8559585458368155	1.5436968290796598	0.8317517826798426	0.7755439122394958	0.8920333421139124	82.225	0.0001226322942256085	1.204363353051853	1.7653164058749224	0.3616222714606897	False
Dassie	6	46	97	2.129312096091311	2.108695652173913	0.9903177913865973	0.6972509111609385	1.4065658606367277	23.833333333333332	0.0001057687769820699	1.1895840668738364	1.7394181398658242	0.36504102292648893	True
L5	40	1110	1728	1.8891034568495646	1.5567567567567568	0.8240717315466362	0.7642270618437719	0.8886026845161574	70.95	0.00010223022005984066	1.140879022182739	1.656729718601904	0.3764026099449239	False
Pinnipedii	15	53	64	1.8164242049741146	1.2075471698113207	0.6647935908938899	0.46195158618447213	0.9567031085311776	7.8	3.688374554460345e-05	1.0986122886681096	1.5881643885731436	0.3863742212106166	True
L3	40	1335	2204	1.945026986787047	1.650936329588015	0.8487986751871064	0.7930187895387398	0.9085020437137975	88.475	8.498860145627868e-05	1.073701398288621	1.5490905028225348	0.39229678149627434	False
L8	4	7	6	1.9859330881923019	0.8571428571428571	0.43160711820511155	0.14504911234898188	1.2842871043369655	3.25	6.248501765169804e-05	0.9162907318741552	1.3234703238109533	0.43039069178202416	True
L4	40	1520	2476	1.9611186080058214	1.6289473684210527	0.830621545158587	0.7792313451821385	0.88540092175113	99.9	0.00015117010051506841	0.8990836443193059	1.300892064203289	0.4346140419004234	False
L7	40	432	753	1.994191861171984	1.7430555555555556	0.8740661264815132	0.7765479915820981	0.9838304930850188	29.625	5.3937436819557626e-05	0.7957037688850375	1.173124095026029	0.4601670021002745	False
L2	40	781	1499	2.0158367509275466	1.9193341869398208	0.9521277881538165	0.8732335366029621	1.0381499186360998	57.0	6.113610664717787e-05	0.6117146185973548	0.9759745259693082	0.5060793987257771	False
Caprae_La2	40	265	467	1.9228797598749947	1.7622641509433963	0.9164713195888858	0.7882301967850284	1.0655766336468615	18.3	0.00010280359733890559	0.5810298824392394	0.9464818073314696	0.5137474166126169	False
Orygis_La3	40	688	1271	2.033112940853369	1.8473837209302326	0.9086478590583466	0.8281446977426937	0.996976656400504	48.975	6.029864817558362e-05	0.5788713012441666	0.944440952968053	0.5142866377472507	False
Bovis	40	574	908	1.9237606000765741	1.5818815331010454	0.8222860646163974	0.7406829756095495	0.9128795913067622	37.05	0.00010204116937982898	0.5572796415127921	0.924267478407359	0.5196782730162134	False
Microti	32	300	700	2.174066381200154	2.3333333333333335	1.0732576307284873	0.9374851965513525	1.2286934728721657	31.25	9.07390946682271e-05	0.4772238772192228	0.8531588406248001	0.5396191508672004	False
La4	21	199	338	2.0034978404961943	1.6984924623115578	0.8477635602995721	0.7115692002475471	1.010025523760412	25.571428571428573	7.146012730563264e-05	0.4195829896539494	0.8053724624517838	0.5539023225390018	False
