lignee	bande	n_syn	n_nonsyn	pn_ps	pn_ps_lo	pn_ps_hi	attendu_N_sur_S
L1	f<=0.05	1977	3109	0.857335855620004	0.8103360409586114	0.9070616783404631	1.8342691653698986
L1	0.05-0.15	294	480	0.881744199394771	0.7626101073257784	1.0194892851507908	1.851617580637494
L1	0.15-0.35	252	377	0.8209523304065771	0.6999322150268552	0.962897141081199	1.8223125638620643
L1	0.35-0.65	8	24	1.7282255526200476	0.7764123979480702	3.846877727123359	1.735884529338141
L1	0.65-0.95	2	7	1.5840525558970486	0.3290618241979753	7.62538318129038	2.20952264934035
L1	f>0.95	144	220	0.8048754844299447	0.6523578967930067	0.9930508216747977	1.8981541956888281
L2	f<=0.05	876	1673	0.946926664366826	0.8726027903556675	1.0275810684989979	2.0168587742485804
L2	0.05-0.15	25	31	0.6527493237064046	0.38541794294006404	1.1055055619593408	1.8996572726557595
L2	0.15-0.35	35	41	0.5709294280249515	0.3636540146973765	0.8963476233203534	2.051792242486012
L2	0.35-0.65	5	13	1.2682899291764742	0.4521457252761424	3.557612633555384	2.0500044510234594
L2	0.65-0.95	27	71	1.322409620115697	0.8489950646833749	2.0598084442654905	1.9885136871581173
L2	f>0.95	114	185	0.765393791075213	0.6060824144762745	0.9665808501022255	2.120224956703877
L3	f<=0.05	1389	2317	0.858380605362333	0.8031459226037801	0.9174139380219487	1.943318081810287
L3	0.05-0.15	110	199	0.9580070621289003	0.7589878325880807	1.2092124427862134	1.8883899509787696
L3	0.15-0.35	22	35	0.8571676812825365	0.5028854204116106	1.4610414301410846	1.8560068533250043
L3	0.35-0.65	1	2	1.1980527512782007	0.10863057032195499	13.212950927085174	1.6693755745447794
L3	0.65-0.95	24	40	0.8429007456942572	0.5081513761695523	1.3981693259350183	1.9772988399647373
L3	f>0.95	110	175	0.8242331142566381	0.6493470119989334	1.0462206094486692	1.9301688604732956
L4	f<=0.05	1730	2819	0.8337738140473292	0.78532781607344	0.8852083916584721	1.9543427022207125
L4	0.05-0.15	244	362	0.7728085979141247	0.657000522158241	0.90902991530066	1.9197593833472193
L4	0.15-0.35	110	186	0.8518238927844559	0.6729232034516492	1.0782864086073978	1.985045389348988
L4	0.35-0.65	0	0				
L4	0.65-0.95	0	0				
L4	f>0.95	0	0				
L5	f<=0.05	1194	1882	0.8301230038343664	0.7720561770155354	0.8925570729306209	1.8987721073618558
L5	0.05-0.15	247	406	0.8613458219603884	0.7353410697359619	1.0089421841690636	1.90832143658075
L5	0.15-0.35	36	60	0.858355781288426	0.5678256379284569	1.2975367754777114	1.9416967917020773
L5	0.35-0.65	34	37	0.6309253457897996	0.3960550776213888	1.005079380248503	1.7248241830503441
L5	0.65-0.95	4	14	1.4723134944660217	0.4846246616152245	4.472960618145004	2.377211112412835
L5	f>0.95	210	368	0.8721447734120473	0.7361610439586099	1.0332474287144124	2.00927759450441
L6	f<=0.05	1391	2139	0.8288289426087495	0.774720875266218	0.8867160264267798	1.8553196590366534
L6	0.05-0.15	110	143	0.7221362038276409	0.5632039983408631	0.925917959415808	1.8002144098432205
L6	0.15-0.35	106	156	0.8496295517721214	0.6638709279490131	1.0873655478101267	1.7321644593669574
L6	0.35-0.65	16	25	0.8169004829327235	0.43616085302003277	1.5300006738226613	1.9127176842771936
L6	0.65-0.95	75	127	0.9337166436106831	0.7018665211749318	1.242154660826609	1.8135409119250696
L6	f>0.95	189	337	0.9113402145241097	0.7626507659044621	1.08901875371996	1.9565347327505775
L7	f<=0.05	471	832	0.8775594276376241	0.7837769310670469	0.9825634290961244	2.0129170706955772
L7	0.05-0.15	70	149	0.9422949271841558	0.7093200107013612	1.2517900473709132	2.258922729141929
L7	0.15-0.35	32	67	1.0029775872742588	0.6582301939317167	1.528286076586225	2.0875341847768283
L7	0.35-0.65	31	47	0.6591215392454725	0.41880767510717903	1.0373286578049006	2.3002268048979997
L7	0.65-0.95	5	6	0.5740633423574363	0.17519520404654285	1.8810373425007811	2.0903616577782262
L7	f>0.95	248	438	0.8731943906324883	0.7472489930119806	1.020367308571024	2.022606937475617
L8	f<=0.05	0	0				
L8	0.05-0.15	0	0				
L8	0.15-0.35	7	6	0.43160711820511155	0.14504911234898188	1.2842871043369655	1.9859330881923019
L8	0.35-0.65	64	110	0.8884936677444497	0.652877916951027	1.2091402957977513	1.9344538541993868
L8	0.65-0.95	26	58	1.11275067274452	0.7006451735252961	1.7672483968787054	2.004734111071978
L8	f>0.95	248	377	0.7813825946373432	0.6656835081401442	0.9171907546696313	1.9454762631718474
L9	f<=0.05	586	912	0.8670646919208638	0.7816015151003529	0.9618727260006599	1.7949225792210033
L9	0.05-0.15	171	246	0.8254528258550416	0.6791123912054767	1.0033278387139797	1.7427967367340542
L9	0.15-0.35	185	334	1.0161458685735645	0.8490698463417237	1.2160983347458958	1.7767187381667753
L9	0.35-0.65	27	52	1.0526818181961801	0.6612737590473247	1.675764379275045	1.8295423105398465
L9	0.65-0.95	5	14	1.4608051076460353	0.5261605449441573	4.055704258005941	1.9167512389876322
L9	f>0.95	214	349	0.8132241407953524	0.6859699089135554	0.9640852967147853	2.005401757872468
Bovis	f<=0.05	641	1021	0.8285315405335804	0.7506082290809237	0.9145443482540605	1.9224659955886867
Bovis	0.05-0.15	238	412	0.8826252566414002	0.7524403621861867	1.0353343371930015	1.9612994574413267
Bovis	0.15-0.35	34	78	1.103999903016203	0.7379716949385333	1.6515752490497655	2.0780052976373797
Bovis	0.35-0.65	45	85	0.9929836602004944	0.6918557964981527	1.4251763942947664	1.9022356203801996
Bovis	0.65-0.95	46	71	0.8316465124808994	0.5738888136707443	1.205174077706371	1.8559306600892103
Bovis	f>0.95	251	444	0.9017822711283288	0.7724684933424965	1.0527436025287904	1.9615869145171037
Caprae_La2	f<=0.05	289	511	0.9215410697658719	0.7977448033902999	1.064548386471575	1.9187056854824938
Caprae_La2	0.05-0.15	244	380	0.8369059234891004	0.7126003163262552	0.9828953323821841	1.860874687907034
Caprae_La2	0.15-0.35	55	101	0.9214096821053134	0.6634472921301713	1.2796733249923913	1.992993640101285
Caprae_La2	0.35-0.65	78	163	1.0214181189672829	0.779846098505108	1.3378216237210923	2.0459237514373156
Caprae_La2	0.65-0.95	8	15	0.8752295657087694	0.37107458409593486	2.0643472377852707	2.142295088582396
Caprae_La2	f>0.95	269	458	0.8728193619403577	0.7508207614733846	1.0146411469536571	1.9506925541823796
Orygis_La3	f<=0.05	793	1496	0.9237053867521248	0.8475064446498858	1.0067553431612803	2.04232535908498
Orygis_La3	0.05-0.15	74	122	0.8287214262137432	0.6208502766751159	1.1061913444634328	1.989388226850829
Orygis_La3	0.15-0.35	9	12	0.5983093468899785	0.2521008387076212	1.4199638383237592	2.228501594140257
Orygis_La3	0.35-0.65	0	2				
Orygis_La3	0.65-0.95	25	40	0.7771678454113057	0.4715157153069337	1.280953826847708	2.0587573320834207
Orygis_La3	f>0.95	352	649	0.8805239097476386	0.7733837968242983	1.002506593519194	2.093923832833143
Microti	f<=0.05	300	700	1.0732576307284873	0.9374851965513525	1.2286934728721657	2.174066381200154
Microti	0.05-0.15	299	629	0.9809473992853919	0.8547759452433897	1.1257427230135493	2.1445379551425394
Microti	0.15-0.35	29	68	1.1479181505130827	0.7432306557432098	1.772957116468369	2.042678378383366
Microti	0.35-0.65	1	2	0.6049111192346268	0.05484887022415479	6.671376469164596	3.306270849394422
Microti	0.65-0.95	34	62	0.9079081644210065	0.5975712672895933	1.3794124318612073	2.0084954439501175
Microti	f>0.95	190	317	0.8478249282607505	0.7082858051553568	1.0148546021230542	1.967883931007101
Pinnipedii	f<=0.05	0	0				
Pinnipedii	0.05-0.15	76	124	0.8599204966549111	0.6463291093926845	1.1440971013390637	1.897360225410674
Pinnipedii	0.15-0.35	22	18	0.42189282126177313	0.2262911426658602	0.7865688004193889	1.9393120170541096
Pinnipedii	0.35-0.65	11	15	0.8124343881382816	0.37315624584345763	1.7688291228723552	1.6784572188791493
Pinnipedii	0.65-0.95	93	125	0.7103359907532634	0.5431224456914162	0.9290303204410446	1.892183472331261
Pinnipedii	f>0.95	208	344	0.8483501193275966	0.7141838178192861	1.0077208514198743	1.949485378934106
La4	f<=0.05	199	338	0.8477635602995721	0.7115692002475471	1.010025523760412	2.0034978404961943
La4	0.05-0.15	149	198	0.6642066842640455	0.537015386290942	0.821523052566732	2.0006710138352304
La4	0.15-0.35	8	18	1.028847428911533	0.44735595594005517	2.3661851774243785	2.1869131775742328
La4	0.35-0.65	6	20	1.4741326249515507	0.59199293186627	3.6707651037249898	2.2612167161301975
La4	0.65-0.95	102	179	0.8202931944915571	0.6432330834419258	1.0460919101495725	2.1393594053551253
La4	f>0.95	267	425	0.8071963936428191	0.6926383129206011	0.9407016703458964	1.9719616095433337
Dassie	f<=0.05	0	0				
Dassie	0.05-0.15	0	0				
Dassie	0.15-0.35	131	293	1.0453802993385783	0.8507641281525891	1.28451580653529	2.1395478973433777
Dassie	0.35-0.65	48	107	1.0645075158413098	0.7573106842360615	1.4963162079586	2.0940826001636017
Dassie	0.65-0.95	64	93	0.7002611227248794	0.5093450039673594	0.9627377046606564	2.075118770474579
Dassie	f>0.95	172	250	0.7308049085874704	0.6018320123422729	0.8874167599310125	1.9888869861347604
Suricattae	f<=0.05	0	0				
Suricattae	0.05-0.15	0	0				
Suricattae	0.15-0.35	38	62	0.7847809629888408	0.5240581678598402	1.175215267390719	2.079024625106281
Suricattae	0.35-0.65	22	49	1.0394671340792747	0.6285743777894802	1.7189563574493252	2.1427062523199165
Suricattae	0.65-0.95	1	9	3.492175284922368	0.44241957972505364	27.564983060201616	2.5771902226265464
Suricattae	f>0.95	278	488	0.8415718249296434	0.7263218761265667	0.9751091902841078	2.085853674580884
