lignee	n	pi	branche_term	n_interne	n_fixe	n_syn_term	n_nonsyn_term	pn_ps_term	pn_ps_lo_term	pn_ps_hi_term	attendu_N_sur_S_term	n_syn_int	n_nonsyn_int	pn_ps_int	pn_ps_lo_int	pn_ps_hi_int	attendu_N_sur_S_int	n_syn_fixe	n_nonsyn_fixe	pn_ps_fixe	pn_ps_lo_fixe	pn_ps_hi_fixe	attendu_N_sur_S_fixe	S	vu	gc_eq	sous_puissante
L9	36	0.00011719688044740985	41.611111111111114	1056	541	586	912	0.8670646919208638	0.7816015151003529	0.9618727260006599	1.7949225792210033	396	660	0.9404277408057996	0.8302684123169057	1.0652029181853677	1.7722431978012407	206	335	0.8096959782941532	0.6806983133029693	0.9631397117535152	2.008424934577389	1.3846428330814178	2.114058207011556	0.3211243764642608	False
Suricattae	5	2.6016256838212105e-05	20.0	81	766	38	62	0.7847809629888408	0.5240581678598402	1.175215267390719	2.079024625106281	23	58	1.1519181421007625	0.7106735720654009	1.8671236109772784	2.1891652177956558	278	488	0.8415718249296434	0.7263218761265667	0.9751091902841078	2.085853674580884	1.3609765531356006	2.064613705145087	0.3263053997053953	True
L1	40	0.0001941655329851105	113.5	2009	345	1770	2770	0.8541648851786366	0.8047096457067003	0.9066595075190096	1.832165871680779	769	1240	0.8757078539120666	0.800364987305502	0.9581431691371111	1.8413489589251224	138	207	0.7876307464459573	0.6350042951226312	0.9769417270275508	1.9044457149095326	1.355072043250149	2.052459091942732	0.3276047179926503	False
L6	40	0.0001226322942256085	82.225	1082	443	1293	1996	0.8317517826798424	0.7755439122394956	0.892033342113912	1.8559585458368162	431	651	0.8312716647246187	0.7360092187017724	0.938864029166507	1.8170243247340758	163	280	0.8865143335317022	0.7308410761726984	1.0753468697638546	1.9376916379903246	1.204363353051853	1.7653164058749224	0.3616222714606897	False
Dassie	6	0.0001057687769820699	23.833333333333332	593	422	46	97	0.9903177913865975	0.6972509111609386	1.406565860636728	2.1293120960913106	197	396	0.9513862771641133	0.8019414853808706	1.128680664208698	2.1128665953179495	172	250	0.7308049085874704	0.6018320123422729	0.8874167599310125	1.9888869861347604	1.1895840668738364	1.7394181398658242	0.3650410229264889	True
L5	40	0.00010223022005984066	70.95	1170	484	1110	1728	0.8240717315466362	0.7642270618437719	0.8886026845161574	1.8891034568495648	435	735	0.8721881126110061	0.7746714313229259	0.9819803248467055	1.9372600336819488	180	304	0.8435627998789291	0.7015556596576262	1.0143146698964027	2.002090287920809	1.140879022182739	1.656729718601904	0.3764026099449239	False
Pinnipedii	15	3.688374554460345e-05	7.8	367	552	53	64	0.6647935908938899	0.46195158618447213	0.9567031085311776	1.8164242049741146	149	218	0.7666125862270807	0.6224379468486814	0.9441822439283986	1.908509297405094	208	344	0.8483501193275966	0.7141838178192861	1.0077208514198743	1.949485378934106	1.0986122886681096	1.5881643885731436	0.3863742212106166	True
L3	40	8.498860145627868e-05	88.475	683	202	1335	2204	0.8487986751871063	0.7930187895387397	0.9085020437137974	1.9450269867870473	234	449	1.0074857801927666	0.8602170265893752	1.1799668757023467	1.9045464030631638	87	115	0.687443648384504	0.5203393195000829	0.9082126835201089	1.922832632996317	1.073701398288621	1.5490905028225348	0.3922967814962743	False
L8	4	6.248501765169804e-05	3.25	258	625	7	6	0.43160711820511155	0.14504911234898188	1.2842871043369655	1.9859330881923019	90	168	0.9538369019315021	0.7383833855372685	1.2321577832148625	1.957008229485252	248	377	0.7813825946373432	0.6656835081401442	0.9171907546696313	1.9454762631718474	0.9162907318741552	1.3234703238109533	0.4303906917820241	True
L4	40	0.00015117010051506841	99.9	1455	0	1520	2476	0.830621545158587	0.7792313451821385	0.88540092175113	1.9611186080058214	564	891	0.8195270544791671	0.7374971435534485	0.9106809414708263	1.9276816127157061	0	0					0.8990836443193059	1.300892064203289	0.4346140419004234	False
L7	40	5.3937436819557626e-05	29.625	546	665	432	753	0.8740661264815132	0.7765479915820981	0.9838304930850188	1.9941918611719842	182	364	0.9063565456053468	0.7586161150832418	1.0828694136974895	2.206637122771833	243	422	0.857322242660134	0.7321440818562004	1.0039027098277666	2.0256391680855272	0.7957037688850375	1.173124095026029	0.4601670021002745	False
L2	40	6.113610664717787e-05	57.0	613	203	781	1499	0.9521277881538169	0.8732335366029625	1.0381499186361003	2.0158367509275457	233	380	0.8103220507810646	0.6883833045169994	0.9538607657586139	2.012658159779352	68	135	0.9179084651126945	0.6858336677518201	1.2285135448183264	2.162845417710924	0.6117146185973548	0.9759745259693082	0.5060793987257771	False
Caprae_La2	40	0.00010280359733890559	18.3	1128	711	265	467	0.916471319588886	0.7882301967850285	1.0655766336468615	1.9228797598749945	415	713	0.89372613385127	0.7918592528819248	1.0086974413972531	1.922369978992402	263	448	0.8728659096956723	0.7495897793973207	1.0164158013486073	1.9515277596599492	0.5810298824392394	0.9464818073314696	0.5137474166126169	False
Orygis_La3	40	6.029864817558362e-05	48.975	763	852	688	1271	0.9086478590583466	0.8281446977426937	0.996976656400504	2.033112940853369	263	500	0.9198253537656694	0.7922565866956505	1.067935181150049	2.066849621645646	302	550	0.8690261618189927	0.7552114797794507	0.999993366290457	2.0956699959045237	0.5788713012441666	0.944440952968053	0.5142866377472507	False
Bovis	40	0.00010204116937982898	37.05	1225	659	574	908	0.8222860646163975	0.7406829756095497	0.9128795913067624	1.923760600076574	442	783	0.9089540707373464	0.8089082976161731	1.0213735044439158	1.9489358920331832	239	420	0.897689224496126	0.7658718874047119	1.05219418159766	1.9576064051772533	0.5572796415127921	0.924267478407359	0.5196782730162134	False
Microti	32	9.07390946682271e-05	31.25	1247	384	300	700	1.0732576307284873	0.9374851965513525	1.2286934728721657	2.174066381200154	413	834	0.9603964166407793	0.8535586410333657	1.0806068063229817	2.102642643244825	140	244	0.8793981241795805	0.7143903268666497	1.082518941994184	1.9818749835100133	0.4772238772192228	0.8531588406248001	0.5396191508672004	False
La4	21	7.146012730563264e-05	25.571428571428573	707	665	199	338	0.8477635602995721	0.7115692002475471	1.010025523760412	2.0034978404961943	271	436	0.7725631297461667	0.6638792109311809	0.8990397343607489	2.08249141929604	261	404	0.7903033602256416	0.6763863410169201	0.923406289140774	1.9586057686311373	0.4195829896539494	0.8053724624517838	0.5539023225390018	False
