lignee	n_sub	pn_ps_term	pn_ps_int
L1	10	0.8584683018181647	0.8675796825195008
L1	20	0.8601796418501462	0.8671140606481463
L1	30	0.8569857917567374	0.8737620423977763
L1	40	0.8541648851786366	0.8757078539120666
L2	10	0.9133608175861216	0.8480110807683887
L2	20	0.9416756693421846	0.817751608468453
L2	30	0.9480878030326247	0.8062463102779158
L2	40	0.9521277881538169	0.8103220507810646
L3	10	0.8784028985797252	0.9565120654150856
L3	20	0.8556512359613149	0.9762552573201778
L3	30	0.8526007523835206	0.9948491818372844
L3	40	0.8487986751871063	1.0074857801927666
L4	10	0.8224772717772723	0.8105278103873412
L4	20	0.8253514003307024	0.8159024682287936
L4	30	0.8298812900708078	0.815907360692327
L4	40	0.830621545158587	0.8195270544791671
L5	10	0.8524422281450199	0.8130529832810367
L5	20	0.8454188549273056	0.8333477716815587
L5	30	0.8190355671555408	0.8652001126426181
L5	40	0.8240717315466362	0.8721881126110061
L6	10	0.818373789055088	0.8631282784297234
L6	20	0.8257026381176596	0.8398883020694803
L6	30	0.8278054968668631	0.8348139054526655
L6	40	0.8317517826798424	0.8312716647246187
L7	10	0.9104172443108252	0.8222080804742969
L7	20	0.8811542766853184	0.8673602208957265
L7	30	0.8753763687598712	0.895154590570018
L7	40	0.8740661264815132	0.9063565456053468
L9	10	0.8795520256079645	0.9992609583000098
L9	20	0.8672743835093593	0.9650728759302507
L9	30	0.870868014859685	0.9404882700383326
L9	36	0.8670646919208638	0.9404277408057996
Bovis	10	0.8628863551374513	0.9377931832665414
Bovis	20	0.8360643954274776	0.9226211674665246
Bovis	30	0.8185201904658403	0.9142415620331719
Bovis	40	0.8222860646163975	0.9089540707373464
Caprae_La2	10	0.8797809351711188	0.933622571704757
Caprae_La2	20	0.9029800866367248	0.8976017251932071
Caprae_La2	30	0.9118887238822426	0.8938345241281974
Caprae_La2	40	0.916471319588886	0.89372613385127
Orygis_La3	10	0.9173288768340415	0.8481902418234495
Orygis_La3	20	0.9195458691182095	0.8698014811213868
Orygis_La3	30	0.9166208267762643	0.8964932515642956
Orygis_La3	40	0.9086478590583466	0.9198253537656694
Microti	10	1.0142880323202315	0.9673876354313358
Microti	20	1.0379669559441018	0.9786133940526913
Microti	30	1.0691142428385834	0.9632795641937495
Microti	32	1.0732576307284873	0.9603964166407793
