lignee	n_candidates	n_pools	prof_min	prof_p02	prof_med	prof_p98	prof_max
L1	400.0	4000	28.41176470588235	33.78892230576441	102.86904761904762	174.32306818181817	224.4
L2	400.0	4000	1.5	16.153377926421403	47.153010033444815	79.76266666666666	101.3
L3	400.0	4000	16.818181818181817	24.899297297297295	70.3368794326241	95.05744444444444	114.625
L4	400.0	4000	0.18518518518518517	0.5498108108108108	51.91981981981982	130.44835555555557	174.11764705882354
L5	328.0	4000	4.958333333333333	20.22661616161616	54.01190476190476	95.12176666666667	126.53333333333333
L6	341.0	4000	11.166666666666666	26.324749999999998	66.82364341085271	104.17657754010695	142.125
L7	57.0	4000	11.38888888888889	16.29141472868217	23.353889943074	36.0	47.294117647058826
L9	36.0	4000	11.8	29.733643724696357	46.86666666666667	71.76266666666666	94.375
Bovis	400.0	4000	0.2222222222222222	0.6774003795066413	42.6	100.57214285714285	142.75
Caprae_La2	278.0	4000	0.25	0.9141395348837209	12.311111111111112	37.951	69.46666666666667
Orygis_La3	354.0	4000	0.05263157894736842	13.807214137214139	37.0	63.00222222222222	85.06666666666666
Microti	32.0	4000	8.8	17.374558823529412	32.0	58.400749999999995	80.06666666666666
Pinnipedii	15.0	4000	7.8	7.8	7.8	7.8	7.8
La4	21.0	4000	0.2	0.3333333333333333	25.571428571428573	44.8235294117647	50.86666666666667
L8		0					
Dassie		0					
Suricattae		0					
