lignee	replicat	n	portee	profondeur	largeur	pn_ps_term	pn_ps_int	pi	n_syn_term	n_nonsyn_term
L1	0	38	48	34.26315789473684	112.950213371266	0.9517706317047341	0.8493117713473913	2.8865832622767342e-05	480	822
L1	1	43	48	34.58139534883721	113.68992248062015	0.9354658999428204	0.8287457733664573	2.9054874490886426e-05	555	932
L1	2	37	49	33.54054054054054	112.30630630630631	0.8625655940007675	0.9615507027423896	2.870127415929062e-05	487	754
L1	3	47	50	32.97872340425532	127.13598519888991	0.9545802875929645	0.7444762725584849	3.249118314649757e-05	570	980
L1	4	45	57	35.15555555555556	117.83232323232323	0.8677603666546795	0.9189939095661444	3.0113516552606568e-05	618	964
L1	5	33	33	33.60606060606061	128.8560606060606	0.9033502305310727	0.7289411648298484	3.2930769822077576e-05	423	686
L1	6	33	38	34.06060606060606	109.03787878787878	0.9387910355961203	0.8548047602631594	2.7865986833391887e-05	418	706
L1	7	50	50	33.8	114.24816326530612	0.8762109426246812	0.8484463977719542	2.919753987037518e-05	657	1033
L1	8	19	35	33.78947368421053	119.52046783625731	0.8492204520127251	0.7553693512628948	3.0544942914060305e-05	254	388
L1	9	32	59	35.46875	124.66532258064517	0.9199666413741794	0.7813777971082608	3.1859774568532693e-05	424	711
L1	10	16	26	34.875	103.21666666666667	0.8823368188114087	0.9515095569883885	2.6378303634421673e-05	216	342
L1	11	30	42	34.96666666666667	126.45057471264367	0.9349351919571397	0.6664258285615701	3.231601796722659e-05	389	660
L1	12	33	43	35.18181818181818	125.45075757575758	0.9574739485984962	0.6978641845718256	3.206050225578774e-05	426	735
L1	13	36	47	33.111111111111114	123.7984126984127	1.0042769521633215	0.67519387182564	3.163822495996939e-05	422	770
L1	14	15	25	33.53333333333333	102.74285714285715	0.9700861890479975	0.9148102008922528	2.625721571434486e-05	182	321
L1	15	36	47	34.22222222222222	112.25555555555556	0.9631833432580044	0.8969976211903351	2.8688304173374473e-05	449	783
L1	16	25	29	34.0	105.49333333333334	0.9198935547154995	0.808977763541838	2.696013413280081e-05	320	530
L1	17	24	61	35.291666666666664	126.2463768115942	0.8439466950145235	0.6760150443407656	3.2263832652496464e-05	334	513
L1	18	50	52	35.36	116.1934693877551	0.869434167068117	0.8508532476946135	2.9694687058101893e-05	689	1079
L1	19	38	39	32.578947368421055	110.06401137980086	0.9544881006414502	0.8727025868775682	2.8128227786844785e-05	455	783
L1	20	18	31	32.77777777777778	105.69934640522875	0.9124174686515956	0.7185104715126149	2.70127833370293e-05	222	368
L1	21	37	46	35.24324324324324	112.69069069069069	0.9166443036322968	0.9767414275310158	2.879950837214663e-05	490	814
L1	22	45	47	33.6	136.33939393939394	0.9049463773858761	0.7915854074197557	3.48432287808787e-05	573	939
L1	23	16	51	35.8125	133.175	1.0350328123429757	0.7904221720598206	3.403452853073573e-05	200	373
L1	24	40	44	35.1	111.83846153846154	0.8990451689373259	0.9411489232401108	2.8581710606828307e-05	537	867
L1	25	42	48	35.42857142857143	114.7630662020906	0.8802249966147345	0.8792624546372718	2.9329129723519924e-05	578	910
L1	26	43	49	34.627906976744185	130.81063122923587	0.9178432509917152	0.7493649342091468	3.343028466825589e-05	560	929
L1	27	45	50	34.82222222222222	114.34747474747475	0.8681305826677913	0.8524621206365113	2.9222920155513517e-05	614	953
L1	28	43	45	34.25581395348837	112.03765227021042	0.9004941179576309	0.8508052461833296	2.8632616277132532e-05	563	910
L1	29	20	39	34.0	126.51052631578948	0.9569576383773727	0.9106455130940062	3.2331339345471224e-05	249	431
L1	30	26	63	35.53846153846154	134.55692307692308	0.9672326976292669	0.8884270342920593	3.438769617022378e-05	333	591
L1	31	35	46	32.628571428571426	129.56302521008402	0.8981875073718593	0.7706927573147379	3.311144342437422e-05	436	706
L1	32	41	44	34.63414634146341	112.71707317073171	0.9550341651974866	0.8667331590042185	2.8806250743234805e-05	523	897
L1	33	46	54	33.54347826086956	128.21449275362318	0.89160971551491	0.7367787088417234	3.2766809173470976e-05	589	954
L1	34	30	49	35.8	126.1080459770115	0.9139481627890488	0.8661090900240273	3.2228480486276936e-05	407	667
L1	35	15	22	32.86666666666667	108.45714285714286	0.8725170093949625	0.6054310518695707	2.771757253939185e-05	190	303
L1	36	24	43	34.375	125.42028985507247	0.950504251972553	0.7176933223430578	3.205271585061467e-05	303	522
