controle	lignee	valeur	n
F1_CpG	L1	1.2653467941672092	2858
F1_CpG	L2	1.1008034022362203	1149
F1_CpG	L3	1.1354576693159342	1949
F1_CpG	L4	1.1040716892193745	2197
F1_CpG	L5	1.0927518219608516	1659
F1_CpG	L6	1.2651839732090593	1981
F1_CpG	L7	1.1453909209332451	610
F1_CpG	L8	0.26220687100482204	7
F1_CpG	L9	1.2574340554264392	977
F1_CpG	Bovis	1.2980089597042161	845
F1_CpG	Caprae_La2	1.1496762805596041	405
F1_CpG	Orygis_La3	1.3702423581542311	986
F1_CpG	Microti	1.2557710234670398	401
F1_CpG	Pinnipedii	1.1895238538267534	72
F1_CpG	La4	1.1180896763601844	272
F1_CpG	Dassie	1.3110343550241101	55
F1_CpG	Suricattae	0.659746320592778	44
