loss	gain	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi	se_log	lignee	classe	n_souches	reportable
982	141	1.576946087403047	1.279852283555595	2.0133877629224473	38.805623636766256	33.18524128571422	43.862490882103444	0.1154237650224329	L1	4fold	40	True
1648	574	2.0760712687250544	1.835793985959232	2.383718242657303	32.508999715551845	29.553288077989603	35.263492515721	0.06716844313666938	L1	0fold	40	True
347	101	2.053926667935074	1.4557432460335031	3.0318615268776536	32.74472863083364	24.802439104956516	40.72086939932308	0.18628249075299186	L1	intergenique	40	True
715	362	2.0514670081742783	1.7487550628663702	2.448714962878644	32.77112278524386	28.99630763237387	36.380105798048504	0.08615238629279304	L1	0fold_pos2	40	True
361	104	0.7859561804294856	0.5862453246862518	1.0827206153016877	55.992415209174986	48.01412117655287	63.04195097929086	0.15682664784505826	L2	4fold	40	True
719	494	1.0524437289100792	0.884648596651308	1.2437385720089904	48.72240763117222	44.56847212394373	53.06028942354695	0.08702512358887604	L2	0fold	40	True
137	98	0.8357402606662829	0.5735243360828357	1.2026929724347937	54.47393737701484	45.39897355257045	63.55160686547885	0.1882223361745545	L2	intergenique	40	True
335	316	1.1010949990320205	0.8698093788288515	1.376815986631536	47.594230649290125	42.07309297920101	53.48138753193903	0.1161468180557508	L2	0fold_pos2	40	True
659	133	1.121910582173895	0.8665989600744489	1.5121434056392133	47.12733931396398	39.80664470647728	53.573371752018716	0.14281380130089175	L3	4fold	40	True
1165	552	1.5261028058924424	1.317570123086311	1.763895552727089	39.58667072723161	36.180817289326185	43.14864046781457	0.07380996974857136	L3	0fold	40	True
219	76	1.7226908830599084	1.2483818387815666	2.527678505460838	36.728370679970304	28.34725438987715	44.47643112710409	0.17898329257664639	L3	intergenique	40	True
546	332	1.7081327706616498	1.4148365737780373	2.0633679818683404	36.92581142377596	32.643809229542924	41.410669809240524	0.095008035961663	L3	0fold_pos2	40	True
744	163	1.0334983841223573	0.7863482874447252	1.352526136562923	49.17633610176644	42.50749798091576	55.980124762257084	0.13648774438162073	L4	4fold	40	True
1210	691	1.2662057056224791	1.096461878954988	1.4618138198884163	44.1266208764275	40.62045601991648	47.69941252156059	0.07203278817967462	L4	0fold	40	True
272	135	1.204514322158445	0.9234280370522865	1.5924508579013275	45.36146533268597	38.57353735181435	51.99050761121956	0.13769878441190087	L4	intergenique	40	True
