drug	lineage	n_total	n_R	prevalence_pct	ci95_low	ci95_high
bedaquiline	L1	10080	27	0.2679	0.1766	0.3895
bedaquiline	L2	39465	321	0.8134	0.7271	0.9070
bedaquiline	L3	9119	64	0.7018	0.5409	0.8954
bedaquiline	L4	46461	246	0.5295	0.4655	0.5997
bedaquiline	L5	445	1	0.2247	0.0057	1.2456
bedaquiline	L6	1180	4	0.3390	0.0924	0.8656
bedaquiline	L7	40	0	0.0000	0.0000	8.8097
bedaquiline	BOV	6940	0	0.0000	0.0000	0.0531
bedaquiline	BOV_AFRI	102	0	0.0000	0.0000	3.5519
clofazimine	L1	10080	25	0.2480	0.1606	0.3659
clofazimine	L2	39465	305	0.7728	0.6888	0.8642
clofazimine	L3	9119	61	0.6689	0.5121	0.8585
clofazimine	L4	46461	241	0.5187	0.4554	0.5883
clofazimine	L5	445	1	0.2247	0.0057	1.2456
clofazimine	L6	1180	4	0.3390	0.0924	0.8656
clofazimine	L7	40	0	0.0000	0.0000	8.8097
clofazimine	BOV	6940	0	0.0000	0.0000	0.0531
clofazimine	BOV_AFRI	102	0	0.0000	0.0000	3.5519
delamanid	L1	10080	13	0.1290	0.0687	0.2204
delamanid	L2	39465	225	0.5701	0.4982	0.6494
delamanid	L3	9119	10	0.1097	0.0526	0.2016
delamanid	L4	46461	65	0.1399	0.1080	0.1783
delamanid	L5	445	7	1.5730	0.6347	3.2141
delamanid	L6	1180	2	0.1695	0.0205	0.6109
delamanid	L7	40	0	0.0000	0.0000	8.8097
delamanid	BOV	6940	0	0.0000	0.0000	0.0531
delamanid	BOV_AFRI	102	0	0.0000	0.0000	3.5519
levofloxacin	L1	10080	97	0.9623	0.7810	1.1727
levofloxacin	L2	39465	2886	7.3128	7.0578	7.5741
levofloxacin	L3	9119	315	3.4543	3.0890	3.8498
levofloxacin	L4	46461	1343	2.8906	2.7401	3.0470
levofloxacin	L5	445	1	0.2247	0.0057	1.2456
levofloxacin	L6	1180	2	0.1695	0.0205	0.6109
levofloxacin	L7	40	0	0.0000	0.0000	8.8097
levofloxacin	BOV	6940	7	0.1009	0.0406	0.2077
levofloxacin	BOV_AFRI	102	0	0.0000	0.0000	3.5519
linezolid	L1	10080	2	0.0198	0.0024	0.0717
linezolid	L2	39465	189	0.4789	0.4132	0.5521
linezolid	L3	9119	16	0.1755	0.1003	0.2848
linezolid	L4	46461	49	0.1055	0.0780	0.1394
linezolid	L5	445	0	0.0000	0.0000	0.8255
linezolid	L6	1180	0	0.0000	0.0000	0.3121
linezolid	L7	40	0	0.0000	0.0000	8.8097
linezolid	BOV	6940	1	0.0144	0.0004	0.0803
linezolid	BOV_AFRI	102	0	0.0000	0.0000	3.5519
moxifloxacin	L1	10080	97	0.9623	0.7810	1.1727
moxifloxacin	L2	39465	2886	7.3128	7.0578	7.5741
moxifloxacin	L3	9119	315	3.4543	3.0890	3.8498
moxifloxacin	L4	46461	1343	2.8906	2.7401	3.0470
moxifloxacin	L5	445	1	0.2247	0.0057	1.2456
moxifloxacin	L6	1180	2	0.1695	0.0205	0.6109
moxifloxacin	L7	40	0	0.0000	0.0000	8.8097
moxifloxacin	BOV	6940	7	0.1009	0.0406	0.2077
moxifloxacin	BOV_AFRI	102	0	0.0000	0.0000	3.5519
