drug	year	n_R_carriers
bedaquiline	1999	1
bedaquiline	2000	1
bedaquiline	2001	1
bedaquiline	2002	2
bedaquiline	2003	1
bedaquiline	2004	1
bedaquiline	2005	3
bedaquiline	2006	1
bedaquiline	2007	5
bedaquiline	2008	8
bedaquiline	2009	13
bedaquiline	2010	11
bedaquiline	2011	7
bedaquiline	2012	65
bedaquiline	2013	7
bedaquiline	2014	10
bedaquiline	2015	52
bedaquiline	2016	27
bedaquiline	2017	25
bedaquiline	2018	34
bedaquiline	2019	33
bedaquiline	2020	24
bedaquiline	2021	29
bedaquiline	2022	21
clofazimine	1999	1
clofazimine	2000	1
clofazimine	2001	1
clofazimine	2002	2
clofazimine	2003	1
clofazimine	2004	1
clofazimine	2005	3
clofazimine	2006	1
clofazimine	2007	5
clofazimine	2008	8
clofazimine	2009	13
clofazimine	2010	11
clofazimine	2011	7
clofazimine	2012	65
clofazimine	2013	7
clofazimine	2014	10
clofazimine	2015	49
clofazimine	2016	27
clofazimine	2017	24
clofazimine	2018	30
clofazimine	2019	26
clofazimine	2020	22
clofazimine	2021	28
clofazimine	2022	20
delamanid	2000	1
delamanid	2006	2
delamanid	2007	4
delamanid	2008	1
delamanid	2009	9
delamanid	2010	14
delamanid	2011	72
delamanid	2012	3
delamanid	2013	4
delamanid	2014	2
delamanid	2015	4
delamanid	2016	4
delamanid	2017	16
delamanid	2018	17
delamanid	2019	20
delamanid	2020	18
delamanid	2021	10
delamanid	2022	8
delamanid	2023	1
delamanid	2024	2
levofloxacin	1996	1
levofloxacin	2000	3
levofloxacin	2001	2
levofloxacin	2002	3
levofloxacin	2003	3
levofloxacin	2004	7
levofloxacin	2005	4
levofloxacin	2006	11
levofloxacin	2007	63
levofloxacin	2008	58
levofloxacin	2009	67
levofloxacin	2010	87
levofloxacin	2011	422
levofloxacin	2012	103
levofloxacin	2013	99
levofloxacin	2014	147
levofloxacin	2015	216
levofloxacin	2016	184
levofloxacin	2017	220
levofloxacin	2018	223
levofloxacin	2019	254
levofloxacin	2020	202
levofloxacin	2021	112
levofloxacin	2022	132
levofloxacin	2023	4
levofloxacin	2024	3
linezolid	2007	1
linezolid	2009	1
linezolid	2011	1
linezolid	2012	2
linezolid	2014	2
linezolid	2015	3
linezolid	2016	4
linezolid	2017	7
linezolid	2018	14
linezolid	2019	34
linezolid	2020	18
linezolid	2021	20
linezolid	2022	12
moxifloxacin	1996	1
moxifloxacin	2000	3
moxifloxacin	2001	2
moxifloxacin	2002	3
moxifloxacin	2003	3
moxifloxacin	2004	7
moxifloxacin	2005	4
moxifloxacin	2006	11
moxifloxacin	2007	63
moxifloxacin	2008	58
moxifloxacin	2009	67
moxifloxacin	2010	87
moxifloxacin	2011	422
moxifloxacin	2012	103
moxifloxacin	2013	99
moxifloxacin	2014	147
moxifloxacin	2015	216
moxifloxacin	2016	184
moxifloxacin	2017	220
moxifloxacin	2018	223
moxifloxacin	2019	254
moxifloxacin	2020	202
moxifloxacin	2021	112
moxifloxacin	2022	132
moxifloxacin	2023	4
moxifloxacin	2024	3
