drug	lineage	n	n_R	crude_prev_pct	ipw_prev_pct	n_bioprojects_R
bedaquiline	L1	9404	23	0.2446	0.5619	15
bedaquiline	L2	37568	296	0.7879	2.7269	95
bedaquiline	L3	8657	60	0.6931	2.2149	24
bedaquiline	L4	43107	229	0.5312	0.8690	62
bedaquiline	L5	379	1	0.2639	0.0061	1
bedaquiline	L6	1082	4	0.3697	0.0702	3
bedaquiline	L7	39	0	0.0000	0.0000	0
bedaquiline	BOV	6683	0	0.0000	0.0000	0
bedaquiline	BOV_AFRI	55	0	0.0000	0.0000	0
clofazimine	L1	9404	21	0.2233	0.1622	13
clofazimine	L2	37568	282	0.7506	2.6923	94
clofazimine	L3	8657	57	0.6584	1.5776	23
clofazimine	L4	43107	224	0.5196	0.8602	61
clofazimine	L5	379	1	0.2639	0.0061	1
clofazimine	L6	1082	4	0.3697	0.0702	3
clofazimine	L7	39	0	0.0000	0.0000	0
clofazimine	BOV	6683	0	0.0000	0.0000	0
clofazimine	BOV_AFRI	55	0	0.0000	0.0000	0
delamanid	L1	9404	13	0.1382	1.1226	9
delamanid	L2	37568	211	0.5616	1.1388	58
delamanid	L3	8657	10	0.1155	0.0759	8
delamanid	L4	43107	57	0.1322	0.5988	34
delamanid	L5	379	6	1.5831	0.7555	3
delamanid	L6	1082	2	0.1848	0.0205	2
delamanid	L7	39	0	0.0000	0.0000	0
delamanid	BOV	6683	0	0.0000	0.0000	0
delamanid	BOV_AFRI	55	0	0.0000	0.0000	0
levofloxacin	L1	9404	91	0.9677	0.9977	31
levofloxacin	L2	37568	2767	7.3653	9.5959	223
levofloxacin	L3	8657	310	3.5809	7.9036	45
levofloxacin	L4	43107	1234	2.8626	4.5167	188
levofloxacin	L5	379	1	0.2639	0.8662	1
levofloxacin	L6	1082	2	0.1848	6.4954	2
levofloxacin	L7	39	0	0.0000	0.0000	0
levofloxacin	BOV	6683	5	0.0748	0.0949	4
levofloxacin	BOV_AFRI	55	0	0.0000	0.0000	0
linezolid	L1	9404	1	0.0106	0.0041	1
linezolid	L2	37568	184	0.4898	0.8138	53
linezolid	L3	8657	16	0.1848	0.1159	6
linezolid	L4	43107	47	0.1090	0.0675	24
linezolid	L5	379	0	0.0000	0.0000	0
linezolid	L6	1082	0	0.0000	0.0000	0
linezolid	L7	39	0	0.0000	0.0000	0
linezolid	BOV	6683	1	0.0150	0.0238	1
linezolid	BOV_AFRI	55	0	0.0000	0.0000	0
moxifloxacin	L1	9404	91	0.9677	0.9977	31
moxifloxacin	L2	37568	2767	7.3653	9.5959	223
moxifloxacin	L3	8657	310	3.5809	7.9036	45
moxifloxacin	L4	43107	1234	2.8626	4.5167	188
moxifloxacin	L5	379	1	0.2639	0.8662	1
moxifloxacin	L6	1082	2	0.1848	6.4954	2
moxifloxacin	L7	39	0	0.0000	0.0000	0
moxifloxacin	BOV	6683	5	0.0748	0.0949	4
moxifloxacin	BOV_AFRI	55	0	0.0000	0.0000	0
