restriction	drug	comp_R	comp_N	noncomp_R	noncomp_N	OR	p
TOUTES souches phénotypées	bedaquiline	60	2142	89	9965	3.2	6.385790634505703e-11
TOUTES souches phénotypées	delamanid	29	2109	158	9817	0.85	0.8101476523218885
TOUTES souches phénotypées	linezolid	61	2160	170	10102	1.7	0.0004959060674979161
TOUTES souches phénotypées	levofloxacin	975	2141	1174	10024	6.3	9.296584776125933e-253
TOUTES souches phénotypées	moxifloxacin	960	2545	1048	10286	5.34	1.2654899582167062e-216
RESTREINT aux RIF-R	bedaquiline	56	1909	56	2720	1.44	0.035917800227522716
RESTREINT aux RIF-R	delamanid	24	1876	55	2663	0.61	0.9838514164282528
RESTREINT aux RIF-R	linezolid	61	1927	121	2789	0.72	0.9842921100065773
RESTREINT aux RIF-R	levofloxacin	963	1907	961	2741	1.89	5.799256160630519e-26
RESTREINT aux RIF-R	moxifloxacin	946	2296	918	2950	1.55	2.515373759427483e-14
