lignee	sra	loss	gain	dgc_ppm
L1	SRR33890963	633	226	-104.01391486397178
L1	SRR29230711	657	253	-103.24722753082212
L1	ERR13252596	624	231	-100.43604064260666
L1	SRR34556142	623	229	-100.69160308698987
L1	ERR4800136	640	233	-104.01391486397178
L1	SRR2100038	627	240	-98.90266597630732
L1	SRR33891102	615	227	-99.15822842069053
L1	SRR26399570	613	217	-101.20272797575632
L1	SRR30881691	613	234	-96.85816642124153
L1	SRR33917424	637	227	-104.78060219712145
L1	SRR33766540	650	227	-108.10291397410334
L1	SRR5073511	611	215	-101.20272797575632
L1	SRR6650148	625	244	-97.36929131000798
L1	SRR29017642	596	228	-94.04697953302608
L1	SRR34010306	637	233	-103.24722753082212
L1	ERR11050329	633	227	-103.75835241958856
L1	SRR12882247	658	245	-105.54728953027112
L1	SRR29126164	612	230	-97.6248537543912
L1	SRR29126464	629	226	-102.99166508643889
L1	SRR33812683	621	226	-100.9471655313731
L1	SRR33857403	613	223	-99.66935330945698
L1	DRR184923	602	211	-99.92491575384021
L1	ERR9125582	620	221	-101.969415308906
L1	SRR34127933	663	211	-115.51422486121682
L1	SRR6650280	662	219	-113.2141628617678
L1	ERR3276136	640	226	-105.80285197465435
L1	ERR046898	637	240	-101.45829042013955
L1	SRR29051136	602	221	-97.36929131000798
L1	SRR34578503	625	222	-102.99166508643889
L1	SRR30629484	655	218	-111.68078819546847
L1	ERR2517197	626	215	-105.03616464150467
L1	SRR33643363	610	219	-99.92491575384021
L1	SRR33914503	632	218	-105.80285197465435
L1	ERR473297	649	246	-102.99166508643889
L1	SRR27450142	615	228	-98.90266597630732
L1	SRR33712871	644	223	-107.5917890853369
L1	SRR33752911	610	219	-99.92491575384021
L1	ERR4815680	646	233	-105.54728953027112
L1	ERR6929529	659	253	-103.75835241958856
L1	ERR6336694	626	229	-101.45829042013955
L2	SRR10040301	528	293	-60.057174430057415
L2	ERR5863800	535	295	-61.33498665197353
L2	ERR2184477	531	290	-61.59054909635675
L2	SRR23311031	546	293	-64.65729842895543
L2	ERR8699767	528	287	-61.59054909635675
L2	SRR21746997	537	278	-66.19067309525477
L2	SRR18911874	535	291	-62.35723642950642
L2	ERR5758384	524	283	-61.59054909635675
L2	ERR4798202	531	296	-60.057174430057415
L2	ERR2886453	540	286	-64.91286087333866
L2	SRR14781946	542	297	-62.612798873889645
L2	SRR7755744	554	295	-66.19067309525477
L2	ERR5863561	537	291	-62.86836131827287
L2	SRR13282527	547	297	-63.89061109580576
L2	SRR11662257	552	285	-68.23517265032055
L2	SRR23862056	537	285	-64.40173598457221
L2	ERR029205	515	279	-60.31273687444064
L2	ERR8665917	543	297	-62.86836131827287
L2	ERR2041705	539	292	-63.12392376265609
L2	SRR8651627	539	285	-64.91286087333866
L2	ERR551236	546	291	-65.16842331772187
L2	ERR2513282	537	283	-64.91286087333866
L2	ERR4796266	530	267	-67.21292287278766
L2	ERR4800427	536	290	-62.86836131827287
L2	SRR5067601	543	280	-67.21292287278766
L2	SRR10305663	548	290	-65.93511065087155
L2	ERR10748143	557	297	-66.446235539638
L2	SRR10040185	552	287	-67.7240477615541
L2	SRR21277682	538	280	-65.93511065087155
L2	ERR4798003	538	297	-61.59054909635675
L2	SRR11871420	542	293	-63.63504865142254
L2	SRR13180209	544	287	-65.67954820648832
L2	SRR14782432	533	294	-61.07942420759031
L2	SRR23691410	532	300	-59.290487096907746
L2	ERR2517149	550	287	-67.21292287278766
L2	SRR15723249	561	299	-66.95736042840444
L2	ERR4799082	525	290	-60.057174430057415
L2	SRR5065576	529	264	-67.7240477615541
L2	SRR15661602	557	277	-71.55748442730246
L2	SRR28351629	556	294	-66.95736042840444
L3	ERR4798273	594	246	-88.93573064536162
L3	ERR2515074	578	233	-88.16904331221195
L3	ERR4800533	568	240	-83.82448175769716
L3	ERR2510438	590	250	-86.89123109029583
L3	ERR4819332	591	243	-88.93573064536162
L3	ERR216981	573	245	-83.82448175769716
L3	ERR2510465	580	247	-85.10229397961328
L3	ERR4798854	567	235	-84.84673153523005
L3	ERR4829127	568	235	-85.10229397961328
L3	SRR22424856	571	247	-82.80223198016427
L3	SRR21728336	582	247	-85.61341886837972
L3	SRR22424752	567	237	-84.3356066464636
L3	ERR245796	583	241	-87.40235597906228
L3	ERR4829144	583	234	-89.19129308974485
L3	SRR28044918	556	227	-84.08004420208039
L3	ERR688023	573	253	-81.77998220263137
L3	ERR4818877	577	243	-85.3578564239965
L3	ERR4798552	584	239	-88.16904331221195
L3	SRR28045170	599	238	-92.25804242234352
L3	ERR4799249	574	240	-85.3578564239965
L3	ERR2199900	549	234	-80.50216998071525
L3	ERR2510326	580	245	-85.61341886837972
L3	ERR4829947	554	237	-81.0132948694817
