lignee	sra	n_pool	n_term_raw	loss	gain	neutral	inverse	tierce	C>A	C>G	C>T	T>A	T>C	T>G
L1	SRR33890963	40	54	43	6	5	0	0	10	4	33	1	4	2
L1	SRR29230711	40	141	98	30	13	0	0	25	12	73	1	19	11
L1	ERR13252596	40	56	36	12	8	0	0	9	7	27	1	10	2
L1	SRR34556142	40	84	58	17	9	0	0	12	8	46	1	14	3
L1	ERR4800136	40	81	58	18	5	0	0	8	5	50	0	10	8
L1	SRR2100038	40	271	178	56	37	0	0	33	32	145	5	41	15
L1	SRR33891102	40	231	157	47	26	0	0	32	24	125	2	34	13
L1	SRR26399570	40	100	72	18	10	0	0	14	10	58	0	13	5
L1	SRR30881691	40	198	139	39	19	0	0	32	17	107	2	27	12
L1	SRR33917424	40	100	72	15	13	0	0	13	11	59	2	12	3
L1	SRR33766540	40	97	72	15	10	0	0	14	10	58	0	9	6
L1	SRR5073511	40	109	78	16	15	0	0	12	13	66	2	12	4
L1	SRR6650148	40	254	166	61	27	0	0	36	25	130	2	47	14
L1	SRR29017642	40	180	119	32	29	0	0	22	23	97	6	24	8
L1	SRR34010306	40	83	57	17	9	0	0	11	7	46	2	15	2
L1	ERR11050329	40	90	63	18	9	0	0	16	6	47	3	10	8
L1	SRR12882247	40	87	64	13	10	0	0	10	9	54	1	12	1
L1	SRR29126164	40	35	24	8	3	0	0	4	1	20	2	6	2
L1	SRR29126464	40	69	54	10	5	0	0	10	4	44	1	9	1
L1	SRR33812683	40	74	56	12	6	0	0	8	5	48	1	10	2
L1	SRR33857403	40	58	43	11	4	0	0	9	3	34	1	9	2
L1	DRR184923	40	80	56	13	11	0	0	15	8	41	3	9	4
L1	ERR9125582	40	109	69	18	22	0	0	11	18	58	4	17	1
L1	SRR34127933	40	137	109	15	13	0	0	25	12	84	1	11	4
L1	SRR6650280	40	138	104	25	9	0	0	20	8	84	1	17	8
L1	ERR3276136	40	146	104	28	14	0	1	19	11	85	3	18	10
L1	ERR046898	40	368	246	76	45	0	0	47	41	199	4	57	19
L1	SRR29051136	40	99	69	22	8	0	0	15	7	54	1	12	10
L1	SRR34578503	40	63	49	8	5	0	0	13	3	36	2	8	0
L1	SRR30629484	40	264	197	36	30	0	0	29	27	168	3	23	13
L1	ERR2517197	40	330	234	55	41	0	0	46	38	188	3	41	14
L1	SRR33643363	40	116	75	21	20	0	0	21	20	54	0	17	4
L1	SRR33914503	40	162	124	27	11	0	0	23	10	101	1	19	8
L1	ERR473297	40	67	48	12	7	0	0	12	6	36	1	7	5
L1	SRR27450142	40	42	30	6	6	0	0	4	5	26	1	4	2
L1	SRR33712871	40	60	52	4	4	0	0	9	4	43	0	3	1
L1	SRR33752911	40	45	37	5	3	0	0	4	3	33	0	1	4
L1	ERR4815680	40	226	154	48	23	0	0	20	21	134	2	36	12
L1	ERR6929529	40	88	60	19	8	0	0	23	8	37	0	13	6
L1	ERR6336694	40	56	39	10	6	0	0	9	5	30	1	5	5
L2	SRR10040301	40	140	77	47	16	0	0	16	14	61	2	36	11
L2	ERR5863800	40	5	1	4	0	0	0	0	0	1	0	1	3
L2	ERR2184477	40	79	44	29	6	0	0	10	4	34	2	18	11
L2	SRR23311031	40	61	34	23	4	0	0	5	1	29	3	17	6
L2	ERR8699767	40	42	24	10	8	0	0	5	7	19	1	6	4
L2	SRR21746997	40	49	30	12	7	0	0	8	7	22	0	10	2
L2	SRR18911874	40	74	35	22	17	0	0	4	15	31	2	15	7
L2	ERR5758384	40	243	139	73	30	1	0	37	28	102	2	44	29
L2	ERR4798202	40	87	36	30	21	0	0	7	19	29	2	21	9
L2	ERR2886453	40	49	24	20	5	0	0	7	5	17	0	11	9
L2	SRR14781946	40	13	6	7	0	0	0	2	0	4	0	5	2
L2	SRR7755744	40	17	9	5	3	0	0	1	3	8	0	4	1
L2	ERR5863561	40	0	0	0	0	0	0	0	0	0	0	0	0
L2	SRR13282527	40	27	15	9	3	0	0	7	2	8	1	6	3
L2	SRR11662257	40	98	65	23	9	0	0	9	8	56	1	16	7
L2	SRR23862056	40	44	25	17	2	0	0	4	1	21	1	13	4
L2	ERR029205	40	137	77	39	21	0	0	11	19	66	2	22	17
L2	ERR8665917	40	21	7	11	3	0	0	1	3	6	0	9	2
L2	ERR2041705	40	20	11	6	3	0	0	2	2	9	1	2	4
L2	SRR8651627	40	74	40	20	14	0	0	10	14	30	0	13	7
L2	ERR551236	40	11	8	0	2	0	0	2	2	6	0	0	0
L2	ERR2513282	40	43	28	13	2	0	0	5	2	23	0	8	5
L2	ERR4796266	40	57	31	16	10	0	0	0	7	31	3	13	3
L2	ERR4800427	40	73	35	22	16	0	0	11	14	24	2	10	12
L2	SRR5067601	40	47	35	7	5	0	0	7	5	28	0	5	2
L2	SRR10305663	40	78	50	20	8	0	0	6	7	44	1	19	1
L2	ERR10748143	40	95	53	33	9	0	0	13	9	40	0	26	7
L2	SRR10040185	40	91	62	23	6	0	0	14	6	48	0	13	10
L2	SRR21277682	40	97	52	20	24	0	0	11	22	41	2	13	7
L2	ERR4798003	40	79	37	29	13	0	0	5	9	32	4	19	10
L2	SRR11871420	40	19	9	10	0	0	0	2	0	7	0	5	5
L2	SRR13180209	40	55	30	18	7	0	0	9	6	21	1	14	4
L2	SRR14782432	40	57	22	24	11	0	0	3	10	19	1	18	6
L2	SRR23691410	40	58	28	21	9	0	0	7	9	21	0	16	5
L2	ERR2517149	40	105	66	27	12	0	0	18	12	48	0	19	8
L2	SRR15723249	40	118	69	36	13	0	0	11	11	58	2	24	12
L2	ERR4799082	40	60	29	26	5	0	0	3	5	26	0	17	9
L2	SRR5065576	40	49	30	15	4	0	0	4	4	26	0	11	4
L2	SRR15661602	40	75	55	10	10	0	0	9	10	46	0	6	4
L2	SRR28351629	40	17	10	3	4	0	0	3	4	7	0	3	0
L3	ERR4798273	40	181	123	37	20	0	0	24	20	99	0	23	14
L3	ERR2515074	40	81	48	15	17	0	0	11	15	37	2	9	6
L3	ERR4800533	40	86	50	21	15	0	0	4	13	46	2	16	5
L3	ERR2510438	40	51	31	13	7	0	0	6	7	25	0	8	5
L3	ERR4819332	40	29	19	6	4	0	0	7	4	12	0	3	3
L3	ERR216981	40	51	35	12	4	0	0	8	4	27	0	7	5
L3	ERR2510465	40	162	97	34	30	0	0	19	27	78	3	23	11
L3	ERR4798854	40	87	47	18	22	0	0	13	22	34	0	9	9
L3	ERR4829127	40	142	85	27	30	0	0	14	27	71	3	14	13
L3	SRR22424856	40	137	72	34	31	0	0	8	27	64	4	24	10
L3	SRR21728336	40	139	88	30	20	0	0	18	15	70	5	21	9
L3	SRR22424752	40	136	83	25	27	1	0	20	25	63	2	18	7
L3	ERR245796	40	68	46	11	10	0	0	13	9	33	1	8	3
L3	ERR4829144	40	89	56	16	17	0	0	11	13	45	4	10	6
L3	SRR28044918	40	64	42	6	16	0	0	11	13	31	3	6	0
L3	ERR688023	40	155	88	40	26	0	0	15	22	73	4	24	16
L3	ERR4818877	40	133	88	29	16	0	0	18	15	70	1	16	13
L3	ERR4798552	40	106	65	22	19	0	0	18	19	47	0	14	8
L3	SRR28045170	40	107	79	19	8	1	0	13	6	66	2	12	7
L3	ERR4799249	40	133	85	28	20	0	0	12	19	73	1	21	7
L3	ERR2199900	40	57	35	9	12	0	0	7	10	28	2	5	4
L3	ERR2510326	40	67	48	14	5	0	0	9	5	39	0	7	7
L3	ERR4829947	40	36	22	5	9	0	0	8	9	14	0	3	2
L3	ERR3077987	40	36	14	19	3	0	0	3	3	11	0	12	7
L3	SRR22251080	40	117	69	29	19	0	1	19	17	50	2	20	9
L3	SRR16058252	40	47	22	12	11	0	0	7	11	15	0	8	4
L3	SRR22251746	40	65	38	23	4	0	0	9	3	29	1	13	10
L3	SRR28044880	40	121	82	26	13	0	0	16	11	66	2	22	4
L3	ERR4821366	40	106	71	16	19	0	0	17	18	54	1	11	5
L3	ERR4797181	40	214	132	46	36	0	0	30	30	102	6	30	16
L3	ERR2512536	40	236	141	59	36	0	0	21	32	120	4	38	21
L3	SRR5341376	40	38	21	10	7	0	0	7	7	14	0	5	5
L3	SRR27332356	40	154	104	27	22	0	0	24	19	80	3	17	10
L3	SRR6152765	40	139	98	25	16	0	0	16	16	82	0	16	9
L3	ERR4809128	40	34	23	7	4	0	0	5	4	18	0	6	1
L3	SRR27449964	40	74	51	17	5	0	0	21	4	30	1	12	5
L3	ERR4818922	40	81	55	17	9	0	0	11	8	44	1	6	11
L3	ERR4828529	40	48	25	12	11	0	0	3	9	22	2	5	7
L3	SRR16058185	40	85	59	18	8	0	0	7	8	52	0	12	6
L3	SRR16058375	40	30	21	6	3	0	0	6	2	15	1	3	3
L4	SRR4037827	40	29	12	11	6	0	0	2	6	10	0	5	6
L4	ERR2515497	40	218	138	49	31	0	0	26	30	112	1	30	19
L4	ERR025419	40	37	17	13	7	0	0	5	7	12	0	9	4
L4	ERR8700372	40	97	57	25	15	0	0	8	13	49	2	13	12
L4	SRR7535052	40	139	90	35	14	0	0	10	13	80	1	21	14
L4	ERR9907723	40	129	71	37	20	0	0	13	17	58	3	20	17
L4	SRR14519847	40	105	75	18	11	0	0	27	8	48	3	10	8
L4	SRR14165009	40	80	38	33	8	0	0	9	5	29	3	18	15
L4	SRR19303908	40	84	54	19	11	0	1	4	9	50	2	11	8
L4	SRR15315838	40	238	151	53	33	0	0	22	29	129	4	28	25
L4	ERR473291	40	71	45	18	8	0	0	9	8	36	0	12	6
L4	SRR18897176	40	187	115	45	27	0	0	22	25	93	2	29	16
L4	ERR6865963	40	19	6	9	4	0	0	1	4	5	0	7	2
L4	SRR14782000	40	74	46	17	10	0	0	7	10	39	0	6	11
L4	ERR234265	40	74	37	21	15	0	0	4	12	33	3	10	11
L4	ERR3132290	40	94	47	27	18	0	0	9	17	38	1	21	6
L4	SRR14164829	40	87	53	24	10	0	0	11	9	42	1	13	11
L4	SRR26111903	40	96	64	17	15	0	1	11	15	53	0	9	8
L4	ERR4457895	40	269	164	67	38	0	0	34	32	130	6	46	21
L4	SRR4033606	40	24	13	7	4	0	0	1	4	12	0	3	4
L4	ERR9806830	40	119	66	28	24	0	0	7	21	59	3	19	9
L4	SRR14782506	40	160	93	43	24	0	0	19	23	74	1	24	19
L4	ERR6358906	40	172	109	46	17	0	0	22	17	87	0	27	19
L4	SRR19115678	40	99	59	24	16	0	0	8	14	51	2	20	4
L4	SRR26112633	40	107	65	29	12	0	0	8	10	57	2	18	11
L4	ERR752194	40	179	124	30	25	0	0	32	22	92	3	19	11
L4	ERR4553695	40	76	42	24	10	0	0	8	8	34	2	15	9
L4	SRR25395670	40	51	35	14	2	0	0	4	2	31	0	11	3
L4	SRR28646106	40	77	40	23	14	0	0	11	14	29	0	14	9
L4	ERR12117990	40	16	6	6	4	0	0	1	3	5	1	1	5
L4	ERR553043	40	202	113	45	44	0	0	28	43	85	1	29	16
L4	SRR28706499	40	104	61	22	21	0	0	13	19	48	2	15	7
