id	accession	organism_code	organism_name	order	uniprot_length	module_len	tail_len	total_len
A0A1G6QDA5_9PSEU/2-61	A0A1G6QDA5	9PSEU	Actinokineospora iranica	Pseudonocardiales	61	32	28	60
A0A2T0MZZ8_9ACTN/2-63	A0A2T0MZZ8	9ACTN	Nonomuraea fuscirosea	Streptosporangiales	76	32	30	62
A0A1R4G886_9MICO/2-66	A0A1R4G886	9MICO		None		32	33	65
A0A514JQW5_9ACTN/2-80	A0A514JQW5	9ACTN	Streptomyces calvus	Kitasatosporales	82	32	47	79
A0A3M0G259_9ACTN/2-72	A0A3M0G259	9ACTN	Tessaracoccus antarcticus	Propionibacteriales	74	32	39	71
A0A087EKX5_9BIFI/2-81	A0A087EKX5	9BIFI	Bifidobacterium tsurumiense	Bifidobacteriales	127	32	48	80
J0XC03_9ACTO/2-71	J0XC03	9ACTO	Actinomyces massiliensis F0489	Actinomycetales	76	32	38	70
A0A4V2S4C7_9ACTN/2-61	A0A4V2S4C7	9ACTN	Kribbella antiqua	Propionibacteriales	61	32	28	60
A0A2S1STS8_9ACTN/2-78	A0A2S1STS8	9ACTN	Streptomyces tirandamycinicus	Kitasatosporales	82	32	45	77
A0A7T0KIC5_9ACTO/2-76	A0A7T0KIC5	9ACTO		None		32	43	75
A0A6B3FV09_9ACTN/2-79	A0A6B3FV09	9ACTN		None		32	46	78
A0A2A9FDP2_9PSEU/2-61	A0A2A9FDP2	9PSEU	Amycolatopsis sulphurea	Pseudonocardiales	61	32	28	60
A0A0G3HIP5_9CORY/2-67	A0A0G3HIP5	9CORY	Corynebacterium uterequi	Mycobacteriales	68	32	34	66
A0A5B8NXI4_9CORY/2-89	A0A5B8NXI4	9CORY		None		32	56	88
A0A1G6HJE1_9MICO/2-68	A0A1G6HJE1	9MICO	Sanguibacter gelidistatuariae	Micrococcales	68	32	35	67
A0A1H7X1Q8_9NOCA/2-68	A0A1H7X1Q8	9NOCA	Rhodococcus maanshanensis	Mycobacteriales	68	32	35	67
A0A9W6PWB6_9ACTN/2-64	A0A9W6PWB6	9ACTN	Actinomadura rubrobrunea	Streptosporangiales	72	32	31	63
A0A3N6X7Q9_9ACTN/2-58	A0A3N6X7Q9	9ACTN	Aeromicrobium camelliae	Propionibacteriales	58	32	25	57
A0A5J6KRA9_9MICO/2-58	A0A5J6KRA9	9MICO	Microbacterium caowuchunii	Micrococcales	58	32	25	57
A0A923E400_9ACTO/2-65	A0A923E400	9ACTO	Schaalia hyovaginalis	Actinomycetales	85	32	32	64
A0A2B8AU83_9ACTN/2-85	A0A2B8AU83	9ACTN		None		32	52	84
A0A095YBH0_9MICC/2-76	A0A095YBH0	9MICC		None		32	43	75
A0A3G8JL43_9ACTN/2-59	A0A3G8JL43	9ACTN	Gordonia insulae	Mycobacteriales	59	32	26	58
A0A7K2Q6H4_9ACTN/2-68	A0A7K2Q6H4	9ACTN		None		32	35	67
A0A8H9GEE1_9MICO/2-66	A0A8H9GEE1	9MICO	Promicromonospora citrea	Micrococcales	70	32	33	65
A0A6I3LEV4_9MICO/2-60	A0A6I3LEV4	9MICO		None		32	27	59
A0A1E7N3I9_KITAU/2-74	A0A1E7N3I9	KITAU	Kitasatospora aureofaciens (Streptomyces aureofaciens)	Kitasatosporales	85	32	41	73
A0A3N2PI76_9ACTN/2-70	A0A3N2PI76	9ACTN		None		32	37	69
A0A9W6V8I5_9PSEU/2-61	A0A9W6V8I5	9PSEU	Actinokineospora globicatena	Pseudonocardiales	61	32	28	60
A0A653YQB4_9ACTN/2-57	A0A653YQB4	9ACTN		None		32	24	56
A0A0A1D0A4_9MICC/2-69	A0A0A1D0A4	9MICC		None		32	36	68
D7GIU2_PROFC/2-74	D7GIU2	PROFC	Propionibacterium freudenreichii subsp. shermanii (strain ATCC 9614 / DSM 4902 / CIP 103027 / NCIMB 8099 / CIRM-BIA1)	Propionibacteriales	76	32	41	73
F4CKH4_PSEUX/2-67	F4CKH4	PSEUX	Pseudonocardia dioxanivorans (strain ATCC 55486 / DSM 44775 / JCM 13855 / CB1190)	Pseudonocardiales	68	32	34	66
A0A7Y0G4F2_9ACTN/2-64	A0A7Y0G4F2	9ACTN		None		32	31	63
A0A1G4XYB1_9ACTN/2-69	A0A1G4XYB1	9ACTN	Klenkia marina	Geodermatophilales	71	32	36	68
A9WQP4_RENSM/15-75	A9WQP4	RENSM	Renibacterium salmoninarum (strain ATCC 33209 / DSM 20767 / JCM 11484 / NBRC 15589 / NCIMB 2235)	Micrococcales	75	32	29	61
A0A318HDG3_9MYCO/2-61	A0A318HDG3	9MYCO	Mycolicibacterium moriokaense	Mycobacteriales	61	32	28	60
A0A917G4U8_9NOCA/2-62	A0A917G4U8	9NOCA	Rhodococcoides trifolii	Mycobacteriales	62	32	29	61
A0A6B3H8B9_9ACTN/2-64	A0A6B3H8B9	9ACTN		None		32	31	63
A0A089XBE0_STRGA/2-79	A0A089XBE0	STRGA	Streptomyces glaucescens	Kitasatosporales	81	32	46	78
M2YFJ1_9MICC/1-54	M2YFJ1	9MICC	Kocuria palustris PEL	Micrococcales	55	17	37	54
A0A2M9HBT1_9BIFI/2-79	A0A2M9HBT1	9BIFI	Bifidobacterium primatium	Bifidobacteriales	155	32	46	78
A0A7Y9LEB1_9ACTN/2-67	A0A7Y9LEB1	9ACTN	Microlunatus parietis	Propionibacteriales	70	32	34	66
A0A917VUH6_9ACTN/2-57	A0A917VUH6	9ACTN	Sphaerisporangium melleum	Streptosporangiales	61	31	25	56
A0A1I2UAT9_9CORY/2-64	A0A1I2UAT9	9CORY	Corynebacterium spheniscorum	Mycobacteriales	74	32	31	63
A0A939FJC5_9ACTN/2-84	A0A939FJC5	9ACTN	Streptomyces triculaminicus	Kitasatosporales	86	32	51	83
A4FQF3_SACEN/1-36	A4FQF3	SACEN	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	Pseudonocardiales	36	10	26	36
A0A1G6NYE3_9NOCA/2-69	A0A1G6NYE3	9NOCA	Rhodococcus tukisamuensis	Mycobacteriales	69	32	36	68
A0A944JD44_9ACTN/2-64	A0A944JD44	9ACTN		None		32	31	63
A0A6A9UR76_9ACTN/2-70	A0A6A9UR76	9ACTN	Auraticoccus cholistanensis	Propionibacteriales	71	32	37	69
A0A0N1NUU2_9ACTN/2-65	A0A0N1NUU2	9ACTN		None		32	32	64
A0A5C4VDS3_9ACTN/2-68	A0A5C4VDS3	9ACTN	Nonomuraea phyllanthi	Streptosporangiales	76	32	35	67
A0A841BUK5_9ACTN/1-54	A0A841BUK5	9ACTN	Allocatelliglobosispora scoriae	Micromonosporales	57	21	33	54
A0A4R7JDD2_9ACTN/2-68	A0A4R7JDD2	9ACTN	Naumannella halotolerans	Propionibacteriales	75	32	35	67
A0A171DN76_9ACTN/2-63	A0A171DN76	9ACTN	Planomonospora sphaerica	Streptosporangiales	77	32	30	62
A0A810NIW4_9ACTN/2-81	A0A810NIW4	9ACTN		None		32	48	80
A0A0T6LR26_WENVI/2-66	A0A0T6LR26	WENVI	Wenjunlia vitaminophila (Streptomyces vitaminophilus)	Kitasatosporales	83	32	33	65
A0A9W6VHK9_9PSEU/2-62	A0A9W6VHK9	9PSEU	Amycolatopsis taiwanensis	Pseudonocardiales	62	32	29	61
A0A0Q6RMW3_9MICO/2-61	A0A0Q6RMW3	9MICO		None		32	28	60
A0A8J3L444_9ACTN/2-81	A0A8J3L444	9ACTN	Catellatospora methionotrophica	Micromonosporales	82	32	48	80
A0A917VTA3_9ACTN/44-105	A0A917VTA3	9ACTN	Streptomyces flaveus	Kitasatosporales	126	32	30	62
A0A554UUT5_9ACTN/2-67	A0A554UUT5	9ACTN		None		32	34	66
S2VJC1_9ACTO/8-85	S2VJC1	9ACTO	Actinotignum schaalii FB123-CNA-2	Actinomycetales	91	32	46	78
A0A7G9RH16_9ACTN/2-59	A0A7G9RH16	9ACTN	Nocardioides mesophilus	Propionibacteriales	63	32	26	58
A0A2X4TV30_9NOCA/2-63	A0A2X4TV30	9NOCA	Rhodococcus coprophilus	Mycobacteriales	63	32	30	62
K0YEP6_9CORY/2-62	K0YEP6	9CORY	Corynebacterium otitidis ATCC 51513	Mycobacteriales	62	32	29	61
A0A917S8E7_9ACTN/2-73	A0A917S8E7	9ACTN	Microlunatus endophyticus	Propionibacteriales	75	32	40	72
A0A4R2KEQ9_9PSEU/2-58	A0A4R2KEQ9	9PSEU	Actinocrispum wychmicini	Pseudonocardiales	58	32	25	57
A0A6I2FDZ1_9MICO/2-71	A0A6I2FDZ1	9MICO		None		32	38	70
A0A2P9F275_9ACTN/2-81	A0A2P9F275	9ACTN		None		32	48	80
A0A558A2J2_9PSEU/2-61	A0A558A2J2	9PSEU	Amycolatopsis acidiphila	Pseudonocardiales	61	32	28	60
A0A101RMI6_9ACTN/2-64	A0A101RMI6	9ACTN	Streptomyces griseorubiginosus	Kitasatosporales	84	32	31	63
U3GWU6_9CORY/2-65	U3GWU6	9CORY	Corynebacterium argentoratense DSM 44202	Mycobacteriales	68	32	32	64
A0AAJ2WMR6_9MICO/2-62	A0AAJ2WMR6	9MICO		None		32	29	61
A0A5S9MPQ1_MYCVN/2-61	A0A5S9MPQ1	MYCVN	Mycolicibacterium vanbaalenii (Mycobacterium vanbaalenii)	Mycobacteriales	61	32	28	60
A0A7W9Q3U7_9ACTN/2-65	A0A7W9Q3U7	9ACTN	Streptomyces echinatus	Kitasatosporales	82	32	32	64
A0A918F917_AGRME/2-63	A0A918F917	AGRME	Agromyces mediolanus (Corynebacterium mediolanum)	Micrococcales	68	32	30	62
A0A545AM89_9ACTN/2-63	A0A545AM89	9ACTN	Cryptosporangium phraense	Cryptosporangiales	64	32	30	62
A0A2U1TB48_9MICO/2-63	A0A2U1TB48	9MICO	Mycetocola zhujimingii	Micrococcales	65	32	30	62
A0A8J3HNV5_9ACTN/2-67	A0A8J3HNV5	9ACTN		None		32	34	66
A0A373DIL5_9MICO/2-61	A0A373DIL5	9MICO		None		32	28	60
A0A263D1X0_9PSEU/2-62	A0A263D1X0	9PSEU	Amycolatopsis antarctica	Pseudonocardiales	62	32	29	61
A0A1G8DAV2_9MICC/2-68	A0A1G8DAV2	9MICC	Arthrobacter subterraneus	Micrococcales	75	32	35	67
A0A117RI30_9ACTN/2-81	A0A117RI30	9ACTN	Streptomyces caeruleatus	Kitasatosporales	86	32	48	80
A0A2M9D083_9CELL/2-64	A0A2M9D083	9CELL	Sediminihabitans luteus	Micrococcales	64	32	31	63
A0A2A9CN40_9ACTN/2-66	A0A2A9CN40	9ACTN	Propionicimonas paludicola	Propionibacteriales	75	32	33	65
A0A4Y3R659_STRCI/2-65	A0A4Y3R659	STRCI	Streptomyces cacaoi	Kitasatosporales	88	32	32	64
A0A2N3YIT6_9MICO/2-61	A0A2N3YIT6	9MICO	Phycicoccus duodecadis	Micrococcales	62	32	28	60
A0A918BWJ0_9ACTN/2-80	A0A918BWJ0	9ACTN	Streptomyces aurantiogriseus	Kitasatosporales	82	32	47	79
