clade	sra	n_pool	n_term_raw	loss	gain	neutral	inverse	tierce	C>A	C>G	C>T	T>A	T>C	T>G
L1	SRR16058716	40	43	32	6	5	0	0	6	5	26	0	4	2
L1	ERR10680047	40	403	286	74	43	0	0	48	36	238	7	50	24
L1	SRR28044377	40	228	151	47	30	0	0	28	28	123	2	31	16
L1	ERR6635035	40	15	9	1	5	0	0	4	5	5	0	1	0
L1	ERR4818080	40	59	46	9	4	0	0	9	4	37	0	7	2
L1	SRR8380860	40	85	62	14	9	0	1	12	9	50	0	9	5
L1	SRR29772739	40	199	143	41	15	0	0	38	13	105	2	33	8
L1	SRR1173004	40	126	83	26	17	0	0	11	12	72	5	15	11
L1	SRR26056442	40	92	64	21	7	0	0	13	6	51	1	15	6
L1	SRR33938723	40	118	89	16	13	0	0	14	13	75	0	14	2
L1	SRR30940856	40	80	62	10	8	0	0	13	7	49	1	9	1
L1	ERR11641181	40	80	61	11	7	0	0	12	7	49	0	7	4
L1	SRR33843011	40	59	41	12	6	0	0	10	6	31	0	5	7
L1	SRR33917432	40	53	38	9	6	0	0	9	6	29	0	7	2
L1	ERR7802015	40	93	64	18	10	0	0	13	10	51	0	12	6
L1	SRR33643213	40	68	55	8	5	0	0	15	5	40	0	7	1
L1	SRR6650321	40	192	140	35	17	0	0	23	17	117	0	22	13
L1	ERR2514996	40	113	65	26	22	0	0	9	18	56	4	22	4
L1	SRR33679873	40	114	83	16	15	0	0	15	15	68	0	11	5
L1	SRR33959888	40	71	50	13	8	0	0	14	7	36	1	9	4
L1	ERR11465718	40	74	51	16	7	0	0	11	6	40	1	12	4
L1	SRR22251244	40	130	88	33	9	0	0	20	8	68	1	20	13
L1	SRR33917509	40	56	38	8	10	0	0	6	8	32	2	7	1
L1	ERR11044527	40	77	48	20	9	0	0	8	8	40	1	12	8
L1	SRR28859901	40	176	123	38	15	0	0	22	9	101	6	35	3
L1	SRR6797464	40	318	217	65	36	0	0	47	35	170	1	45	20
L1	SRR5065330	40	171	121	26	24	0	0	18	23	103	1	19	7
L1	ERR9125091	40	50	37	6	7	0	0	9	6	28	1	5	1
L1	ERR6635438	40	69	39	18	12	0	0	6	11	33	1	10	8
L1	SRR2100172	40	71	47	16	8	0	0	12	7	35	1	8	8
L1	ERR13288770	40	63	41	13	9	0	0	5	7	36	2	9	4
L1	SRR5817476	40	283	191	56	36	0	0	29	30	162	6	38	18
L1	SRR1140718	40	276	193	53	30	0	0	41	24	152	6	37	16
L1	ERR751969	40	246	160	44	41	0	0	27	32	133	9	28	16
L1	SRR33960008	40	378	246	87	44	0	0	54	42	192	2	59	28
L1	SRR33790735	40	83	58	18	7	0	0	6	6	52	1	13	5
L1	SRR14514371	40	215	121	56	37	0	0	18	34	103	3	39	17
L1	SRR30513446	40	112	78	19	15	0	0	11	14	67	1	11	8
L1	SRR22249967	40	154	109	23	20	0	0	19	18	90	2	14	9
L1	SRR12882686	40	229	156	46	26	0	0	22	24	134	2	31	15
L2.2.1	SRR10869270	40	13	7	6	0	0	0	2	0	5	0	5	1
L2.2.1	ERR6362485	40	8	4	3	1	0	0	0	1	4	0	3	0
L2.2.1	ERR4830063	40	12	6	6	0	0	0	1	0	5	0	5	1
L2.2.1	SRR21887733	40	86	47	26	13	0	0	8	13	39	0	19	7
L2.2.1	ERR234646	40	15	7	7	1	0	0	2	1	5	0	6	1
L2.2.1	SRR24673523	40	4	2	2	0	0	0	1	0	1	0	1	1
L2.2.1	ERR2307561	40	17	12	4	1	0	0	3	1	9	0	3	1
L2.2.1	ERR4822440	40	20	8	12	0	0	0	1	0	7	0	10	2
L2.2.1	SRR6824477	40	169	102	42	24	0	0	23	23	79	1	31	11
L2.2.1	ERR768002	40	79	43	23	10	0	0	8	9	35	1	15	8
L2.2.1	SRR28045664	40	85	39	29	17	0	0	8	16	31	1	20	9
L2.2.1	ERR8665647	40	10	5	4	1	0	0	1	1	4	0	3	1
L2.2.1	ERR552740	40	6	3	3	0	0	0	1	0	2	0	3	0
L2.2.1	ERR5864931	40	8	2	4	2	0	0	0	1	2	1	3	1
L2.2.1	SRR21732953	40	49	32	10	7	0	0	7	7	25	0	7	3
L2.2.1	ERR4813571	40	92	52	34	6	0	0	10	4	42	2	20	14
L2.2.1	SRR12420355	40	123	75	31	16	0	0	11	13	64	3	24	7
L2.2.1	ERR4872271	40	51	30	12	9	0	0	4	8	26	1	8	4
L2.2.1	ERR2513200	40	79	35	36	8	0	0	9	6	26	2	33	3
L2.2.1	SRR5710010	40	70	42	19	9	0	0	15	8	27	1	12	7
L2.2.1	ERR8665611	40	17	7	8	2	0	0	2	2	5	0	4	4
L2.2.1	ERR4799932	40	31	15	13	3	0	0	1	3	14	0	11	2
L2.2.1	SRR5709953	40	64	39	14	10	0	0	7	9	32	1	11	3
L2.2.1	SRR18003020	40	67	41	17	9	0	0	11	8	30	1	12	5
L2.2.1	SRR24710185	40	15	8	5	2	0	0	2	2	6	0	5	0
L2.2.1	SRR7645815	40	38	21	11	6	0	0	5	4	16	2	7	4
L2.2.1	SRR15315752	40	73	45	22	6	0	0	8	5	37	1	14	8
L2.2.1	SRR22251282	40	15	9	4	2	0	0	3	1	6	1	3	1
L2.2.1	SRR5067620	40	93	55	28	10	0	0	19	10	36	0	17	11
L2.2.1	ERR4828015	40	22	8	12	2	0	0	0	2	8	0	7	5
L2.2.1	SRR26399606	40	103	64	24	15	0	0	18	13	46	2	20	4
L2.2.1	ERR5918115	40	25	13	9	3	0	0	4	3	9	0	5	4
