locus_tag,annotation_type,n_sites
Rv0063a,missense_variant,136
Rv0063a,stop_gained,4
Rv0063a,stop_lost,3
Rv0063a,synonymous_variant,57
Rv0078B,missense_variant,143
Rv0078B,stop_gained,1
Rv0078B,stop_lost,2
Rv0078B,synonymous_variant,65
Rv0108c,missense_variant,151
Rv0108c,stop_gained,8
Rv0108c,stop_lost,2
Rv0108c,synonymous_variant,90
Rv0115a,missense_variant,134
Rv0115a,stop_gained,3
Rv0115a,stop_lost,2
Rv0115a,synonymous_variant,49
Rv0186A,missense_variant,108
Rv0186A,stop_gained,5
Rv0186A,synonymous_variant,46
Rv0236A,missense_variant,94
Rv0236A,stop_lost,1
Rv0236A,synonymous_variant,111
Rv0416,missense_variant,88
Rv0416,synonymous_variant,61
Rv0456B,missense_variant,99
Rv0456B,stop_gained,8
Rv0456B,stop_lost,1
Rv0456B,synonymous_variant,43
Rv0530A,missense_variant,118
Rv0530A,stop_gained,1
Rv0530A,stop_lost,1
Rv0530A,synonymous_variant,62
Rv0634B,missense_variant,112
Rv0634B,stop_lost,1
Rv0634B,synonymous_variant,128
Rv0657c,missense_variant,98
Rv0657c,stop_gained,2
Rv0657c,stop_lost,2
Rv0657c,synonymous_variant,44
Rv0666,missense_variant,98
Rv0666,stop_gained,1
Rv0666,stop_lost,2
Rv0666,synonymous_variant,46
Rv0717,missense_variant,171
Rv0717,stop_gained,4
Rv0717,stop_lost,2
Rv0717,synonymous_variant,145
Rv0722,missense_variant,113
Rv0722,stop_lost,4
Rv0722,synonymous_variant,103
Rv0763c,missense_variant,136
Rv0763c,stop_gained,8
Rv0763c,stop_lost,2
Rv0763c,synonymous_variant,71
Rv0810c,missense_variant,84
Rv0810c,stop_gained,2
Rv0810c,synonymous_variant,100
Rv0863,missense_variant,91
Rv0863,stop_gained,1
Rv0863,synonymous_variant,63
Rv0900,missense_variant,72
Rv0900,stop_gained,4
Rv0900,stop_lost,1
Rv0900,synonymous_variant,39
Rv0909,missense_variant,113
Rv0909,stop_gained,4
Rv0909,stop_lost,1
Rv0909,synonymous_variant,48
Rv0979A,missense_variant,87
Rv0979A,stop_gained,1
Rv0979A,synonymous_variant,63
Rv0979c,missense_variant,121
Rv0979c,stop_gained,8
Rv0979c,stop_lost,4
Rv0979c,synonymous_variant,47
Rv1088a,missense_variant,94
Rv1088a,stop_gained,5
Rv1088a,stop_lost,5
Rv1088a,synonymous_variant,48
Rv1113,missense_variant,82
Rv1113,stop_gained,2
Rv1113,stop_lost,1
Rv1113,synonymous_variant,57
Rv1116,missense_variant,98
Rv1116,stop_gained,5
Rv1116,stop_lost,1
Rv1116,synonymous_variant,39
Rv1155a,missense_variant,104
Rv1155a,stop_gained,4
Rv1155a,synonymous_variant,52
Rv1228a,missense_variant,102
Rv1228a,stop_gained,4
Rv1228a,stop_lost,5
Rv1228a,synonymous_variant,49
Rv1473A,missense_variant,132
Rv1473A,stop_gained,5
Rv1473A,stop_lost,1
Rv1473A,synonymous_variant,78
Rv1498A,missense_variant,139
Rv1498A,stop_gained,4
Rv1498A,stop_lost,3
Rv1498A,synonymous_variant,48
Rv1576c,missense_variant,826
Rv1576c,stop_gained,37
Rv1576c,stop_lost,3
Rv1576c,synonymous_variant,351
Rv1642,missense_variant,147
Rv1642,stop_lost,1
Rv1642,synonymous_variant,140
Rv1693,missense_variant,102
Rv1693,stop_lost,2
Rv1693,synonymous_variant,57
Rv1706A,missense_variant,92
Rv1706A,stop_gained,3
Rv1706A,stop_lost,1
Rv1706A,synonymous_variant,36
Rv1740,missense_variant,121
Rv1740,stop_gained,4
Rv1740,stop_lost,1
Rv1740,synonymous_variant,63
Rv1786,missense_variant,126
Rv1786,stop_gained,3
Rv1786,stop_lost,4
Rv1786,synonymous_variant,52
Rv1799,missense_variant,100
Rv1799,stop_gained,1
Rv1799,stop_lost,4
Rv1799,synonymous_variant,59
Rv1950c,missense_variant,107
Rv1950c,stop_gained,9
Rv1950c,stop_lost,2
Rv1950c,synonymous_variant,60
Rv2057c,missense_variant,103
Rv2057c,stop_gained,2
Rv2057c,stop_lost,3
Rv2057c,synonymous_variant,59
Rv2082,missense_variant,1265
Rv2082,stop_gained,31
Rv2082,stop_lost,2
Rv2082,synonymous_variant,556
Rv2111c,missense_variant,206
Rv2111c,stop_gained,2
Rv2111c,synonymous_variant,194
Rv2128,missense_variant,101
Rv2128,stop_gained,4
Rv2128,stop_lost,1
Rv2128,synonymous_variant,48
Rv2231B,missense_variant,93
Rv2231B,stop_gained,5
Rv2231B,stop_lost,3
Rv2231B,synonymous_variant,45
Rv2256a,missense_variant,108
Rv2256a,stop_gained,6
Rv2256a,stop_lost,1
Rv2256a,synonymous_variant,54
Rv2283,missense_variant,110
Rv2283,stop_gained,1
Rv2283,stop_lost,1
Rv2283,synonymous_variant,52
Rv2304c,missense_variant,111
Rv2304c,stop_gained,6
Rv2304c,stop_lost,2
Rv2304c,synonymous_variant,61
Rv2307A,missense_variant,104
Rv2307A,stop_gained,7
Rv2307A,stop_lost,1
Rv2307A,synonymous_variant,47
Rv2307D,missense_variant,96
Rv2307D,stop_gained,5
Rv2307D,stop_lost,1
Rv2307D,synonymous_variant,46
Rv2371,missense_variant,91
Rv2371,stop_lost,1
Rv2371,synonymous_variant,48
Rv2386a,missense_variant,117
Rv2386a,stop_gained,2
Rv2386a,stop_lost,1
Rv2386a,synonymous_variant,61
Rv2395B,missense_variant,120
Rv2395B,stop_gained,5
Rv2395B,stop_lost,6
Rv2395B,synonymous_variant,62
Rv2401A,missense_variant,81
Rv2401A,stop_gained,1
Rv2401A,synonymous_variant,50
Rv2490a,missense_variant,135
Rv2490a,stop_gained,4
Rv2490a,stop_lost,2
Rv2490a,synonymous_variant,67
Rv2512a,missense_variant,100
Rv2512a,stop_gained,3
Rv2512a,stop_lost,1
Rv2512a,synonymous_variant,34
Rv2738c,missense_variant,124
Rv2738c,stop_gained,5
Rv2738c,stop_lost,2
Rv2738c,synonymous_variant,66
Rv2806,missense_variant,120
Rv2806,stop_gained,3
Rv2806,stop_lost,1
Rv2806,synonymous_variant,56
Rv2970A,missense_variant,106
Rv2970A,stop_gained,3
Rv2970A,stop_lost,1
Rv2970A,synonymous_variant,38
Rv2975a,missense_variant,179
Rv2975a,stop_lost,4
Rv2975a,synonymous_variant,116
Rv3190A,missense_variant,122
Rv3190A,stop_gained,10
Rv3190A,synonymous_variant,54
Rv3196A,missense_variant,99
Rv3196A,stop_gained,5
Rv3196A,stop_lost,2
Rv3196A,synonymous_variant,49
Rv3202a,missense_variant,127
Rv3202a,stop_gained,3
Rv3202a,stop_lost,3
Rv3202a,synonymous_variant,59
Rv3222c,missense_variant,297
Rv3222c,synonymous_variant,150
Rv3250c,missense_variant,122
Rv3250c,stop_gained,4
Rv3250c,stop_lost,1
Rv3250c,synonymous_variant,90
Rv3251c,missense_variant,95
Rv3251c,stop_gained,3
Rv3251c,stop_lost,5
Rv3251c,synonymous_variant,52
Rv3312b,missense_variant,94
Rv3312b,stop_gained,5
Rv3312b,stop_lost,2
Rv3312b,synonymous_variant,44
Rv3402c,missense_variant,727
Rv3402c,stop_gained,29
Rv3402c,stop_lost,2
Rv3402c,synonymous_variant,340
Rv3430a,missense_variant,81
Rv3430a,stop_gained,1
Rv3430a,stop_lost,2
Rv3430a,synonymous_variant,38
Rv3489,missense_variant,100
Rv3489,stop_gained,1
Rv3489,synonymous_variant,71
Rv3503c,missense_variant,117
Rv3503c,stop_lost,2
Rv3503c,synonymous_variant,104
Rv3613c,missense_variant,121
Rv3613c,stop_gained,2
Rv3613c,stop_lost,4
Rv3613c,synonymous_variant,47
Rv3642c,missense_variant,105
Rv3642c,stop_gained,5
Rv3642c,stop_lost,2
Rv3642c,synonymous_variant,67
Rv3643,missense_variant,136
Rv3643,stop_gained,7
Rv3643,stop_lost,2
Rv3643,synonymous_variant,54
Rv3648c,missense_variant,180
Rv3648c,stop_lost,1
Rv3648c,synonymous_variant,173
Rv3656c,missense_variant,136
Rv3656c,stop_gained,5
Rv3656c,stop_lost,4
Rv3656c,synonymous_variant,78
Rv3678A,missense_variant,148
Rv3678A,stop_gained,11
Rv3678A,stop_lost,4
Rv3678A,synonymous_variant,137
Rv3745c,missense_variant,128
