clade	sra	nsub	loss	gain	neutral	ratio
L1	SRR16058716	1883	863	744	276	1.1599
L1	ERR10680047	2034	955	787	292	1.2135
L1	SRR28044377	2039	922	806	311	1.1439
L1	ERR6635035	1713	750	701	262	1.0699
L1	ERR4818080	1937	895	764	278	1.1715
L1	SRR8380860	1968	908	774	286	1.1731
L1	SRR29772739	2034	925	826	283	1.1199
L1	SRR1173004	1939	884	773	282	1.1436
L1	SRR26056442	2003	909	804	290	1.1306
L1	SRR33938723	1974	913	768	293	1.1888
L1	SRR30940856	2010	938	803	269	1.1681
L1	ERR11641181	1967	915	767	285	1.1930
L1	SRR33843011	1934	894	761	279	1.1748
L1	SRR33917432	1907	879	751	277	1.1704
L1	ERR7802015	1959	898	778	283	1.1542
L1	SRR33643213	1969	915	771	283	1.1868
L1	SRR6650321	1550	738	591	221	1.2487
L1	ERR2514996	1939	878	767	294	1.1447
L1	SRR33679873	1943	899	759	285	1.1845
L1	SRR33959888	1880	863	748	269	1.1537
L1	ERR11465718	2004	921	811	272	1.1356
L1	SRR22251244	1928	888	779	261	1.1399
L1	SRR33917509	1931	891	757	283	1.1770
L1	ERR11044527	1985	905	783	297	1.1558
L1	SRR28859901	1959	883	791	285	1.1163
L1	SRR6797464	1899	876	756	267	1.1587
L1	SRR5065330	1922	897	753	272	1.1912
L1	ERR9125091	1922	884	759	279	1.1647
L1	ERR6635438	2013	912	796	305	1.1457
L1	SRR2100172	1948	893	779	276	1.1463
L1	ERR13288770	2039	932	827	280	1.1270
L1	SRR5817476	1980	923	779	278	1.1849
L1	SRR1140718	1980	916	784	280	1.1684
L1	ERR751969	1991	905	788	298	1.1485
L1	SRR33960008	1987	918	790	279	1.1620
L1	SRR33790735	1890	864	752	274	1.1489
L1	SRR14514371	2029	892	838	299	1.0644
L1	SRR30513446	1952	896	767	289	1.1682
L1	SRR22249967	1965	910	764	291	1.1911
L1	SRR12882686	1944	898	773	273	1.1617
L2.2.1	SRR10869270	1338	540	594	204	0.9091
L2.2.1	ERR6362485	1346	537	597	212	0.8995
L2.2.1	ERR4830063	1339	529	601	209	0.8802
L2.2.1	SRR21887733	1360	540	599	221	0.9015
L2.2.1	ERR234646	1345	529	606	210	0.8729
L2.2.1	SRR24673523	1329	529	591	209	0.8951
L2.2.1	ERR2307561	1302	521	578	203	0.9014
L2.2.1	ERR4822440	1347	533	610	204	0.8738
L2.2.1	SRR6824477	1324	518	589	217	0.8795
L2.2.1	ERR768002	1328	528	586	214	0.9010
L2.2.1	SRR28045664	1355	529	605	221	0.8744
L2.2.1	ERR8665647	1321	521	592	208	0.8801
L2.2.1	ERR552740	1236	498	554	184	0.8989
L2.2.1	ERR5864931	1287	510	573	204	0.8901
L2.2.1	SRR21732953	1307	533	570	204	0.9351
L2.2.1	ERR4813571	1342	524	603	215	0.8690
L2.2.1	SRR12420355	1276	502	563	211	0.8917
L2.2.1	ERR4872271	1371	548	607	216	0.9028
L2.2.1	ERR2513200	1292	516	581	195	0.8881
L2.2.1	SRR5710010	1349	546	590	213	0.9254
L2.2.1	ERR8665611	1329	521	596	212	0.8742
L2.2.1	ERR4799932	1285	515	564	206	0.9131
L2.2.1	SRR5709953	1338	530	592	216	0.8953
L2.2.1	SRR18003020	1339	533	590	216	0.9034
L2.2.1	SRR24710185	1353	536	608	209	0.8816
L2.2.1	SRR7645815	1325	530	586	209	0.9044
L2.2.1	SRR15315752	1353	535	603	215	0.8872
L2.2.1	SRR22251282	1250	509	541	200	0.9409
L2.2.1	SRR5067620	1313	530	580	203	0.9138
L2.2.1	ERR4828015	1352	532	604	216	0.8808
L2.2.1	SRR26399606	1342	536	591	215	0.9069
L2.2.1	ERR5918115	1342	533	600	209	0.8883
L2.2.1	ERR8665778	1317	526	589	202	0.8930
L2.2.1	ERR4809066	1315	523	580	212	0.9017
L2.2.1	SRR5710000	1287	499	581	207	0.8589
