clade	sra	loss	gain	dgc_ppm
L1	SRR16058716	615	223	-100.18047819822343
L1	ERR10680047	675	238	-111.68078819546847
L1	SRR28044377	638	229	-104.52503975273822
L1	ERR6635035	547	206	-87.14679353467906
L1	ERR4818080	628	223	-103.50278997520533
L1	SRR8380860	626	221	-103.50278997520533
L1	SRR29772739	632	237	-100.9471655313731
L1	SRR1173004	619	224	-100.9471655313731
L1	SRR26056442	630	232	-101.71385286452276
L1	SRR33938723	632	223	-104.52503975273822
L1	SRR30940856	669	249	-107.33622664095368
L1	ERR11641181	631	223	-104.26947730835501
L1	SRR33843011	623	226	-101.45829042013955
L1	SRR33917432	623	225	-101.71385286452276
L1	ERR7802015	628	229	-101.969415308906
L1	SRR33643213	637	224	-105.54728953027112
L1	SRR6650321	654	241	-105.54728953027112
L1	ERR2514996	613	224	-99.41379086507376
L1	SRR33679873	630	225	-103.50278997520533
L1	SRR33959888	616	229	-98.90266597630732
L1	ERR11465718	645	247	-101.71385286452276
L1	SRR22251244	603	224	-96.85816642124153
L1	SRR33917509	621	223	-101.71385286452276
L1	ERR11044527	620	233	-98.90266597630732
L1	SRR28859901	594	225	-94.3025419774093
L1	SRR6797464	613	229	-98.13597864315764
L1	SRR5065330	636	216	-107.33622664095368
L1	ERR9125091	619	221	-101.71385286452276
L1	ERR6635438	621	232	-99.41379086507376
L1	SRR2100172	613	224	-99.41379086507376
L1	ERR13288770	648	252	-101.20272797575632
L1	SRR5817476	654	238	-106.31397686342079
L1	SRR1140718	646	229	-106.569539307804
L1	ERR751969	621	225	-101.20272797575632
L1	SRR33960008	644	248	-101.20272797575632
L1	SRR33790735	625	235	-99.66935330945698
L1	SRR14514371	601	251	-89.44685553412806
L1	SRR30513446	628	219	-104.52503975273822
L1	SRR22249967	637	216	-107.5917890853369
L1	SRR12882686	619	228	-99.92491575384021
L2.2.1	SRR10869270	558	300	-65.93511065087155
L2.2.1	ERR6362485	554	296	-65.93511065087155
L2.2.1	ERR4830063	542	294	-63.379486207039314
L2.2.1	SRR21887733	543	294	-63.63504865142254
L2.2.1	ERR234646	539	298	-61.59054909635675
L2.2.1	SRR24673523	550	294	-65.4239857621051
L2.2.1	ERR2307561	545	294	-64.14617354018898
L2.2.1	ERR4822440	542	303	-61.07942420759031
L2.2.1	SRR6824477	520	273	-63.12392376265609
L2.2.1	ERR768002	538	287	-64.14617354018898
L2.2.1	SRR28045664	536	295	-61.59054909635675
L2.2.1	ERR8665647	546	301	-62.612798873889645
L2.2.1	ERR552740	533	288	-62.612798873889645
L2.2.1	ERR5864931	534	292	-61.846111540739976
L2.2.1	SRR21732953	542	278	-67.46848531717089
L2.2.1	ERR4813571	536	297	-61.07942420759031
L2.2.1	SRR12420355	517	270	-63.12392376265609
L2.2.1	ERR4872271	555	297	-65.93511065087155
L2.2.1	ERR2513200	539	306	-59.54604954129097
L2.2.1	SRR5710010	549	290	-66.19067309525477
L2.2.1	ERR8665611	539	297	-61.846111540739976
L2.2.1	ERR4799932	527	269	-65.93511065087155
L2.2.1	SRR5709953	535	277	-65.93511065087155
L2.2.1	SRR18003020	548	283	-67.7240477615541
L2.2.1	SRR24710185	543	296	-63.12392376265609
L2.2.1	SRR7645815	544	289	-65.16842331772187
L2.2.1	SRR15315752	540	293	-63.12392376265609
L2.2.1	SRR22251282	521	258	-67.21292287278766
L2.2.1	SRR5067620	549	298	-64.14617354018898
L2.2.1	ERR4828015	544	301	-62.1016739851232
L2.2.1	SRR26399606	546	283	-67.21292287278766
L2.2.1	ERR5918115	539	288	-64.14617354018898
L2.2.1	ERR8665778	537	295	-61.846111540739976
L2.2.1	ERR4809066	535	280	-65.16842331772187
L2.2.1	SRR5710000	506	273	-59.54604954129097
L2.2.1	SRR4033749	535	280	-65.16842331772187
L2.2.1	ERR8665776	543	300	-62.1016739851232
L2.2.1	SRR11786872	541	297	-62.35723642950642
L2.2.1	ERR4827611	537	296	-61.59054909635675
L2.2.1	ERR5864307	546	293	-64.65729842895543
L3	ERR4798273	594	246	-88.93573064536162
L3	ERR2515074	578	233	-88.16904331221195
L3	ERR4800533	568	240	-83.82448175769716
L3	ERR2510438	590	250	-86.89123109029583
L3	ERR4819332	591	243	-88.93573064536162
L3	ERR216981	573	245	-83.82448175769716
L3	ERR2510465	580	247	-85.10229397961328
L3	ERR4798854	567	235	-84.84673153523005
L3	ERR4829127	568	235	-85.10229397961328
L3	SRR22424856	571	247	-82.80223198016427
L3	SRR21728336	582	247	-85.61341886837972
L3	SRR22424752	567	237	-84.3356066464636
L3	ERR245796	583	241	-87.40235597906228
L3	ERR4829144	583	234	-89.19129308974485
L3	SRR28044918	556	227	-84.08004420208039
L3	ERR688023	573	253	-81.77998220263137
L3	ERR4818877	577	243	-85.3578564239965
L3	ERR4798552	584	239	-88.16904331221195
L3	SRR28045170	599	238	-92.25804242234352
L3	ERR4799249	574	240	-85.3578564239965
L3	ERR2199900	549	234	-80.50216998071525
L3	ERR2510326	580	245	-85.61341886837972
L3	ERR4829947	554	237	-81.0132948694817
L3	ERR3077987	562	254	-78.7132328700327
L3	SRR22251080	568	246	-82.29110709139782
L3	SRR16058252	565	246	-81.52441975824814
L3	SRR22251746	572	256	-80.75773242509848
L3	SRR28044880	563	236	-83.56891931331394
L3	ERR4821366	569	233	-85.86898131276294
L3	ERR4797181	579	251	-83.82448175769716
L3	ERR2512536	558	257	-76.92429575935013
L3	SRR5341376	552	238	-80.24660753633204
L3	SRR27332356	585	239	-88.42460575659517
L3	SRR6152765	594	242	-89.95798042289451
L3	ERR4809128	571	242	-84.08004420208039
L3	SRR27449964	567	239	-83.82448175769716
L3	ERR4818922	574	235	-86.63566864591262
L3	ERR4828529	498	224	-70.02410976100312
L3	SRR16058185	575	242	-85.10229397961328
L3	SRR16058375	594	244	-89.44685553412806
L4.1.2	ERR2516272	515	233	-72.0686093160689
L4.1.2	ERR552279	522	230	-74.62423375990113
L4.1.2	ERR4812398	521	230	-74.3686713155179
L4.1.2	SRR10851604	511	241	-69.00185998347023
L4.1.2	SRR22249404	522	230	-74.62423375990113
L4.1.2	SRR20958078	524	230	-75.13535864866758
L4.1.2	ERR4195410	524	232	-74.62423375990113
L4.1.2	ERR2512560	515	231	-72.57973420483535
L4.1.2	SRR4035723	522	222	-76.66873331496691
L4.1.2	SRR28394290	520	240	-71.55748442730246
L4.1.2	SRR24083700	518	245	-69.76854731661989
L4.1.2	ERR4817438	518	225	-74.87979620428435
L4.1.2	ERR6866682	521	230	-74.3686713155179
L4.1.2	ERR1367618	519	245	-70.02410976100312
L4.1.2	SRR7592367	540	240	-76.66873331496691
L4.1.2	SRR19303987	525	237	-73.60198398236824
L4.1.2	ERR4822638	525	232	-74.87979620428435
L4.1.2	SRR10315693	534	233	-76.92429575935013
L4.1.2	SRR18149464	527	241	-73.0908590936018
L4.1.2	ERR9786122	525	227	-76.15760842620047
L4.1.2	ERR6866745	528	231	-75.90204598181724
L4.1.2	ERR2516426	517	235	-72.0686093160689
L4.1.2	ERR6866247	509	231	-71.04635953853601
L4.1.2	SRR28393532	529	241	-73.60198398236824
L4.1.2	ERR4830362	524	226	-76.15760842620047
L4.1.2	ERR2199746	513	227	-73.0908590936018
L4.1.2	ERR8774231	542	241	-76.92429575935013
L4.1.2	ERR6865612	512	234	-71.04635953853601
L4.1.2	ERR2515762	515	227	-73.60198398236824
L4.1.2	SRR19314674	534	229	-77.94654553688302
L4.1.2	ERR552026	538	233	-77.94654553688302
L4.1.2	ERR4829737	515	239	-70.53523464976956
L4.1.2	ERR12057461	516	231	-72.83529664921856
L4.1.2	SRR13180273	516	227	-73.85754642675145
L4.1.2	SRR28498424	534	233	-76.92429575935013
L4.1.2	SRR26112528	512	232	-71.55748442730246
L4.1.2	ERR4813038	525	238	-73.34642153798501
L4.1.2	ERR025421	508	236	-69.51298487223667
L4.1.2	ERR4195264	518	234	-72.57973420483535
L4.1.2	ERR10465875	530	235	-75.39092109305079
L4.3	SRR23862053	541	263	-71.04635953853601
L4.3	SRR6807744	521	259	-66.95736042840444
L4.3	SRR21240170	527	268	-66.19067309525477
