clade_dir	sra	groupe	n_pool	loss	gain
L2.2.1	ERR2513441	cas	152	0	0
L2.2.1	ERR2517049	cas	152	0	0
L2.2.1	ERR4810506	temoin	152	47	26
L2.2.1	SRR24673505	temoin	152	31	26
L2.2.1	ERR5908225	temoin	152	32	32
L2.2.1	ERR550778	temoin	152	7	7
L2.2.1	ERR4797502	temoin	152	4	5
L2.2.1	ERR4828241	temoin	152	48	21
L2.2.1	SRR15369015	temoin	152	30	7
L2.2.1	SRR16156825	temoin	152	2	1
L2.2.1	ERR9786041	temoin	152	1	0
L2.2.1	SRR5065466	temoin	152	86	32
L2.2.1	SRR23861849	temoin	152	30	15
L2.2.1	SRR16088179	temoin	152	14	8
L2.2.1	SRR21277795	temoin	152	57	27
L2.2.1	ERR551212	temoin	152	7	3
L2.2.1	SRR5065303	temoin	152	1	0
L2.2.1	SRR24710180	temoin	152	4	6
L2.2.1	ERR9786063	temoin	152	1	0
L2.2.1	SRR10809033	temoin	152	108	41
L2.2.1	ERR8699195	temoin	152	1	0
L2.2.1	SRR23310934	temoin	152	6	12
L2.2.1	SRR10303344	temoin	152	4	2
L2.2.1	SRR4034821	temoin	152	5	5
L2.2.1	ERR5987287	temoin	152	35	30
L2.2.1	ERR5863742	temoin	152	1	0
L2.2.1	SRR21732879	temoin	152	35	17
L2.2.1	SRR10040471	temoin	152	26	17
L2.2.1	ERR4830173	temoin	152	13	11
L2.2.1	SRR6480511	temoin	152	47	14
L2.2.1	SRR5067614	temoin	152	6	7
L2.2.1	SRR16115865	temoin	152	56	22
L2.2.1	SRR10397243	temoin	152	0	3
L2.2.1	ERR4800335	temoin	152	4	3
L2.2.1	SRR12420771	temoin	152	30	17
L2.2.1	SRR4037801	temoin	152	3	4
L2.2.1	SRR21277468	temoin	152	23	13
L2.2.1	ERR117459	temoin	152	36	26
L2.2.1	SRR12420365	temoin	152	36	26
L2.2.1	SRR5520605	temoin	152	7	6
L2.2.1	SRR11662586	temoin	152	45	20
L2.2.1	SRR17657936	temoin	152	62	43
L2.2.1	ERR5864462	temoin	152	1	0
L2.2.1	SRR13232765	temoin	152	9	7
L2.2.1	SRR22424924	temoin	152	4	5
L2.2.1	DRR034381	temoin	152	122	44
L2.2.1	SRR5065351	temoin	152	71	23
L2.2.1	SRR28706456	temoin	152	7	6
