genome	group	Rv1025_present	divIC_adjacent	operon_intact	order_on_contig	Rv1023_id	Rv1024_id	Rv1025_id	Rv1026_id
M_canettii(CP007299)	outgroup	OUI (100% id, 100% cov)	OUI (gap +122 nt)	OUI (4/4, ordre conservé)	eno@1143072 divIC@1144013 Rv1025@1144658 ppx2@1145362	100%/100%cov	100%/85%cov	100%/100%cov	100%/100%cov
M_bovis(NC_002945)	MTBC	OUI (100% id, 100% cov)	OUI (gap +122 nt)	OUI (4/4, ordre conservé)	eno@1145654 divIC@1146595 Rv1025@1147240 ppx2@1147944	100%/100%cov	100%/85%cov	100%/100%cov	100%/100%cov
M_asiaticum	NTM	OUI (86% id, 100% cov)	OUI (gap +107 nt)	OUI (4/4, ordre conservé)	ppx2@1573 Rv1025@2272 divIC@2911 eno@3867	91%/100%cov	66%/84%cov	86%/100%cov	75%/100%cov
M_attenuatum	NTM	OUI (82% id, 100% cov)	OUI (gap +119 nt)	OUI (4/4, ordre conservé)	ppx2@36415 Rv1025@37131 divIC@37771 eno@38751	93%/100%cov	72%/85%cov	82%/100%cov	79%/98%cov
M_avium	NTM	OUI (86% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@1055839 divIC@1056770 Rv1025@1057413 ppx2@1058118	93%/100%cov	73%/83%cov	86%/99%cov	78%/99%cov
M_basiliense	NTM	OUI (82% id, 99% cov)	OUI (gap +95 nt)	OUI (4/4, ordre conservé)	ppx2@4483349 Rv1025@4484053 divIC@4484672 eno@4485667	94%/100%cov	74%/85%cov	82%/99%cov	80%/98%cov
M_bouchedurhonense	NTM	OUI (86% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@141583 divIC@142514 Rv1025@143157 ppx2@143862	93%/100%cov	73%/83%cov	86%/99%cov	78%/99%cov
M_celatum	NTM	OUI (84% id, 99% cov)	OUI (gap +92 nt)	OUI (4/4, ordre conservé)	eno@230763 divIC@231703 Rv1025@232310 ppx2@232998	88%/100%cov	67%/85%cov	84%/99%cov	75%/99%cov
M_colombiense	NTM	OUI (86% id, 99% cov)	OUI (gap +134 nt)	OUI (4/4, ordre conservé)	ppx2@147451 Rv1025@148158 divIC@148817 eno@149781	93%/100%cov	72%/85%cov	86%/99%cov	80%/98%cov
M_cookii	NTM	OUI (80% id, 99% cov)	OUI (gap +131 nt)	OUI (4/4, ordre conservé)	ppx2@2269929 Rv1025@2270635 divIC@2271273 eno@2272217	89%/99%cov	68%/85%cov	80%/99%cov	75%/99%cov
M_europaeum	NTM	OUI (84% id, 99% cov)	OUI (gap +140 nt)	OUI (4/4, ordre conservé)	eno@489102 divIC@490037 Rv1025@490685 ppx2@491383	92%/100%cov	72%/83%cov	84%/99%cov	80%/99%cov
M_florentinum	NTM	OUI (84% id, 99% cov)	OUI (gap +122 nt)	OUI (4/4, ordre conservé)	eno@4869078 divIC@4870049 Rv1025@4870695 ppx2@4871393	89%/100%cov	73%/85%cov	84%/99%cov	81%/99%cov
M_gallinarum	NTM	OUI (80% id, 99% cov)	OUI (gap +110 nt)	OUI (4/4, ordre conservé)	ppx2@3377870 Rv1025@3378564 divIC@3379199 eno@3380183	87%/99%cov	57%/85%cov	80%/99%cov	71%/97%cov
