structure	origine	ouvert_2.4A	ouvert_2.6A	ouvert_2.8A	debouche_solvant	rmsd_superposition	n_CA_apparies
anhydrase carbonique II	cristal	0.122	0.074	0.037	0.005	-	-
anhydrase carbonique II	AlphaFold	0.074	0.034	0.006	0.002	0.95	141
thermolysine	cristal	0.139	0.095	0.054	0.049	-	-
thermolysine	AlphaFold	0.162	0.107	0.064	0.036	0.34	314
Rv1025 holo FE (5 modèles)	AlphaFold3	0.198	-	-	0.145	et=0.003	5
Rv1025 holo ZN (5 modèles)	AlphaFold3	0.172	-	-	0.124	et=0.004	5
Rv1025 holo MN (5 modèles)	AlphaFold3	0.206	-	-	0.151	et=0.003	5
