accession	domaine
A0A011AD31	Bacteria
A0A021VM06	Bacteria
A0A022KUT6	Bacteria
A0A023X277	Bacteria
A0A024G9M3	Eukaryota
A0A024TNQ5	Eukaryota
A0A031FTJ9	Bacteria
A0A060JGF2	Bacteria
A0A061D8J0	Eukaryota
A0A061J860	Eukaryota
A0A061LTE1	supprimé d'UniProt
A0A063Y134	Bacteria
A0A066YPS3	Bacteria
A0A067CIQ7	Eukaryota
A0A073BD38	Bacteria
A0A073ISY4	Bacteria
A0A075JGS1	Bacteria
A0A076N417	Bacteria
A0A076NKT6	Bacteria
A0A077HLY4	Bacteria
A0A077LYI4	Bacteria
A0A077MF73	Bacteria
A0A080N1Z4	Bacteria
A0A081FYI1	Bacteria
A0A081XJB0	Bacteria
A0A085LHD2	supprimé d'UniProt
A0A086Z016	Bacteria
A0A086ZG13	Bacteria
A0A086ZL71	Bacteria
A0A086ZP27	Bacteria
A0A087AQN5	Bacteria
A0A087B449	Bacteria
A0A087BCH0	Bacteria
A0A087BKT3	Bacteria
A0A087BQG5	Bacteria
A0A087C0Z2	Bacteria
A0A087CDH4	Bacteria
A0A087CRI0	Bacteria
A0A087DHX5	Bacteria
A0A087DZL9	Bacteria
A0A087E9T2	Bacteria
A0A087EFG1	Bacteria
A0A087VUK9	Bacteria
A0A088QHK2	supprimé d'UniProt
A0A089XCB9	Bacteria
A0A095VUB1	Bacteria
A0A095X7T0	supprimé d'UniProt
A0A095XZQ2	supprimé d'UniProt
A0A095YUW9	supprimé d'UniProt
A0A095YZ23	supprimé d'UniProt
A0A096PAX5	Eukaryota
A0A097IER7	Bacteria
A0A098Y412	Bacteria
A0A099JQC8	Bacteria
A0A099PCX6	supprimé d'UniProt
A0A0A0B988	Bacteria
A0A0A0BMF0	Bacteria
A0A0A0BQG0	Bacteria
A0A0A0JK80	Bacteria
A0A0A0JRW2	Bacteria
A0A0A1D203	supprimé d'UniProt
A0A0A1DHR2	Bacteria
A0A0A6UUB4	Bacteria
A0A0A6YCH5	Bacteria
A0A0A7IB83	Bacteria
A0A0B2A5X1	Bacteria
A0A0B2AG55	Bacteria
A0A0B5D6C3	Bacteria
A0A0B5DM22	Bacteria
A0A0B5EKZ6	supprimé d'UniProt
A0A0B6TEK9	Bacteria
A0A0B9A4I7	Bacteria
A0A0C1Y2G8	supprimé d'UniProt
A0A0C5BDK0	Bacteria
A0A0C5FXE2	Bacteria
A0A0C7P3S2	Bacteria
A0A0D0H4I0	Bacteria
A0A0D0NW09	Bacteria
A0A0D0X768	Bacteria
A0A0D1LDS0	Bacteria
A0A0D3J356	Eukaryota
A0A0D3JLZ0	Eukaryota
A0A0D3KZC9	Eukaryota
A0A0D8FW52	Bacteria
A0A0D8HI83	Bacteria
A0A0D8HWP9	supprimé d'UniProt
A0A0F0GSY7	supprimé d'UniProt
A0A0F0H394	Bacteria
A0A0F0HRT6	supprimé d'UniProt
A0A0F0KG76	Bacteria
A0A0F0KL14	Bacteria
A0A0F0LU91	Bacteria
A0A0F2C3V9	supprimé d'UniProt
A0A0F4QZX5	supprimé d'UniProt
A0A0F5W2I0	supprimé d'UniProt
A0A0F6R1C1	Bacteria
A0A0F6TA77	Bacteria
A0A0F7N2D3	supprimé d'UniProt
A0A0G2Z909	Bacteria
A0A0G3GNG1	Bacteria
A0A0G3H2S7	Bacteria
A0A0G3H4G9	Bacteria
A0A0G3HBJ5	Bacteria
A0A0G3V1B8	supprimé d'UniProt
A0A0G4GKB7	Eukaryota
A0A0H2KIX2	Bacteria
A0A0H3DGR1	supprimé d'UniProt
A0A0H4CAD1	supprimé d'UniProt
A0A0H5CTN7	supprimé d'UniProt
A0A0I9UTJ7	Bacteria
A0A0J0UWX6	supprimé d'UniProt
A0A0J6XK95	Bacteria
A0A0J6YMC3	Bacteria
A0A0J6YSW4	Bacteria
A0A0K1JH79	Bacteria
A0A0K1R982	Bacteria
A0A0K2SQJ2	Bacteria
A0A0K2YAE2	supprimé d'UniProt
A0A0K9XLR9	Bacteria
A0A0L0D0V5	supprimé d'UniProt
A0A0L0KBI0	supprimé d'UniProt
A0A0L6CK64	Bacteria
A0A0L8LAI6	Bacteria
A0A0M2H7N8	Bacteria
A0A0M2HJT8	Bacteria
A0A0M2HKD6	Bacteria
A0A0M2LT08	supprimé d'UniProt
A0A0M4QWT3	Bacteria
A0A0M5KXQ6	supprimé d'UniProt
A0A0M5KZG1	Bacteria
A0A0M5LU84	supprimé d'UniProt
A0A0M8V9P4	supprimé d'UniProt
A0A0M8VI24	supprimé d'UniProt
A0A0M8X8B3	supprimé d'UniProt
A0A0M9VKD0	Bacteria
A0A0M9X7W4	Bacteria
A0A0M9YF29	supprimé d'UniProt
A0A0M9ZZV5	supprimé d'UniProt
A0A0N0APJ7	supprimé d'UniProt
A0A0N0DX18	Eukaryota
A0A0N0MP93	supprimé d'UniProt
A0A0N0TBA9	supprimé d'UniProt
A0A0N0XW21	Bacteria
A0A0N1CV33	supprimé d'UniProt
A0A0N6W6Q8	supprimé d'UniProt
A0A0N7K099	supprimé d'UniProt
A0A0N8W074	Bacteria
A0A0N9HWM0	Bacteria
A0A0N9YFR2	supprimé d'UniProt
A0A0P0DJP6	supprimé d'UniProt
A0A0P1A8J7	Eukaryota
A0A0P7CLF3	supprimé d'UniProt
A0A0P7DFG4	supprimé d'UniProt
A0A0P7FDM3	supprimé d'UniProt
A0A0Q4DB30	supprimé d'UniProt
A0A0Q4F627	supprimé d'UniProt
A0A0Q4US42	supprimé d'UniProt
A0A0Q5AH23	supprimé d'UniProt
A0A0Q5AXA5	supprimé d'UniProt
A0A0Q5CEU0	supprimé d'UniProt
A0A0Q5EGT7	supprimé d'UniProt
A0A0Q5L1A9	supprimé d'UniProt
A0A0Q5LUN9	supprimé d'UniProt
A0A0Q5N1U5	supprimé d'UniProt
A0A0Q5QVJ9	supprimé d'UniProt
A0A0Q5VG57	supprimé d'UniProt
A0A0Q6FVW0	supprimé d'UniProt
A0A0Q6G296	supprimé d'UniProt
A0A0Q6JL95	supprimé d'UniProt
A0A0Q6Q4B9	supprimé d'UniProt
A0A0Q6RA78	supprimé d'UniProt
A0A0Q6V3K9	supprimé d'UniProt
A0A0Q6VJI9	supprimé d'UniProt
A0A0Q7BDW3	supprimé d'UniProt
A0A0Q7JU24	supprimé d'UniProt
A0A0Q7K710	supprimé d'UniProt
A0A0Q7QMG4	supprimé d'UniProt
A0A0Q7U708	supprimé d'UniProt
A0A0Q7YZQ2	supprimé d'UniProt
A0A0Q8APS4	supprimé d'UniProt
A0A0Q8CM32	supprimé d'UniProt
A0A0Q8EEF8	supprimé d'UniProt
A0A0Q8LZL1	supprimé d'UniProt
A0A0Q8P0L4	supprimé d'UniProt
A0A0Q8PSX5	supprimé d'UniProt
A0A0Q8UWK9	supprimé d'UniProt
A0A0Q8VD35	supprimé d'UniProt
A0A0Q9APR3	supprimé d'UniProt
A0A0Q9D1H8	supprimé d'UniProt
A0A0S4KPJ4	Eukaryota
A0A0S9Q943	supprimé d'UniProt
A0A0S9RAH4	supprimé d'UniProt
A0A0T0MNU7	supprimé d'UniProt
A0A0T1SQ38	supprimé d'UniProt
A0A0T1UMU9	supprimé d'UniProt
A0A0T1W2X7	supprimé d'UniProt
A0A0T2L246	supprimé d'UniProt
A0A0U3T4E2	Bacteria
A0A0V8HVR1	supprimé d'UniProt
A0A0V8IJS1	Bacteria
A0A0V8TB87	supprimé d'UniProt
A0A0W1KJK1	Bacteria
A0A0W7WA94	supprimé d'UniProt
A0A0W7X9D1	Bacteria
A0A0W8I8T0	Bacteria
A0A0W8IKL2	Bacteria
A0A0X1KTM7	Bacteria
A0A0X3S1L1	supprimé d'UniProt
A0A0X3UXM3	Bacteria
A0A0X3VCX6	supprimé d'UniProt
A0A0X3WFQ1	supprimé d'UniProt
A0A0X3XW82	supprimé d'UniProt
A0A0X8E3L1	Bacteria
A0A0X8HEW0	Bacteria
A0A101AHI6	supprimé d'UniProt
A0A101P833	Bacteria
A0A101QX63	Bacteria
A0A101RQZ5	Bacteria
A0A101T8Y0	Bacteria
A0A101TTN8	Bacteria
A0A101UH98	supprimé d'UniProt
A0A110A987	Bacteria
A0A117MPP9	Bacteria
A0A117P2V9	Bacteria
A0A117RZV2	Bacteria
A0A126YZV1	supprimé d'UniProt
A0A126ZYQ5	Bacteria
A0A132MN22	Bacteria
A0A132PTD8	Bacteria
A0A132T2V4	supprimé d'UniProt
A0A133ZE41	supprimé d'UniProt
A0A136PTC7	Bacteria
A0A143QBS9	supprimé d'UniProt
A0A143QMJ1	Bacteria
A0A147EBS1	Bacteria
A0A150HCH6	Bacteria
A0A150HE73	Bacteria
A0A150VZ03	supprimé d'UniProt
A0A151C1H6	supprimé d'UniProt
A0A160KRK5	Bacteria
A0A160NXZ7	Bacteria
A0A161HSY9	Bacteria
A0A161LP09	Bacteria
A0A161RC15	supprimé d'UniProt
A0A161SJQ1	supprimé d'UniProt
A0A161UM25	supprimé d'UniProt
A0A161UTS2	supprimé d'UniProt
A0A162F8W3	Bacteria
A0A162JMS7	supprimé d'UniProt
A0A164PWT7	Bacteria
A0A170Z568	supprimé d'UniProt
A0A172US93	Bacteria
A0A172YCV0	Bacteria
A0A177HVB8	Bacteria
A0A177YID7	Bacteria
A0A178XDP7	supprimé d'UniProt
A0A179B5I0	Bacteria
A0A191WE70	Bacteria
A0A197STB4	supprimé d'UniProt
A0A199NWI9	Bacteria
A0A1A0M728	supprimé d'UniProt
A0A1A0TG98	supprimé d'UniProt
A0A1A1Y620	supprimé d'UniProt
A0A1A2ZGM3	supprimé d'UniProt
A0A1A3BRY3	supprimé d'UniProt
A0A1A3IIA6	supprimé d'UniProt
