block	genes	n_present	n_syntenic	syntenic_fraction
OPERON	Rv1023-Rv1024-Rv1025-Rv1026	11	11	1.000
Rv2628	Rv2628-Rv2629-Rv2630-Rv2631	0	0	NA
Rv3048c	Rv3048c-Rv3049c-Rv3050c-Rv3051c	7	0	0.000
Rv0913c	Rv0913c-Rv0914c-Rv0915c-Rv0916c	0	0	NA
Rv0415	Rv0415-Rv0416-Rv0417-Rv0418	3	2	0.667
Rv2245	Rv2245-Rv2246-Rv2247-Rv2248	7	0	0.000
Rv2431c	Rv2431c-Rv2432c-Rv2433c-Rv2434c	0	0	NA
Rv2476c	Rv2476c-Rv2477c-Rv2478c-Rv2481c	0	0	NA
Rv2945c	Rv2945c-Rv2946c-Rv2947c-Rv2948c	4	0	0.000
Rv1849	Rv1849-Rv1850-Rv1851-Rv1852	7	6	0.857
Rv0027	Rv0027-Rv0028-Rv0029-Rv0030	0	0	NA
Rv3118	Rv3118-Rv3119-Rv3120-Rv3121	3	0	0.000
Rv2872	Rv2872-Rv2873-Rv2874-Rv2875	0	0	NA
Rv1734c	Rv1734c-Rv1735c-Rv1735a-Rv1736c	0	0	NA
Rv1397c	Rv1397c-Rv1398c-Rv1399c-Rv1400c	0	0	NA
Rv3138	Rv3138-Rv3139-Rv3140-Rv3141	0	0	NA
Rv1382	Rv1382-Rv1383-Rv1384-Rv1385	6	6	1.000
Rv1558	Rv1558-Rv1559-Rv1560-Rv1561	0	0	NA
Rv1412	Rv1412-Rv1413-Rv1414-Rv1415	3	0	0.000
Rv1086	Rv1086-Rv1087-Rv1088-Rv1088a	0	0	NA
Rv3312A	Rv3312A-Rv3313c-Rv3314c-Rv3315c	1	0	0.000
Rv0173	Rv0173-Rv0174-Rv0175-Rv0176	0	0	NA
Rv1552	Rv1552-Rv1553-Rv1554-Rv1555	0	0	NA
Rv1206	Rv1206-Rv1207-Rv1208-Rv1209	4	3	0.750
Rv2585c	Rv2585c-Rv2586c-Rv2587c-Rv2588c	6	5	0.833
Rv2543	Rv2543-Rv2544-Rv2545-Rv2546	0	0	NA
Rv2900c	Rv2900c-Rv2901c-Rv2902c-Rv2903c	7	0	0.000
Rv0183	Rv0183-Rv0184-Rv0185-Rv0186	4	0	0.000
Rv3177	Rv3177-Rv3178-Rv3178a-Rv3179	0	0	NA
Rv3521	Rv3521-Rv3522-Rv3523-Rv3524	1	0	0.000
Rv3566A	Rv3566A-Rv3567c-Rv3568c-Rv3569c	0	0	NA
Rv1517	Rv1517-Rv1518-Rv1519-Rv1520	0	0	NA
Rv2758c	Rv2758c-Rv2759c-Rv2760c-Rv2761c	0	0	NA
Rv3856c	Rv3856c-Rv3857c-Rv3858c-Rv3859c	1	0	0.000
