locus	nom	debut	fin	brin	produit	categorie	longueur
Rv0002	dnaN	2051	3260	+	DNA polymerase III subunit beta	3R	1209
Rv0003	recF	3279	4437	+	DNA replication/repair protein RecF	3R	1158
Rv0013	trpG	14913	15612	+	anthranilate synthase component II	temoin_neutre	699
Rv0023		27594	28365	+	transcriptional regulator	temoin_neutre	771
Rv0035	fadD34	37258	38947	+	fatty-acid--CoA ligase FadD34	temoin_neutre	1689
Rv0054	ssb	58585	59080	+	single-strand DNA-binding protein	3R	495
Rv0058	dnaB	60395	63020	+	replicative DNA helicase	3R	2625
Rv0062	celA1	65551	66694	+	cellulase CelA	temoin_neutre	1143
Rv0064A	vapB1	71588	71828	+	antitoxin VapB1	temoin_neutre	240
Rv0066c	icd2	72273	74511	-	isocitrate dehydrogenase	temoin_neutre	2238
Rv0083		90399	92322	+	oxidoreductase	temoin_neutre	1923
Rv0106		124373	125570	+	hypothetical protein	temoin_neutre	1197
Rv0123		148855	149224	+	hypothetical protein	temoin_neutre	369
Rv0149		175699	176668	+	quinone oxidoreductase	temoin_neutre	969
Rv0180c		210891	212250	-	transmembrane protein	temoin_neutre	1359
Rv0182c	sigG	213027	214140	-	ECF RNA polymerase sigma factor SigG	temoin_neutre	1113
Rv0187		218704	219367	+	O-methyltransferase	temoin_neutre	663
Rv0193c		224723	226571	-	hypothetical protein	temoin_neutre	1848
Rv0218		260923	262252	+	transmembrane protein	temoin_neutre	1329
Rv0268c		322763	323273	-	hypothetical protein	temoin_neutre	510
Rv0271c	fadE6	326265	328461	-	acyl-CoA dehydrogenase FadE6	temoin_neutre	2196
Rv0292	eccE3	355879	356875	+	ESX-3 secretion system protein EccE	temoin_neutre	996
Rv0293c		356861	358064	-	hypothetical protein	temoin_neutre	1203
Rv0294	tam	358170	358956	+	trans-aconitate methyltransferase	temoin_neutre	786
Rv0310c		378656	379148	-	hypothetical protein	temoin_neutre	492
Rv0312		380555	382418	+	hypothetical protein	temoin_neutre	1863
Rv0324		391351	392032	+	transcriptional regulator	temoin_neutre	681
Rv0338c		403192	405841	-	iron-sulfur-binding reductase	temoin_neutre	2649
Rv0397		475815	476184	+	hypothetical protein	temoin_neutre	369
Rv0413	mutT3	499712	500366	+	8-oxo-dGTP diphosphatase	3R	654
Rv0427c	xthA	516016	516892	-	exodeoxyribonuclease III protein XthA	3R	876
Rv0439c		527378	528314	-	dehydrogenase/reductase	temoin_neutre	936
Rv0456B	mazE1	547343	547517	-	antitoxin MazE1	temoin_neutre	174
Rv0457c		547585	549607	-	peptidase	temoin_neutre	2022
Rv0497		587376	588309	+	transmembrane protein	temoin_neutre	933
Rv0501	galE2	591653	592784	+	UDP-glucose 4-epimerase GalE	temoin_neutre	1131
Rv0560c		650778	651504	-	benzoquinone methyltransferase	temoin_neutre	726
Rv0566c		657547	658039	-	hypothetical protein	temoin_neutre	492
Rv0629c	recD	720004	721732	-	exonuclease V subunit alpha RecD	3R	1728
Rv0630c	recB	721728	725013	-	exonuclease V subunit beta RecB	3R	3285
Rv0631c	recC	725012	728306	-	exonuclease V subunit gamma RecC	3R	3294
Rv0638	secE1	733736	734222	+	preprotein translocase SecE	temoin_neutre	486
Rv0644c	mmaA2	738296	739160	-	cyclopropane mycolic acid synthase CmaA	temoin_neutre	864
Rv0706	rplV	803688	804282	+	50S ribosomal protein L22	temoin_neutre	594
Rv0744c		834439	834946	-	transcriptional regulator	temoin_neutre	507
