Entry	Length	Protein names	Organism	Taxonomic lineage	Pfam	Subcellular location [CC]
A0A1Y1WPY2	194	DUF501-domain-containing protein	Anaeromyces robustus	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Neocallimastigomycetes (class), Neocallimastigales (order), Neocallimastigaceae (family), Anaeromyces (genus)	PF04417;	
A0A1Z5JA01	292	DUF501 domain-containing protein	Fistulifera solaris (Oleaginous diatom)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Fistulifera (genus)	PF04417;	
A0A812SID3	451	Uncharacterized protein	Symbiodinium natans	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Dinophyceae (class), Suessiales (order), Symbiodiniaceae (family), Symbiodinium (genus)	PF04417;	
A0A9K3PP58	388	DUF501 domain containing protein	Nitzschia inconspicua	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Nitzschia (genus)	PF04417;	
A0AAD2PVL0	345	Uncharacterized protein	Cylindrotheca closterium	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Bacillariales (order), Bacillariaceae (family), Cylindrotheca (genus)	PF04417;	
B7FZ01	326	DUF501 domain-containing protein	Phaeodactylum tricornutum (strain CCAP 1055/1)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Phaeodactylaceae (family), Phaeodactylum (genus), Phaeodactylum tricornutum (species)	PF04417;	
A0A1Y1V0F2	177	DUF501-domain-containing protein	Piromyces finnis	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Neocallimastigomycetes (class), Neocallimastigales (order), Neocallimastigaceae (family), Piromyces (genus)	PF04417;	
A0A1Y1V0X5	194	DUF501-domain-containing protein	Piromyces finnis	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Neocallimastigomycetes (class), Neocallimastigales (order), Neocallimastigaceae (family), Piromyces (genus)	PF04417;	
A0A225VD34	204	DUF501 domain-containing protein	Phytophthora megakarya	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A2A9M7T6	543	Uncharacterized protein	Besnoitia besnoiti (Apicomplexan protozoan)	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Conoidasida (class), Coccidia (subclass), Eucoccidiorida (order), Eimeriorina (suborder), Sarcocystidae (family), Besnoitia (genus)	PF04417;	
A0A3R7HVX3	213	DUF501 domain-containing protein	Phytophthora kernoviae	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
A0A485L0L8	241	Aste57867_14186 protein	Aphanomyces stellatus	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Saprolegniomycetes (class), Saprolegniales (order), Verrucalvaceae (family), Aphanomyces (genus)	PF04417;	
A0A8J6C647	333	Uncharacterized protein	Diacronema lutheri (Unicellular marine alga) (Monochrysis lutheri)	cellular organisms (no rank), Eukaryota (domain), Haptista (clade), Haptophyta (phylum), Pavlovophyceae (class), Pavlovales (order), Pavlovaceae (family), Diacronema (genus)	PF04417;	
A0A9N8E898	427	Uncharacterized protein	Seminavis robusta	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Bacillariophyceae (class), Bacillariophycidae (clade), Naviculales (order), Naviculaceae (family), Seminavis (genus)	PF04417;	
A0AAD3CTX2	239	Uncharacterized protein	Chaetoceros tenuissimus	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Ochrophyta (clade), Bacillariophyta (phylum), Coscinodiscophyceae (class), Chaetocerotophycidae (subclass), Chaetocerotales (order), Chaetocerotaceae (family), Chaetoceros (genus)	PF04417;	
A0AAD9G490	207	DUF501 domain-containing protein	Phytophthora citrophthora	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Stramenopiles (clade), Oomycota (phylum), Peronosporomycetes (class), Peronosporales (order), Peronosporaceae (family), Phytophthora (genus)	PF04417;	
