locus	n_evenements	n_porteurs_tot	n_clades_max	n_non_sens	n_decalages	nom	categorie	longueur	opp_stop	n_sites_stop	p_site_gene	attendu	p_binom	q_bh	Q2	Q3
Rv3854c	341.0	6274.0	20.0	83.0	258.0	ethA	temoin_positif	1470	0.4265686386034174	159	0.06151720792592343	9.781236060221826	1.0361787582511607e-56	2.849491585190692e-54	True	True
Rv3919c	252.0	6290.0	59.0	46.0	206.0	gid	temoin_positif	675	0.1415001821877677	57	0.056922892552422055	3.244604875488057	5.437592490637418e-47	7.47668967462645e-45	True	True
Rv2043c	304.0	3539.0	21.0	39.0	265.0	pncA	temoin_positif	561	0.09358574259921593	45	0.04768721880680471	2.1459248463062117	1.7559798620796694e-45	1.6096482069063638e-43	True	True
Rv0293c	62.0	1112.0	23.0	22.0	40.0		temoin_neutre	1203	0.24760132401608848	100	0.056775083300871394	5.677508330087139	3.753045687595146e-08	2.5802189102216627e-06	True	True
Rv2601	46.0	729.0	12.0	20.0	26.0	speE	temoin_neutre	1572	0.2800984253017685	104	0.06175642472268747	6.422668171159497	5.299448331866786e-06	0.00029146965825267327	True	True
Rv0457c	73.0	26459.0	33.0	31.0	42.0		temoin_neutre	2022	0.5700912471060449	206	0.06345735559489603	13.072215252548581	7.457845416956122e-06	0.00034181791494382227	True	True
Rv1908c	83.0	261.0	9.0	32.0	51.0	katG	temoin_positif	2223	0.6333697123756348	228	0.06369821495295824	14.523193009274479	2.456940630741334e-05	0.000965226676362667	True	True
Rv3299c	93.0	1557.0	5.0	37.0	56.0	atsB	temoin_neutre	2913	0.8172027177656204	265	0.07071128764319051	18.738491225445486	6.341320716366839e-05	0.002179828996251101	True	True
Rv0958	42.0	3314.0	6.0	16.0	26.0		temoin_neutre	1380	0.230985711683563	107	0.049500109067529434	5.29651167022565	7.629062924041463e-05	0.0023311025601237805	True	True
Rv3539	53.0	1967.0	52.0	23.0	30.0	PPE63	temoin_neutre	1440	0.42193815954854597	143	0.06765775516806793	9.675058989033715	9.64157430229073e-05	0.0024103935755726827	True	True
Rv2850c	53.0	15252.0	30.0	18.0	35.0		temoin_neutre	1890	0.28439699470470864	130	0.05016334262048847	6.521234540663501	9.329314549864458e-05	0.0024103935755726827	True	True
Rv3860	53.0	4338.0	66.0	18.0	35.0		temoin_neutre	1173	0.3044148034356552	97	0.07196127526742542	6.980243700940266	0.00017958758238939651	0.0037989680890064647	True	True
Rv3861	45.0	620.0	5.0	11.0	34.0		temoin_neutre	327	0.13468274705013483	41	0.075323922274585	3.0882808132579846	0.00016659996790798482	0.0037989680890064647	True	True
Rv3831	24.0	257.0	5.0	12.0	12.0		temoin_neutre	483	0.16605802592742736	52	0.07322533117947166	3.8077172213325268	0.00030671254385711576	0.006024710682907631	True	True
Rv0193c	89.0	559.0	5.0	24.0	65.0		temoin_neutre	1848	0.4934802596021339	182	0.06217319903360624	11.315522224116336	0.0004256334119705293	0.007803279219459703	True	True
Rv3027c	22.0	125.0	3.0	11.0	11.0		temoin_neutre	846	0.14805427103344376	73	0.04650534789916636	3.3948903966391444	0.0005414903406610319	0.009306865230111485	True	True
Rv0413	35.0	333.0	6.0	14.0	21.0	mutT3	3R	654	0.22798022770923676	67	0.07802381793536814	5.227595801669666	0.000576316803422315	0.00932277182006686	True	True
Rv0271c	66.0	1888.0	9.0	26.0	40.0	fadE6	temoin_neutre	2196	0.5712397815706357	194	0.0675183051240762	13.098551194070781	0.0006757237757396132	0.010323557684910757	True	True
Rv1876	24.0	145.0	3.0	10.0	14.0	bfrA	temoin_neutre	480	0.1389252534418481	60	0.05309269426095023	3.185561655657014	0.0011648384008882456	0.01685950317075092	True	True
Rv2713	43.0	1381.0	4.0	14.0	29.0	sthA	temoin_neutre	1407	0.2488945056534091	122	0.046780008500858	5.707161037104676	0.0017667500446687735	0.024292813114195635	True	True
Rv0035	74.0	971.0	23.0	16.0	58.0	fadD34	temoin_neutre	1689	0.30695505350932123	133	0.052920990506918016	7.038491737420096	0.001861662162053886	0.024378909264991363	True	True
Rv2022c	24.0	307.0	7.0	11.0	13.0		temoin_neutre	606	0.1790687635912423	71	0.05783174591379667	4.106053959879564	0.002467933395880556	0.03084916744850695	True	True
Rv3786c	48.0	456.0	5.0	14.0	34.0		temoin_neutre	1224	0.2619005441680538	103	0.05830475751429141	6.005390023972015	0.0026629439511534946	0.03183954724205265	True	True
Rv1900c	54.0	1257.0	4.0	15.0	39.0	lipJ	temoin_neutre	1389	0.2923682863032715	107	0.06265436054211342	6.704016578006136	0.00280100868521479	0.032094891184752804	True	True
Rv2071c	24.0	321.0	3.0	10.0	14.0	cobM	temoin_neutre	756	0.15908889728525985	54	0.0675539781654646	3.6479148209350885	0.00302733356797283	0.03330066924770113	True	True
Rv1426c	43.0	503.0	7.0	15.0	28.0	lipO	temoin_neutre	1263	0.3055758944564332	112	0.0625613175428702	7.006867564801462	0.004292423637448821	0.04371912964068244	True	True
Rv2422	7.0	31.0	2.0	3.0	4.0		temoin_neutre	273	0.015610782424793081	8	0.04474448370184284	0.35795586961474274	0.00423288414837555	0.04371912964068244	True	True
Rv1507A	33.0	476.0	15.0	9.0	24.0		temoin_neutre	504	0.14088025540166013	53	0.06095075338338545	3.230389929319429	0.004457695241029064	0.04378093540296402	True	True
Rv2997	32.0	213.0	8.0	13.0	19.0		temoin_neutre	1443	0.2508673107294663	101	0.056954431058806806	5.752397536939488	0.004891151733335008	0.04483555755557091	True	True
Rv3660c	34.0	405.0	11.0	12.0	22.0		temoin_neutre	1053	0.22498898658115943	69	0.07476821046596663	5.159006522151698	0.004858963688246947	0.04483555755557091	True	True
Rv3056	38.0	768.0	4.0	15.0	23.0	dinP	3R	1041	0.313702096858787	111	0.06480361903705374	7.193201713112965	0.005433815461375102	0.04669685162119228	True	True
Rv0501	31.0	245.0	4.0	14.0	17.0	galE2	temoin_neutre	1131	0.28352374811946984	100	0.06501210961300123	6.501210961300123	0.005319802844535003	0.04669685162119228	True	True
Rv0062	54.0	785.0	23.0	13.0	41.0	celA1	temoin_neutre	1143	0.25898936889396446	96	0.06186079851781333	5.938636657710079	0.006258700154627456	0.052155834621895464	True	False
Rv1544	29.0	604.0	5.0	8.0	21.0		temoin_neutre	804	0.1252221800233983	54	0.053173141303282545	2.8713496303772574	0.007431001147405375	0.06010368575107289	True	False
Rv1317c	50.0	7977.0	120.0	16.0	34.0	alkA	3R	1491	0.3674604567861242	109	0.07730167955032903	8.425883070985865	0.0097124039940617	0.07578637046119162	True	False
Rv2189c	30.0	15601.0	31.0	10.0	20.0		temoin_neutre	774	0.18889992253986568	53	0.0817260911406063	4.331482830452134	0.009921124860374176	0.07578637046119162	True	False
Rv3483c	24.0	35462.0	8.0	9.0	15.0		temoin_neutre	663	0.1619632408851298	46	0.08073529642226165	3.713823635424036	0.01032910790497807	0.07677039659105322	True	False
Rv1279	43.0	2958.0	10.0	15.0	28.0		temoin_neutre	1587	0.3382339852156759	134	0.05787849926108455	7.75571890098533	0.011021088990936635	0.07975788085546248	True	False
Rv2591	34.0	316.0	12.0	9.0	25.0	PE_PGRS44	temoin_neutre	1632	0.16997688109180298	61	0.0638947004599333	3.897576728055931	0.015000104539745731	0.10576996790846348	True	False
Rv2836c	55.0	769.0	6.0	15.0	40.0	dinF	temoin_neutre	1320	0.35933171493797655	110	0.07490446084618227	8.23949069308005	0.017406433883826403	0.11966923295130652	True	False
Rv0990c	19.0	672.0	10.0	5.0	14.0		temoin_neutre	657	0.06792986041762282	30	0.05192114782574833	1.55763443477245	0.018132889079251098	0.12162303650717199	True	False
Rv2724c	27.0	311.0	4.0	13.0	14.0	fadE20	temoin_neutre	1161	0.2976664873910927	134	0.05093660106192225	6.8255045422975815	0.019649529525731808	0.12566559580409878	True	False
Rv0294	36.0	281.0	5.0	11.0	25.0	tam	temoin_neutre	786	0.23732716041077984	81	0.06718421413454179	5.441921344897885	0.01949955454694459	0.12566559580409878	True	False
Rv0754	51.0	443.0	9.0	14.0	37.0	PE_PGRS11	temoin_neutre	1755	0.3340230413905182	108	0.07091816471767018	7.65916178950838	0.020678832190778904	0.12866811263092917	True	False
Rv2086	25.0	130.0	4.0	8.0	17.0		temoin_neutre	606	0.15103177107792362	53	0.06534272816145088	3.463164592556897	0.02105478206687932	0.12866811263092917	True	False
Rv1482c	33.0	181.0	5.0	11.0	22.0		temoin_neutre	843	0.24430824037283658	86	0.06513950918071673	5.601997789541639	0.02385234829473104	0.14259556045763122	True	False
Rv2856	25.0	203.0	3.0	12.0	13.0	nicT	temoin_neutre	1119	0.27963715998413624	99	0.06476859938234324	6.4120913388519805	0.02645879582891377	0.146795480738489	True	False
Rv1968	37.0	360.0	9.0	11.0	26.0	mce3C	temoin_neutre	1233	0.2476038348636131	90	0.06308406559913317	5.677565903921985	0.02620949392534721	0.146795480738489	True	False
Rv2578c	34.0	140.0	2.0	10.0	24.0		temoin_neutre	1023	0.21677897112709932	87	0.05713506364585737	4.970750537189591	0.026690087406998	0.146795480738489	True	False
Rv2396	54.0	3407.0	97.0	5.0	49.0	PE_PGRS41	temoin_neutre	1086	0.07414108766101461	42	0.04047757441849582	1.7000581255768243	0.026629976622398507	0.146795480738489	True	False
Rv2762c	13.0	13938.0	410.0	5.0	8.0		temoin_neutre	420	0.0775966401139615	34	0.05233217889620343	1.7792940824709167	0.030765058463392198	0.1658900211261344	True	False
Rv1203c	19.0	253.0	2.0	7.0	12.0		temoin_neutre	585	0.1336816986664882	50	0.061306534670216	3.0653267335108	0.03201006732808724	0.16928400990815368	True	False
