clade	locus_tag	n_others_missing
L1	Rv0029	1
L1	Rv1970	3
L1	Rv2042c	1
L1	Rv2351c	2
L1	Rv2351c	2
L1	Rv3617	11
L2.2.1	Rv0845	1
L3	Rv1761c	12
L3	Rv1996	1
L3	Rv2350c	3
L3	Rv3392c	1
L3	Rv3875	1
L4.1.2	Rv0492c	1
L4.1.2	Rv2101	1
L4.1.2	Rv2353c	1
L4.1.2	Rv2817c	1
L4.1.2	Rv3394c	1
L4.3	Rv1004c	1
L4.3	Rv1931c	3
L4.3	Rv2021c	1
L4.3	Rv2817c	1
L4.3	Rv3329	1
L6.1	Rv0886	1
L6.1	Rv1916	1
L6.1	Rv3020c	1
L7	Rv1999c	4
L9	Rv0267	1
L9	Rv0271c	1
Orygis_La3	Rv1664	1
Orygis_La3	Rv1754c	2
Caprae_La2	Rv1192	1
Caprae_La2	Rv1257c	39
Caprae_La2	Rv1507A	8
Caprae_La2	Rv1994c	1
Caprae_La2	Rv2350c	39
Caprae_La2	Rv2351c	28
Caprae_La2	Rv3885c	26
Microti	Rv1754c	5
Microti	Rv1805c	4
Microti	Rv2252	1
Microti	Rv3461c	1
