lignee	sra	n_pool	loss_4fold	gain_4fold	neut_4fold	loss_0fold	gain_0fold	neut_0fold	loss_intergenique	gain_intergenique	neut_intergenique	loss_0fold_pos2	gain_0fold_pos2	neut_0fold_pos2
L1	SRR33890963	40	15	1	0	21	5	5	5	0	0	6	3	3
L1	SRR29230711	40	28	1	3	39	21	6	15	5	2	16	12	2
L1	ERR13252596	40	8	3	2	18	7	5	6	2	0	7	3	3
L1	SRR34556142	40	18	1	3	23	14	4	7	0	1	13	11	4
L1	ERR4800136	40	16	1	0	26	12	5	5	5	0	9	6	1
L1	SRR2100038	40	55	7	7	78	34	18	19	6	3	34	24	9
L1	SRR33891102	40	36	6	9	81	35	10	15	3	1	35	24	6
L1	SRR26399570	40	21	4	2	34	9	6	5	1	0	19	7	3
L1	SRR30881691	40	44	8	5	55	25	11	16	0	0	26	15	3
L1	SRR33917424	40	18	3	5	35	11	8	6	0	0	19	4	2
L1	SRR33766540	40	18	4	2	36	9	6	5	1	0	13	4	1
L1	SRR5073511	40	24	6	2	36	8	12	5	1	1	15	3	5
L1	SRR6650148	40	42	9	7	83	30	14	15	7	3	32	21	4
L1	SRR29017642	40	27	6	6	54	17	17	13	4	1	23	8	10
L1	SRR34010306	40	12	3	1	32	12	6	3	2	0	7	4	2
L1	ERR11050329	40	21	4	4	25	10	5	8	1	0	13	6	5
L1	SRR12882247	40	18	1	3	31	9	6	7	1	1	16	8	2
L1	SRR29126164	40	2	0	0	12	7	1	2	0	1	6	5	1
L1	SRR29126464	40	15	2	0	27	6	3	4	1	1	9	4	1
L1	SRR33812683	40	14	1	3	26	8	2	4	2	0	12	7	1
L1	SRR33857403	40	14	2	1	17	4	1	5	2	1	6	2	1
L1	DRR184923	40	15	3	4	21	7	4	6	1	2	9	5	2
L1	ERR9125582	40	15	1	5	36	15	15	5	2	0	14	11	7
L1	SRR34127933	40	33	3	3	51	10	8	10	1	1	23	6	5
L1	SRR6650280	40	29	3	1	49	19	5	9	2	1	22	13	3
L1	ERR3276136	40	23	3	2	52	21	9	7	3	2	32	13	5
L1	ERR046898	40	69	10	9	112	44	23	20	17	3	45	27	9
L1	SRR29051136	40	13	5	3	39	11	3	6	3	2	14	8	1
L1	SRR34578503	40	13	0	3	19	7	2	8	0	0	10	5	2
L1	SRR30629484	40	57	8	7	85	24	13	23	3	1	37	14	6
L1	ERR2517197	40	68	11	6	106	33	19	20	6	8	46	22	10
L1	SRR33643363	40	23	4	6	37	12	9	9	1	0	15	9	5
L1	SRR33914503	40	31	2	4	59	16	6	17	4	1	28	7	3
L1	ERR473297	40	13	2	3	26	9	4	2	0	0	14	6	3
L1	SRR27450142	40	13	1	3	8	3	3	2	2	0	6	3	1
L1	SRR33712871	40	8	1	1	31	1	2	7	1	0	12	1	0
L1	SRR33752911	40	16	1	1	10	1	2	4	3	0	3	1	0
L1	ERR4815680	40	47	5	5	66	32	14	17	5	1	30	17	6
L1	ERR6929529	40	19	1	0	29	12	5	5	3	2	12	9	3
L1	ERR6336694	40	11	4	1	23	4	4	0	0	0	7	4	2
L2	SRR10040301	40	22	5	2	34	33	9	9	5	1	14	21	7
L2	ERR5863800	40	0	0	0	1	3	0	0	0	0	0	3	0
L2	ERR2184477	40	10	7	1	27	15	3	1	6	1	13	12	0
L2	SRR23311031	40	8	4	1	19	13	2	2	5	1	10	7	1
L2	ERR8699767	40	2	0	1	17	8	6	1	2	1	8	3	1
L2	SRR21746997	40	6	1	2	18	7	4	1	3	1	11	5	3
L2	SRR18911874	40	14	5	1	12	10	11	2	2	4	3	7	8
L2	ERR5758384	40	39	8	4	68	43	20	10	9	5	34	23	9
L2	ERR4798202	40	12	6	8	16	17	8	3	4	2	7	11	3
L2	ERR2886453	40	3	2	1	14	12	3	6	3	1	6	8	1
L2	SRR14781946	40	2	0	0	4	5	0	0	1	0	2	3	0
L2	SRR7755744	40	1	0	2	8	4	1	0	0	0	3	2	1
L2	ERR5863561	40	0	0	0	0	0	0	0	0	0	0	0	0
L2	SRR13282527	40	5	1	2	8	5	1	0	0	0	3	2	1
L2	SRR11662257	40	17	5	3	29	14	4	5	3	0	17	5	3
L2	SRR23862056	40	4	3	0	15	12	2	1	0	0	8	7	0
L2	ERR029205	40	17	6	7	37	24	11	9	6	1	16	16	5
L2	ERR8665917	40	2	1	0	5	6	2	0	4	0	2	4	0
L2	ERR2041705	40	6	1	0	4	4	2	1	1	0	3	4	1
L2	SRR8651627	40	11	1	4	18	14	8	6	4	1	6	9	3
L2	ERR551236	40	4	0	0	3	0	1	0	0	1	3	0	1
L2	ERR2513282	40	7	0	1	15	10	1	2	3	0	10	9	1
L2	ERR4796266	40	9	2	1	14	7	6	4	3	3	5	6	4
L2	ERR4800427	40	11	2	6	16	16	6	3	1	1	6	9	3
L2	SRR5067601	40	10	1	1	17	5	3	1	0	0	8	2	2
L2	SRR10305663	40	7	0	3	31	13	4	6	4	0	14	7	1
L2	ERR10748143	40	12	4	1	25	21	2	7	4	1	13	16	1
L2	SRR10040185	40	16	2	2	32	18	2	3	3	2	17	12	0
L2	SRR21277682	40	12	2	5	28	13	9	1	2	3	12	7	2
L2	ERR4798003	40	12	8	2	13	16	4	8	4	2	5	12	2
L2	SRR11871420	40	3	3	0	4	3	0	0	1	0	3	2	0
L2	SRR13180209	40	9	2	2	12	14	5	2	0	0	5	12	4
L2	SRR14782432	40	8	3	2	6	19	8	5	0	0	4	10	5
L2	SRR23691410	40	4	1	2	16	15	6	4	3	1	5	10	2
L2	ERR2517149	40	16	3	6	35	19	3	10	4	1	17	13	0
L2	SRR15723249	40	14	7	4	39	24	6	7	3	1	15	14	1
L2	ERR4799082	40	2	3	1	18	15	3	8	1	1	12	11	1
L2	SRR5065576	40	9	1	1	15	10	2	1	3	1	6	7	2
L2	SRR15661602	40	13	3	1	23	5	4	8	1	0	9	4	1
L2	SRR28351629	40	2	1	1	3	2	2	0	0	1	0	1	0
L3	ERR4798273	40	34	5	4	55	25	10	12	4	3	28	14	4
L3	ERR2515074	40	13	3	5	21	11	9	6	1	1	12	7	5
L3	ERR4800533	40	17	1	2	18	17	11	4	2	0	9	10	8
L3	ERR2510438	40	9	1	2	17	10	3	1	0	2	5	3	2
L3	ERR4819332	40	7	2	1	6	4	2	2	0	0	3	2	1
L3	ERR216981	40	8	1	2	16	10	1	2	1	0	8	7	0
L3	ERR2510465	40	20	4	11	51	19	13	7	5	3	23	12	5
L3	ERR4798854	40	12	3	7	23	14	9	3	0	3	10	12	6
L3	ERR4829127	40	26	6	5	35	16	18	8	2	4	12	13	8
L3	SRR22424856	40	16	5	8	34	25	13	6	4	7	16	13	7
L3	SRR21728336	40	22	7	3	42	18	10	8	4	1	17	10	4
L3	SRR22424752	40	22	5	10	36	15	11	8	4	3	14	11	6
L3	ERR245796	40	13	3	1	20	5	8	3	2	1	8	5	5
L3	ERR4829144	40	13	4	4	29	10	7	3	1	2	11	7	4
L3	SRR28044918	40	9	0	5	18	5	8	8	0	1	6	4	3
L3	ERR688023	40	19	6	4	48	27	12	4	3	5	23	17	3
L3	ERR4818877	40	22	6	4	37	17	10	11	2	0	17	11	6
L3	ERR4798552	40	15	3	8	38	16	9	7	0	2	20	13	6
L3	SRR28045170	40	21	6	2	39	12	3	10	0	2	15	6	3
L3	ERR4799249	40	28	6	8	32	14	9	12	4	1	17	5	4
L3	ERR2199900	40	11	0	1	17	6	7	4	1	2	7	3	3
L3	ERR2510326	40	12	1	3	26	9	2	4	2	0	18	5	0
L3	ERR4829947	40	7	0	2	9	5	4	3	0	1	5	4	3
L3	ERR3077987	40	2	5	1	8	10	1	3	3	0	3	5	1
L3	SRR22251080	40	21	4	2	33	21	11	7	2	4	13	13	6
L3	SRR16058252	40	4	3	3	12	6	3	0	1	2	6	2	1
L3	SRR22251746	40	7	3	1	20	18	3	5	1	0	6	9	1
L3	SRR28044880	40	25	3	2	41	20	8	4	0	1	24	10	3
L3	ERR4821366	40	23	0	4	34	15	11	4	1	1	14	9	4
L3	ERR4797181	40	27	9	11	67	27	18	12	4	2	32	18	11
L3	ERR2512536	40	57	4	9	57	37	16	11	7	8	32	20	5
L3	SRR5341376	40	3	2	1	10	6	4	4	0	0	5	5	3
L3	SRR27332356	40	30	6	6	54	17	13	7	2	0	31	10	8
L3	SRR6152765	40	26	7	4	49	14	8	6	2	3	19	10	5
L3	ERR4809128	40	7	1	2	12	3	2	2	2	0	2	3	1
L3	SRR27449964	40	14	0	4	28	13	1	2	2	0	17	7	1
L3	ERR4818922	40	15	4	4	25	11	4	4	1	0	14	6	3
L3	ERR4828529	40	7	3	3	11	7	5	2	1	0	4	4	3
L3	SRR16058185	40	8	1	3	28	12	2	10	4	2	12	4	1
L3	SRR16058375	40	7	0	2	9	5	1	0	1	0	8	3	1
L4	SRR4037827	40	5	5	4	5	5	2	2	0	0	2	4	2
L4	ERR2515497	40	45	5	10	57	28	11	12	8	4	30	14	6
L4	ERR025419	40	4	3	1	10	7	3	2	3	2	2	6	1
L4	ERR8700372	40	7	4	1	27	19	7	5	2	2	15	13	3
