sequence	best_acti_full_%	best_pseudo_full_%	best_acti_matched_N104_mean_%	diff_matched_minus_pseudo	p_empirique
A0A1Y1WPY2_9FUNG/57-180	69.44	51.72	62.87	+11.15	1
A0A1Y1V0F2_9FUNG/41-164	69.44	50.43	61.56	+11.13	1
A0A1Y1V0X5_9FUNG/58-181	69.44	50.43	61.56	+11.13	1
A0A9N8E898_9STRA/231-379	50.00	42.48	42.07	-0.40	0.268
A0AAD8Y377_9STRA/251-410	48.15	40.23	43.14	+2.91	0.896
A0A485L0L8_9STRA/69-215	39.47	41.86	37.53	-4.33	0
B8CC62_THAPS/279-441	44.00	39.82	41.11	+1.28	0.651
A0A024G9M3_9STRA/39-186	40.00	38.89	36.99	-1.90	0.061
A0AAD3CV09_9STRA/112-296	42.31	37.50	36.46	-1.04	0.189
A0A8J6C647_DIALT/35-187	42.59	40.00	40.78	+0.78	0.788
A0A6G0WVN6_9STRA/69-214	43.14	41.09	40.05	-1.03	0.133
A0A8J2ST05_9STRA/52-182	48.68	37.61	40.54	+2.92	0.831
T0RLE0_SAPDV/62-208	40.71	38.93	37.15	-1.78	0.108
A0A067CIQ7_SAPPC/65-211	40.71	38.17	37.24	-0.93	0.172
B7FZ01_PHATC/127-302	41.18	38.10	39.12	+1.03	0.735
A0A1W0AC20_9STRA/63-209	40.48	35.94	37.60	+1.66	0.877
A0AAD2PVL0_9STRA/134-333	48.15	38.05	36.96	-1.09	0.061
A0A024TNQ5_9STRA/68-214	39.83	43.51	37.56	-5.95	0
A0A1V9Z5R7_ACHHY/64-210	42.48	38.58	37.75	-0.83	0.241
A0A9W5T8J3_BABOV/504-619	50.00	33.33	39.68	+6.35	1
A0A1E7FHM1_9STRA/151-337	36.36	36.52	34.18	-2.34	0
M4BYE9_HYAAE/46-189	39.62	41.54	37.60	-3.94	0
A0A1Z5K406_FISSO/107-278	38.55	35.20	35.23	+0.03	0.382
A0AAD3CTX2_9STRA/60-228	35.59	38.17	33.59	-4.58	0
A0AAD8Y1T9_9STRA/144-328	37.84	34.68	35.57	+0.89	0.749
A0A3R7HVX3_9STRA/53-199	42.35	42.97	38.02	-4.95	0
A0A448ZFV9_9STRA/208-437	37.14	35.00	34.32	-0.68	0.121
A0A1D3CV76_9EIME/460-583	43.33	32.14	33.95	+1.80	0.872
A0A225VD34_9STRA/48-193	39.64	42.06	37.46	-4.60	0
F0VAI8_NEOCL/208-364	41.03	36.56	38.86	+2.30	0.983
A0A6A3MUS4_9STRA/57-203	40.82	40.77	35.98	-4.79	0.063
