pmid	drug_focus	access_hint	note
40630726	pretomanid	oa	High-level primary pretomanid-R, ddn in-frame deletion (ACS Omega)
41901773	pretomanid,delamanid,bedaquiline,linezolid	oa	WGS+pDST des 4 drogues BPaL, Corée (Pathogens MDPI)
40120193	delamanid	oa	Functional analysis ddn/fbiA delamanid resistance (Tuberculosis Edinb)
40980917	delamanid,pretomanid,clofazimine	oa	In vitro clofazimine selects DLM/PMD resistance (AAC)
40628310	delamanid	oa	Efflux pump genes response to delamanid, transcriptomic (Gene)
40817101	delamanid,bedaquiline,linezolid	oa	DLM/BDQ/LZD resistance rates + gene mutations MDR (BMC Microbiology)
41889647	delamanid,bedaquiline,linezolid,clofazimine	oa	Wild-type MIC distributions + ECOFFs second-line drugs (Frontiers Microbiol)
41881163	pretomanid,delamanid	paywall	Zhang spontaneous DLM/PMD resistance SNPs (IJAA) -- PDF manuel requis
42218329	pretomanid	paywall	Djaout DprE2 redundancy overcome pretomanid (npj AMR) -- PDF manuel requis
42270607	bedaquiline	oa	Targeted NGS Eswatini, RIF+BDQ resistance (Nature Communications)
42254523	bedaquiline	oa	BDQ resistance mutations + MIC Limpopo South Africa (Frontiers Microbiol)
42276191	bedaquiline	oa	pDST + genotypic BDQ resistance India (Indian J Med Microbiol)
41724179	bedaquiline	oa	BDQ resistance in RR-TB Western Cape (Lancet Microbe)
41890859	bedaquiline,linezolid	preprint	BDQ+LZD resistance Western Cape, n=3138 (Research Square)
42061986	bedaquiline	oa	ML prediction of BDQ-resistant Mtb (Life Science Alliance)
41362264	bedaquiline,delamanid,linezolid	oa	WGS+targeted seq 75 DR isolates Korea (Ann Lab Med)
41354901	bedaquiline,delamanid,linezolid	oa	WGS XDR detection Ethiopia (Communications Medicine)
41204231	bedaquiline	oa	WGS molecular epi + DR Huzhou China (BMC Genomics)
40706998	bedaquiline,delamanid	oa	WGS novel resistance mutations + large deletions Indonesia (JGAR)
41648016	bedaquiline,delamanid	oa	Microevolution MDR strains Portugal toward increased DR (Frontiers Microbiol)
41170421	bedaquiline	oa	Genomic surveillance Mexico, DR variants (Frontiers Microbiol)
40796628	bedaquiline	oa	Genomic decoding DR-TB transmission Thailand 3 decades (Scientific Reports)
41197899	bedaquiline,pretomanid,linezolid	oa	Acquired resistance during short-course RR-TB treatment (CMI)
41541397	bedaquiline,pretomanid,linezolid	oa	Relapse/emergent resistance novel short-course MDR US (OFID)
33239092	bedaquiline	oa	Beckert 2020 Eswatini -- papier de régression faisabilité (Genome Medicine)
